Mod Name,Project ID,File ID,Version,Author(s),Summary,File Size (Bytes),Game Versions
Reef Redux,926538,6100739,reefredux-1.3.0.jar,Coda1552,Changing up how coral reefs generate!,61428,"Client, 1.20.1, Forge, Server"
Dismount Entity,348262,6186175,[Fabric/Forge/Neo] 1.20.1-3.6 | Dismount Entity,Serilum,?? Allows players to dismount/remove/exit entities/mobs from mounted entities without breaking them.,30886,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Create: Garnished,923277,6138188,[(Neo)Forge 2.0.7+1.20.1] Create: Garnished,DakotaPrideModding,"A Create Mod Addon that adds different food items, mainly nuts.",3207662,"Client, NeoForge, 1.20.1, Forge, 1.20, Server"
NaNny (Fix NaN Health / Absorption),634392,4772710,1.0.1,qther,A Minecraft Neo/Forge mod that cleans up after mods that set entitys' health and/or absorption to NaN.,5086,"1.20.1, Forge, Server"
FindMe,291936,5074609,findme-3.2.1-forge.jar,Buuz135,Search for an item in nearby inventories,38302,"1.20.1, Forge"
MUID - Most Used IDs,427215,5273413,muid-1.20.1-1.0.0-forge.jar,mysticpasta1,For finding the total id's of popular ids,16208,"Client, NeoForge, 1.20.1, Forge, Server"
Sophisticated Core,618298,6190554,sophisticatedcore-1.20.1-1.2.12.872.jar,P3pp3rF1y,Library mod for Sophisticated mods,1156871,"NeoForge, 1.20.1, Forge"
Extreme sound muffler - (Neo)Forge,363363,5498979,Extreme sound muffler 3.48 - Forge 1.20.1,LeoBeliik,Forget about those nasty sounds! - Clientside sound muffler.,265906,"Client, NeoForge, 1.20.1, Forge"
Simply Light,300331,4832944,simplylight-1.20.1-1.4.6-build.50.jar,Flanks255,Simple light for a complicated world.,555625,"1.20.1, Forge"
ATM Performance,978772,5230300,atmperformance-1.20.1-1.2.2.jar,pitbox46,A set of performance enhancements for the ATM modpack,15844,"1.20.1, Forge"
Custom Credits,888150,6186245,[Fabric/Forge/Neo] 1.20.1-1.7 | Custom Credits,Serilum,"?? Allows changing the content and behaviour of the credits screen, including the end poem.",50325,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
"Exclusive Weapons, Armor and Tools",882718,5291309,"[FORGE] Exclusive Weapons, Armor and Tools - MC 1.20.1 - 3.0.0","Lupin, gamegeek_saikel","Add a multitude of powerful weapons, tools and armor.",228862,"NeoForge, 1.20.1, Forge"
Statement Library,340604,4684187,[1.20.1] [Forge] Statement 4.2.7,Virtuoel,Library mod for blockstate property manipulation,163941,"NeoForge, 1.20.1, Forge"
Mouse Tweaks,60089,5338457,[1.20.1 Forge] Mouse Tweaks 2.25.1,YaLTeR,Enhances inventory management by adding various functions to the mouse buttons.,76237,"Client, 1.20.1, Forge"
Patchouli,306770,6164575,Patchouli-1.20.1-84.1-FORGE.jar,Vazkii,"Accessible, Data-Driven, Dependency-Free Documentation for Minecraft Modders and Pack Makers",642711,"Client, 1.20.1, Forge, Server"
Roots Classic,295780,6022461,RootsClassic-1.20.1-1.4.2.jar,Lothrazar,Create magic wands and perform druidic rituals,613293,"Client, NeoForge, 1.20.1, Forge, Server"
Sedna,511276,5261893,sedna-1.18.2-forge-1.0.15+24e9fd2.jar,Sangar,Library mod providing a RISC-V VM and a bootable image.,5003733,"Client, 1.18.2, Forge, Server"
Iron Jetpacks,284497,6033946,IronJetpacks-1.20.1-7.0.8.jar,BlakeBr0,A fully customizable Forge Energy (FE) based jetpacks mod!,158960,"1.20.1, Forge"
Origins: Classes (Forge),610127,4965453,Origins Classes Forge 1.2.1,"DragonsPlus, RaymondBlaze",An unofficial Forge port for Origins: Classes,190573,"NeoForge, 1.20.1, Forge"
Spore Blossoms Pollinate,563377,5263984,sporeblossomspollinate-1.1.0-1.20.1.jar,ragnaraven_,Placing a spore blossom above crops will make them grow faster! They also prevent withered crops!,14947,"Client, 1.20.1, Forge, Server"
Nebulus' Spruce Tree,1034899,5438138,Nebulus' Spruce Tree 2.1.0,"Nebulus, Taknax",Spruce Tree is a Minecraft modification aims to add a giant Spruce Tree in the spruce biome.,159298,"1.20.1, Forge"
Enemy Expansion,690139,5286459,Enemy Expansion 2.3.1 for 1.20.1,"InfernalStudios, Nekomaster1000",Adding variety to combat encounters in Minecraft!,1006273,"1.20.1, Forge"
Dynamic Lights,227874,4861183,Dynamic Lights,atomicstrykergrumpy,portable and moving lightsources,49564,"1.20.1, Forge"
