// Compost colors for actuallyadditions. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_coil, #fff5d4
advanced_leaf_blower, #d3d0c6
basic_coil, #f2f1f7
bats_wing, #ded3c5
black_quartz, #808993
book_pattern, #fffff1
booklet, #6687eb
canola, #ffeecc
canola_seeds, #fffeff
coffee_beans, #cdbeb6
coffee_cup, #ebebee
crafter_on_a_stick, #f4e8de
crate_keeper, #ccccd4
crystallized_canola_seed, #eee4e6
diamatine_crystal, #f4ffff
diamatine_crystal_shard, #ffffff
diamond_aiot, #d9fae8
double_battery, #ffffff
drill_black, #c9c6cc
drill_blue, #c9cde1
drill_brown, #cfc8c9
drill_core, #e0d7ed
drill_cyan, #ccdde3
drill_gray, #d3d0d7
drill_green, #c5d4d6
drill_light_blue, #d7ddee
drill_light_gray, #dad7dd
drill_lime, #d7e4d6
drill_magenta, #e3d0dd
drill_orange, #e4d4d2
drill_pattern, #fffff1
drill_pink, #ead7e4
drill_purple, #dcd2e7
drill_red, #e0c9d0
drill_upgrade_block_placing, #fff7fb
drill_upgrade_five_by_five, #fff7fb
drill_upgrade_fortune, #fff7fb
drill_upgrade_fortune_ii, #fef5fa
drill_upgrade_silk_touch, #fff8fb
drill_upgrade_speed, #fff8fc
drill_upgrade_speed_ii, #fff8fc
drill_upgrade_speed_iii, #fff8fb
drill_upgrade_three_by_three, #fff7fb
drill_white, #e4e1e7
drill_yellow, #ebe1d4
emeradic_crystal, #d4ffd3
emeradic_crystal_shard, #ffffff
empowered_canola_seed, #fffcff
empowered_diamatine_crystal, #ffffff
empowered_emeradic_crystal, #d7ffe6
empowered_enori_crystal, #ffffff
empowered_palis_crystal, #f0feff
empowered_restonia_crystal, #ffdadc
empowered_void_crystal, #cfd2d6
empty_cup, #edf0f5
ender_star, #b5cacc
engineers_goggles, #e8c8c2
engineers_goggles_advanced, #e1c2be
enori_crystal, #eef1f5
enori_crystal_shard, #ffffff
filter, #a2acb5
flax_seeds, #c5a889
gold_aiot, #ffffd0
handheld_filler, #ffffff
iron_aiot, #fffcf2
item_tag, #7d7f89
laser_upgrade_invisibility, #fcf5fa
laser_upgrade_range, #fef7fb
laser_wrench, #bbafa2
leaf_blo_pattern, #fffff1
leaf_blower, #d4c9bf
lens, #afbcc3
lens_of_certain_death, #849ea1
lens_of_color, #d3dcdc
lens_of_detonation, #d0c2c8
lens_of_disenchanting, #b89ec3
lens_of_disruption, #3a3a3a
lens_of_the_killer, #aa8d96
lens_of_the_miner, #c2cfd4
netherite_aiot, #eadce0
palis_crystal, #d4e1ff
palis_crystal_shard, #ffffff
phan_con_pattern, #fffff1
phantom_connector, #fffafa
player_probe, #f8e3e0
quadruple_battery, #fff1f5
quintuple_battery, #f4ede0
restonia_crystal, #ffcdd2
restonia_crystal_shard, #ffffff
rice, #fffff4
rice_dough, #ffffdd
rice_seeds, #fffff1
rice_slimeball, #ffffff
ring, #b5a791
ring_of_growth, #a2ab97
ring_of_magnetizing, #9e969a
single_battery, #ffffff
solidified_experience, #befff7
stone_aiot, #f2ede4
teleport_staff, #bfddd0
tiny_charcoal, #ffffff
tiny_coal, #f0eef0
tiny_torch, #ffffff
travelers_sack, #e8a8a7
triple_battery, #ffffff
void_crystal, #c5cdd2
void_crystal_shard, #ffffff
void_sack, #d4b8c9
water_bowl, #ffffff
wings_of_the_bats, #bbae9b
wooden_aiot, #f2e6cd
worm, #fffff2
