// Compost colors for arky_aesthetics. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_bark, #fff5ea
acacia_leaf, #ffffff
acacia_leaf_2, #ffffff
acacia_leaf_3, #ffffff
acacia_leaf_4, #ffffff
aloe, #ffffff
alyssum_montanum, #ffffff
amethyst_pebbles, #ffffff
andesite_pebbles, #ffffff
aquatic_upgrade_smithing_template, #f1feff
armeria_caespitosa, #ffffed
armor_stand_with_arms, #fffff5
astilbe, #ffc897
azalea_leaf, #ffffff
azalea_leaf_2, #ffffff
azalea_leaf_3, #ffffff
azalea_leaf_4, #ffffff
bamboo_bark, #ffffcd
bamboo_leaf, #ffffff
bamboo_leaf_2, #ffffff
bamboo_leaf_3, #ffffff
bamboo_leaf_4, #ffffff
basalt_pebbles, #ffffff
bermuda_grass, #ffffea
birch_bark, #ffffff
birch_leaf, #ffffff
birch_leaf_2, #ffffff
birch_leaf_3, #ffffff
birch_leaf_4, #ffffff
bismuth_axe, #7972c0
bismuth_chain, #6986a7
bismuth_copperflame_lantern, #b8cac9
bismuth_cosmic_lantern, #fbd4ff
bismuth_fishing_rod, #d3cff5
bismuth_greatsword, #7a72bf
bismuth_hoe, #7a70c8
bismuth_ingot, #8073b8
bismuth_lantern, #e0bebf
bismuth_nugget, #8079e1
bismuth_pickaxe, #756ec3
bismuth_redstone_lantern, #e19ec6
bismuth_shears, #8978c6
bismuth_shovel, #7975d2
bismuth_soul_lantern, #a7ccf7
bismuth_sword, #766ec2
bismuth_upgrade, #bea0ea
black_concrete_pebbles, #ffffff
black_terracotta_pebbles, #ffffff
black_tulip, #ffffff
blackstone_pebbles, #ffffff
blackthorn, #ffffff
blue_concrete_pebbles, #ffffff
blue_flower, #37b2ab
blue_terracotta_pebbles, #ffffff
blue_tulip, #ffffff
bog_sedge, #ffffff
brown_concrete_pebbles, #ffffff
brown_mushroom_bark, #fffbde
brown_terracotta_pebbles, #ffffff
brown_tulip, #ffffff
bug_smithing_template, #ca695c
bunch_of_chorus, #ffffff
bunch_of_crimson_nylium, #ffffff
bunch_of_dead_grass, #ffffff
bunch_of_grass, #ffffff
bunch_of_moss, #ffffff
bunch_of_mycelium, #ffffff
bunch_of_podzol, #ffffff
bunch_of_warped_nylium, #ffffff
buttercup, #ffff33
cactus_cookie, #abab4d
cactus_jam, #585715
calcite_pebbles, #ffffff
calla, #ffffff
cherry_bark, #fae0e6
cherry_berries, #ffffff
cherry_cookie, #ff9357
cherry_leaf, #ffffff
cherry_leaf_2, #ffffff
cherry_leaf_3, #ffffff
cherry_leaf_4, #ffffff
chocolate_cosmos, #fffffa
common_heather, #ffd7e7
copper_chain, #f4835f
copper_copperflame_lantern, #c3d6a5
copper_cosmic_lantern, #f8b2d7
copper_lantern, #e49352
copper_nugget, #ffffff
copper_redstone_lantern, #ffa198
copperflame, #e0ff66
copperflame_campfire, #94c25a
copperflame_lantern, #b4e1c0
copperflame_torch, #9aa25f
cosmic_campfire, #af7f8e
cosmic_flame, #aa5ba4
cosmic_lantern, #e8bef2
cosmic_torch, #b8949d
cottongrass, #ffffff
crimson_bark, #f7c3cd
crying_obsidian_pebbles, #ffffff
crystallized_honey, #ffbc36
cyan_concrete_pebbles, #ffffff
cyan_terracotta_pebbles, #ffffff
dark_oak_bark, #e0d6c9
dark_oak_leaf, #ffffff
dark_oak_leaf_2, #ffffff
dark_oak_leaf_3, #ffffff
dark_oak_leaf_4, #ffffff
darl_prismarine_pebbles, #ffffff
deepslate_pebbles, #ffffff
diorite_pebbles, #ffffff
dripstone_pebbles, #ffffff
dynamite, #ffffff
elder_guardian_spike, #ffffff
