// Compost colors for ars_additions. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_dominion_wand, #af937c
ancient_codex_entry, #ffffac
archwood_chain, #828090
archwood_lantern, #cdae8e
archwood_magelight_lantern, #b1a2b6
codex_entry, #ffe8ac
dispel_protection_charm, #8c84ff
ender_mask_charm, #bc6b26
exploration_warp_scroll, #ebc07d
fall_prevention_charm, #f7faff
fire_resistance_charm, #c2a082
glyph_mark, #9db69b
glyph_recall, #c598af
glyph_retaliate, #e7b8c5
golden_chain, #ffbe34
golden_charm, #faaf39
golden_lantern, #ffd652
golden_magelight_lantern, #ffd072
imbued_spell_parchment, #fff5a8
lost_codex_entry, #fffaac
magelight_lantern, #b5939a
nexus_warp_scroll, #ffd48d
night_vision_charm, #839468
polished_sourcestone_chain, #9b66a4
polished_sourcestone_door, #945896
polished_sourcestone_lantern, #dc9e9b
polished_sourcestone_magelight_lantern, #c290c5
powdered_snow_walk_charm, #ffffff
ritual_chunk_loading, #9daab4
ritual_locate_structure, #a88aaa
sonic_boom_protection_charm, #25525f
soul_magelight_lantern, #9894af
sourcestone_chain, #51406f
sourcestone_door, #483764
sourcestone_lantern, #a88273
sourcestone_magelight_lantern, #866e97
stabilized_warp_index, #e0c89d
undying_charm, #93666e
unstable_reliquary, #ffffff
void_protection_charm, #737564
warp_index, #ffdd7d
water_breathing_charm, #ebfeff
wither_protection_charm, #aeafc5
xp_jar, #b9d2be
