// Compost colors for ars_extended_glyphs. You may add your own colors, change existing ones, or remove colors that aren't needed.
abjuration_tablet, #9e7c8e
air_tablet, #9b9d7d
air_tablet_fragment, #6f6f76
amulet_of_greater_mana_power, #ffe7c9
blank_tablet, #82796f
blank_tablet_fragment, #6f6f76
conjuration_tablet, #878983
earth_tablet, #878d76
earth_tablet_fragment, #6f6f76
fire_tablet, #947d72
fire_tablet_fragment, #6f6f76
glyph_above, #bccfac
glyph_absorption, #9aaf8e
glyph_atrophy, #b1c5a5
glyph_burrow, #c2d4b1
glyph_closestplayer, #e8bbc3
glyph_conjurelava, #a0b59a
glyph_extreme, #f1c37f
glyph_fertility, #acc0a2
glyph_herobrine, #96ac94
glyph_repair, #acc0a1
glyph_returnhome, #aabfa1
glyph_saturate, #c2d6b4
glyph_sethome, #acc2a5
glyph_shield, #a5b99d
glyph_summonhostile, #94ab93
glyph_summonwildlife, #97ae96
glyph_transmute, #b1c5a5
magestone, #eed7ff
manipulation_tablet, #98876f
passive_caster, #ffffff
refined_magestone, #98b2ff
ring_of_greatest_discount, #d0b1a7
ritual_difficulty_increase, #bc9698
water_tablet, #838482
water_tablet_fragment, #6f6f76
