// Compost colors for arsdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
activated_bastion_jam, #ffffff
activated_mendosteen_jam, #ffffff
arch_sauce, #fbe0d0
arch_soup, #e6dcd4
bastion_hornbeer, #af9690
bastion_jelly, #7c375c
bastion_pie, #cf827a
bastion_pie_slice, #d67d7f
bastion_pork, #dcafc0
bastion_tea, #fffcff
blazing_bark, #f4e7eb
bombegrante_hornbeer, #b69d8d
bombegrante_jelly, #dd6440
bombegrante_pie, #ffac5b
bombegrante_pie_slice, #ffb150
bombegrante_steak, #ffc9b5
bombegrante_tea, #ffffff
bowl_of_honey_glazed_chimera, #ffe0c0
bowl_of_wilden_salad, #f1e1ee
cascading_bark, #e8edf5
chimera_horn, #a29187
chimera_meat, #fffffe
chimera_meat_slice, #ffffff
chimera_skewer, #abb479
flourishing_bark, #eaeeea
frostaya_hornbeer, #ac9d9b
frostaya_jelly, #7f78c2
frostaya_mutton, #c2b8dc
frostaya_pie, #e6cacf
frostaya_pie_slice, #cab1c9
frostaya_tea, #ffffff
grilled_chimera_meat, #ffe6cd
grilled_chimera_meat_slice, #ffffff
grilled_chimera_skewer, #8e7541
grilled_wilden_meat, #e4c6c0
grilled_wilden_meat_slice, #ffffff
grilled_wilden_skewer, #6b552f
honey_glazed_chimera, #f2c6b1
horn_roll, #917a89
mendosteen_chicken, #e8dea7
mendosteen_hornbeer, #b1a48d
mendosteen_jelly, #7ca52f
mendosteen_pie, #c67241
mendosteen_pie_slice, #d2c241
mendosteen_tea, #ffffff
neutralized_bombegrante_jam, #ffffff
neutralized_frostaya_jam, #ffffff
source_berry_cookie, #fff2d0
source_berry_cupcake, #fffff1
source_berry_hornbeer, #826462
source_berry_jam, #c694da
source_berry_jelly, #984a97
source_berry_pie_slice, #ffffff
source_berry_tea, #aa8de0
unstable_cocktail, #ffc6b5
vexing_bark, #f1e7f8
wilden_horn_powder, #ffffff
wilden_meat, #ffd4d2
wilden_meat_slice, #ffffff
wilden_salad, #9872a2
wilden_sauce, #ffffff
wilden_skewer, #867343
wilden_spike_powder, #fffff1
wilden_stew, #845b2c
