// Compost colors for ballistix. You may add your own colors, change existing ones, or remove colors that aren't needed.
defuser, #573a3a
dustpoison, #979758
grenadeattractive, #756c6b
grenadechemical, #808452
grenadecondensive, #797965
grenadedebilitation, #9b9b9b
grenadeincendiary, #7a736b
grenaderepulsive, #756f6e
grenadeshrapnel, #667a4e
laserdesignator, #5b5e34
minecartantimatter, #616b75
minecartattractive, #626b5f
minecartbreaching, #686c5e
minecartchemical, #5f6b5f
minecartcondensive, #626b5f
minecartcontagious, #686c5e
minecartdarkmatter, #6e5a61
minecartdebilitation, #5f6b5f
minecartemp, #5e6f70
minecartfragmentation, #686c5e
minecartincendiary, #696b5e
minecartlargeantimatter, #5a656e
minecartnuclear, #5e6669
minecartobsidian, #646468
minecartrepulsive, #626b5f
minecartshrapnel, #808380
minecartthermobaric, #686b5f
radargun, #75473c
scanner, #625454
tracker, #39443a
