// Compost colors for bettas. You may add your own colors, change existing ones, or remove colors that aren't needed.
algae_scraper, #6f6f6f
allround, #a8bcb6
angelfish_bucket, #c0a09b
betta_bucket, #7f8291
cherrybarb_bucket, #a7a2b6
clownfish_bucket, #c2abac
crab_bucket, #b1a1aa
crystalshrimp_bucket, #aaaab8
duckweed, #556c1e
filefish_bucket, #a4bbc0
filter, #182d30
ghostshrimp_bucket, #a5abbb
glaucus_bucket, #9da5be
glowfish_bucket, #9dacb8
goldfish_bucket, #ccae9d
guppy_bucket, #a2aebe
heater, #291f1f
isopod_bucket, #b9bbc0
jelly_bucket, #b8aeaf
koi_bucket, #beb4b8
peacockshrimp_bucket, #a5abbc
pleco_bucket, #aba4ab
salamander_bucket, #a4aebb
seadragon_bucket, #9da7ae
seahorse_bucket, #b9b8bc
seaslug_bucket, #a1a4b5
seastar_item, #b68475
silvershark_bucket, #abafbf
snail_bucket, #aaa8ae
snakehead_bucket, #8d919b
tetra_bucket, #a4abbf
