// Compost colors for betterend. You may add your own colors, change existing ones, or remove colors that aren't needed.
aeridium, #ff8a8e
aeternium_upgrade_smithing_template, #feffcf
amaranita_fur, #fbffff
amber_gem, #ffffe3
amber_grass, #f18a1e
amber_root_seed, #937a66
aurant_polypore, #dd7c84
blooming_cooksonia, #ddffff
blossom_berry, #ffffff
blossom_berry_seed, #ffffff
blue_vine_fur, #ffffff
blue_vine_seed, #ffffff
bolux_mushroom, #ffd0b5
bucket_end_fish, #c6e4ff
bulb_moss, #ffffe6
bulb_vine, #ffd7ff
bulb_vine_seed, #fff8ff
bushy_grass, #ddcffe
cave_grass, #cc7ad0
cave_pumpkin_seed, #ff9b7d
charnia_cyan, #ffffff
charnia_green, #ffffff
charnia_light_blue, #ffffff
charnia_orange, #ffffff
charnia_purple, #ffffff
charnia_red, #ffffff
chorus_grass, #ffaeff
chorus_mushroom_seed, #ffc9ff
clawfern, #ff6b7f
creeping_moss, #deffff
crystal_grass, #ffffff
crystal_moss_cover, #5edaee
crystal_shards, #d0c5ff
crystalline_sulphur, #ffffc5
cyan_moss, #ccffff
dense_vine, #f8ffff
diamond_hammer, #96d2b8
dragon_tree_hanging_sign, #39294b
elytra_armored, #6b7d80
end_fish_cooked, #f7ffff
end_fish_raw, #ddffff
end_lily_leaf, #6ff8d0
end_lily_leaf_dried, #fbfeda
end_lily_seed, #ffffff
end_lotus_hanging_sign, #80eeff
end_lotus_seed, #eaffff
end_stone_stalactite, #ffffff
end_stone_stalactite_cavemoss, #ffffff
ender_dust, #bf5d9
filalux, #edbcb4
filalux_wings, #f490a2
flamaea, #ffead3
fracturn, #ffffff
globulagus, #ffa2a0
glowing_bulb, #ffffff
glowing_pillar_leaves, #ffffff
glowing_pillar_seed, #ffffff
golden_hammer, #fff1aa
guidebook, #cddcc8
handle_attachment_smithing_template, #ffffc9
helix_tree_hanging_sign, #da8936
hydralux_sapling, #cabf94
iron_hammer, #fffffe
jellyshroom_hanging_sign, #729daa
jungle_fern, #ebffff
jungle_grass, #ffffff
jungle_vine, #4bd3bf
lacugrove_hanging_sign, #faf7b5
lamellarium, #ff7a7c
lanceleaf_seed, #ffffff
leather_handle_attachment_smithing_template, #54ebd7
lucernia_hanging_sign, #d45e5a
lucernia_jellyshroom_hanging_sign, #c65e5e
lucernia_outer_leaves, #eb8a8d
lumecorn_seed, #ffffff
lutebus, #ff9347
magnula, #849ef4
mossy_glowshroom_fur, #8dffff
mossy_glowshroom_hanging_sign, #25af96
murkweed, #aaa4ab
needlegrass, #ffffff
netherite_hammer, #f7ebe6
netherite_upgrade_smithing_template, #8a978d
orango, #ff874d
plate_upgrade_smithing_template, #ffffca
pond_anemone, #fff2d6
purple_polypore, #ffebff
pythadendron_hanging_sign, #7c3d7d
raw_amber, #fffff1
respawn_obelisk, #ffffff
rubinea, #ff3e87
ruscus, #ff5e5e
salteago, #b1ffff
shadow_berry, #d3caa2
shadow_berry_cooked, #f7f8ff
shadow_berry_raw, #f1faff
shadow_plant, #9d9d9d
small_amaranita_mushroom, #ff8d84
small_jellyshroom, #ffffff
smaragdant_crystal_shard, #e0bf
sulphur_crystal, #ffff80
tail_moss, #ffffff
tenanea_flowers, #ffeaff
tenanea_hanging_sign, #c878af
tenanea_outer_leaves, #ffffff
terminite_upgrade_smithing_template, #ffffe6
thallasium_upgrade_smithing_template, #ffffea
tool_assembly_smithing_template, #cca7ab
tube_worm, #ffffff
twisted_moss, #f1e1ff
twisted_umbrella_moss, #c8ffff
twisted_umbrella_moss_tall, #ffffff
twisted_vine, #ffffff
umbrella_moss, #caffff
umbrella_moss_tall, #ffffff
umbrella_tree_hanging_sign, #127c87
vaiolush_fern, #a2fbf8
