// Compost colors for bloat_monster_ores. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_feather, #ffffff
blaze_bone, #fffff5
blazed_coal, #ffffb1
blue_feather, #ffffff
charged_explosive_pickaxe, #ffffff
charged_gun_powder, #ffffff
cooked_hamtasm, #ffd6d6
crystal_feather, #ffffff
cyan_rose, #4ac2b4
ecton_scythe, #ffffff
ender_bone, #ffffff
ender_coal, #c8f1ea
ends_scythe, #f5ffff
endyster_ingot, #d3fffe
endyster_pickaxe, #e8fff7
exotic_spider_eye, #ffdce4
fresh_flesh, #ffffff
gilded_hammer, #ffffff
hamtasm, #ffffff
petrified_wood_door, #ffffe8
phantom_coal, #ffffff
phantom_powder, #ffffff
polished_spider_eye, #ffd0de
red_feather, #ffffff
sculk_bone, #d3e3e6
sculk_clump, #bcdce3
sculk_tendril, #eeffff
soul_blaze_bone, #ffffff
soulflame_hammer, #ffffff
spectral_feather, #ffffff
totemite_ingot, #ffffe7
unrefined_totemite, #ffffd3
warped_lazuli, #b6fffc
xpeterite, #f4ffb4
