// Compost colors for blueskiesdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
azulfo_sandwich, #a48d47
beneful_mushroom_stew, #8c586c
blue_skies_salad, #8a7c6f
brewberry_salad, #9d6e78
charoite_knife, #bc8dcd
comet_berries_custard, #ffaecd
comet_berries_jem, #ffc5da
comet_ice_cream, #ff6458
crescent_ice_cream, #ff860b
crescent_jem, #ffcf9d
crescent_shake, #feb183
cryo_root_jem, #c5ffff
cryo_root_pie, #eeeabb
diopside_knife, #3dda34
falsite_knife, #7540bf
fiery_cider, #f2b6ae
grilled_monitor_tail, #c88276
horizonite_knife, #de7230
monitor_tail_stick, #cd7350
moonstonr_knife, #d2faff
pine_cider, #9d949b
pine_cookie, #ffa85a
pine_fruit_jem, #a59ba1
pyrope_knife, #da475f
roast_venison, #8c6f83
scalefruit_cider, #fabcfa
snowcap_mushroom_stew, #7c8065
solnut_salad, #a06816
solnut_shake, #e0b886
ventium_knife, #bb392f
