// Compost colors for botania. You may add your own colors, change existing ones, or remove colors that aren't needed.
agricarnation, #66f23e
agricarnation_chibi, #61f441
ancient_will_ahrim, #ffffff
ancient_will_dharok, #ffffff
ancient_will_guthan, #ffffff
ancient_will_karil, #ffffff
ancient_will_torag, #ffffff
ancient_will_verac, #ffffff
astrolabe, #ff94e3
aura_ring, #dcffff
aura_ring_greater, #c3ffb5
auto_crafting_halo, #40d7ff
balance_cloak, #97f5c6
bauble_box, #cdf0ff
bellethorn, #a54a48
bellethorn_chibi, #b14044
bergamute, #8e82ae
bifrost_pane, #b5b5b5
black_double_flower, #3a2d3c
black_hole_talisman, #d678ab
black_lotus, #c0bec3
black_mushroom, #e3d6cc
black_mystical_flower, #485a3c
black_petal, #2f2632
black_shiny_flower, #5c6c4d
blacker_lotus, #8d8690
blood_pendant, #ffffff
blue_double_flower, #2d43ff
blue_mushroom, #d6d4ff
blue_mystical_flower, #2a52f8
blue_petal, #2937fb
blue_shiny_flower, #406fff
brew_flask, #a8b598
brew_vial, #b1b8c8
brown_double_flower, #ae7007
brown_mushroom, #ca9a57
brown_mystical_flower, #a0830f
brown_petal, #944a04
brown_shiny_flower, #af9815
bubbell, #afb9e
bubbell_chibi, #bfca2
cacophonium, #ffff69
clayconia, #b1c0ca
clayconia_chibi, #acbfc3
clip, #cae6e6
cloud_pendant, #ffffff
cobble_rod, #dad2cf
corporea_spark, #ffffff
corporea_spark_creative, #ffffff
corporea_spark_master, #ffffff
cosmetic_alien_antenna, #ffffff
cosmetic_anaglyph_glasses, #ffffff
cosmetic_ancient_mask, #f2e1c3
cosmetic_black_bowtie, #ffffff
cosmetic_black_tie, #ffffff
cosmetic_blue_butterfly, #66c2
cosmetic_botanist_emblem, #6e7d2a
cosmetic_cat_ears, #ffffe8
cosmetic_clock_eye, #ffffbc
cosmetic_devil_horns, #ffffff
cosmetic_devil_tail, #f5f5f5
cosmetic_eerie_mask, #caa58c
cosmetic_engineer_goggles, #ffffff
cosmetic_eyepatch, #d6d6d6
cosmetic_four_leaf_clover, #a0ffb8
cosmetic_googly_eyes, #ffffff
cosmetic_groucho_glasses, #ffffff
cosmetic_hyper_plus, #ffffff
cosmetic_kamui_eye, #fffbd4
cosmetic_lusitanic_shield, #ffac9a
cosmetic_orange_shades, #ffffff
cosmetic_pink_flower_bud, #ffffff
cosmetic_polka_dotted_bows, #fff4f4
cosmetic_puffy_scarf, #79a2cd
cosmetic_questgiver_mark, #ffffff
cosmetic_red_glasses, #ffffff
cosmetic_red_ribbons, #ffabab
cosmetic_thick_eyebrows, #ebebeb
cosmetic_thinking_hand, #ffca14
cosmetic_tiny_potato_mask, #ffffff
cosmetic_unicorn_horn, #ffffff
cosmetic_wicked_eyepatch, #ffffff
cosmetic_witch_pin, #f7ab93
crafting_halo, #a7f1ff
crystal_bow, #ffffff
cyan_double_flower, #32bfd3
cyan_mushroom, #c2fbff
cyan_mystical_flower, #2fb4bc
cyan_petal, #1c96e1
cyan_shiny_flower, #4bd6d2
daffomill, #ffff61
dandelifeon, #bccab4
daybloom_motif, #fbff1b
detector_light_relay, #ffffff
dice, #4d6551
dirt_rod, #fff7eb
diva_charm, #ffffff
divining_rod, #fffcf7
dodge_ring, #c9ffff
dragonstone, #ff9bf0
dreadthorn, #3e4a54
dreamwood_twig, #78d4ff
dreamwood_wand, #89e3ff
dry_seeds, #ffffff
elementium_axe, #aba8f1
elementium_boots, #ffffff
elementium_chestplate, #ff9aeb
elementium_helmet, #ffd6ff
elementium_hoe, #a8b2f2
elementium_ingot, #f787de
elementium_leggings, #ffd7ff
elementium_nugget, #d35ecf
elementium_pickaxe, #9eaef1
elementium_shears, #ca9aea
elementium_shovel, #c2a8f4
elementium_sword, #bfabf2
elf_glass_pane, #fcffff
ender_air_bottle, #8c8e69
ender_dagger, #254652
ender_hand, #f7fbfa
endoflame, #f4c80e
entropinnyum, #8e5836
exchange_rod, #c9a084
exoflame, #8c2616
fallen_kanade, #eaffea
fertilizer, #c2ffb1
fire_rod, #d39057
flare_chakram, #ffe35c
flask, #a8b598
flight_tiara, #ffffff
flower_bag, #ffeec8
flugel_eye, #f8c5ac
fork_light_relay, #ffffff
gaia_ingot, #bfbfbf
ghost_rail, #e3ddcf
glass_pickaxe, #ffffff
goddess_charm, #ffffff
golden_seeds, #ffffff
gourmaryllis, #b2d028
grass_seeds, #ffffff
gravity_rod, #ffffff
gray_double_flower, #64656c
gray_mushroom, #fffef8
gray_mystical_flower, #627961
gray_petal, #64656c
gray_shiny_flower, #738c72
green_double_flower, #20a50f
green_mushroom, #abed8a
green_mystical_flower, #229b2a
green_petal, #229e07
green_shiny_flower, #44c540
heisei_dream, #823ec8
holy_cloak, #ffffca
hopperhock, #5f5f5a
hopperhock_chibi, #5a5757
horn_grass, #967569
horn_leaves, #897c62
horn_snow, #ac9a91
hyacidus, #9e7f97
hydroangeas, #57d7f4
hydroangeas_motif, #57d7f4
ice_pendant, #ffffff
incense_stick, #522615
infinite_fruit, #ffffd0
infused_seeds, #ffffff
invisibility_cloak, #ffffff
itemfinder, #51805b
jaded_amaranthus, #b45484
jiyuulia, #cfcfeb
jiyuulia_chibi, #c8d4e1
keep_ivy, #d2debc
kekimurus, #f0bea5
king_key, #ffff44
knockback_belt, #ab9890
labellia, #c5f49a
laputa_shard, #6ffffe
lava_pendant, #fffffe
lens_bounce, #ffffff
lens_damage, #ffffff
lens_efficiency, #ffffff
lens_explosive, #ffffff
lens_fire, #ffffff
lens_firework, #ffffff
lens_flare, #ffffff
lens_gravity, #ffffff
lens_influence, #ffffff
lens_light, #ffffff
lens_magnet, #ffffff
lens_messenger, #ffffff
lens_mine, #ffffff
lens_normal, #ffffff
lens_paint, #ffffff
lens_phantom, #ffffff
lens_piston, #ffffff
lens_power, #ffffff
lens_redirect, #ffffff
lens_speed, #ffffff
lens_storm, #ffffff
lens_time, #ffffff
lens_tripwire, #ffffff
lens_warp, #ffffff
lens_weight, #ffffff
lexicon, #8ca580
life_essence, #cccccc
light_blue_double_flower, #94fcff
light_blue_mushroom, #f4ffff
light_blue_mystical_flower, #68d6e6
light_blue_petal, #70c9ff
light_blue_shiny_flower, #76ddea
light_gray_double_flower, #b1c3b9
light_gray_mushroom, #ffffff
light_gray_mystical_flower, #a5beab
light_gray_petal, #909b9e
light_gray_shiny_flower, #b4ccb9
light_relay, #ffffff
lime_double_flower, #66ff39
lime_mushroom, #f1ffc8
lime_mystical_flower, #5ff834
lime_petal, #54ff3a
lime_shiny_flower, #78fc4b
living_root, #ede1ca
livingwood_bow, #ffffff
livingwood_twig, #5c1608
loki_ring, #ffffcd
loonium, #87b84b
magenta_double_flower, #ff26fa
magenta_mushroom, #ffbcff
magenta_mystical_flower, #4d2048
magenta_petal, #de0be8
magenta_shiny_flower, #5a3654
magnet_ring, #c5f5ff
magnet_ring_greater, #b5ffa5
mana_bottle, #a0ffff
mana_cookie, #c8fcff
mana_diamond, #66ffff
mana_glass_pane, #fcffff
mana_mirror, #dcc2aa
mana_pearl, #36fcff
mana_powder, #39f4ff
mana_ring, #d4ffff
mana_ring_greater, #b8ffb1
mana_string, #82feff
mana_tablet, #ffffff
manastar, #516457
manasteel_axe, #6f588d
manasteel_boots, #ffffff
manasteel_chestplate, #97ccff
manasteel_helmet, #ffffff
manasteel_hoe, #6e4666
manasteel_ingot, #84bbff
manasteel_leggings, #faffff
manasteel_nugget, #618cff
manasteel_pick, #684b7f
manasteel_shears, #7c82c5
manasteel_shovel, #736caa
manasteel_sword, #694e87
manaweave_boots, #dae8ea
manaweave_chestplate, #9bffff
manaweave_cloth, #2cffff
manaweave_helmet, #daffff
manaweave_leggings, #90ffff
marimorphosis, #a89796
marimorphosis_chibi, #9a8e8a
medumone, #a16f2a
mining_ring, #d4ffff
missile_rod, #ebeaff
monocle, #ffffff
munchdew, #cd4836
mutated_seeds, #ffffff
mycelium_seeds, #ffffff
narslimmus, #7fde7a
nightshade_motif, #ffffff
obedience_stick, #b2a2a5
odin_ring, #ffff9a
open_bucket, #ffb4f8
orange_double_flower, #ffab12
