// Compost colors for caupona. You may add your own colors, change existing ones, or remove colors that aren't needed.
acquacotta, #fffffe
any_based, #ffffe7
asafoetida, #e8c3a5
asafoetida_spice_jar, #c68d75
asses, #ffd4bb
bamboo_skimmer, #e6d4a0
basalt_tesserae, #969698
bisque, #ffffff
bisque_aspic, #fffcd6
bone_gelatin, #e3b98a
borscht, #fffffe
borscht_aspic, #e4a7ac
borscht_cream, #ffffff
brick_tesserae, #e7ab9a
chives_spice_jar, #c29a82
chronoconis, #f5faff
clay_cistern, #c6cfe8
clay_portable_brazier, #ccd3ea
congee, #ffffee
copper_frying_pan, #e68e73
cream_of_meat_soup, #ffffff
cream_of_mushroom_soup, #ffffff
custard, #fffff4
dilute_soup, #ffffff
dilute_soup_aspic, #ffffee
egg_drop_soup, #ffffff
egg_drop_soup_aspic, #ffffdd
egg_tongsui, #ffffff
fig, #fffaff
fig_sapling, #ffffe0
fish_chowder, #ffffff
fish_soup, #fffffb
fish_soup_aspic, #fff8c8
fresh_wolfberry_leaves, #7f9162
fricassee, #ffffff
garum_spice_jar, #c0937c
goji_tongsui, #ffffff
goulash, #fffffb
goulash_aspic, #ffc6ae
gravy_boat, #faf2d9
gruel, #ffffed
hodgepodge, #ffffff
hodgepodge_aspic, #ffffdc
huevos_pericos, #e6cd97
iron_frying_pan, #a4a2a5
iron_skimmer, #c8c0b8
lateres, #ca7f6b
lead_frying_pan, #cccfda
lead_ingot, #c2ccde
lead_nugget, #ffffff
lead_stew_pot, #b6c0d3
leaden_walnut, #b49086
litharge_cake, #f8bba4
meat_soup, #ffffff
meat_soup_aspic, #f8d9b8
milk, #ffffff
milk_based, #fff8e1
mushroom_soup, #ffffff
mushroom_soup_aspic, #ffdec2
nail_soup, #fbfbfa
nettle_soup, #fffffc
nettle_soup_aspic, #c6e7b4
okroshka, #ffffff
plump_snail, #c6ae8c
porridge, #fffee8
portable_brazier, #d28e7c
poultry_soup, #ffffff
poultry_soup_aspic, #fffeca
pumice_bloom, #f8f5ed
pumice_tesserae, #dedcd4
pumpkin_soup, #fffffe
pumpkin_soup_aspic, #ffe4b1
pumpkin_soup_cream, #ffffff
redstone_ladle, #b2a497
rice_pudding, #fffff1
sapa_spice_jar, #bf917d
sauteed_beef, #e1be9d
sauteed_greens, #c5bc87
sauteed_hodgepodge, #d4c286
sauteed_meat, #d4bc8e
sauteed_mushrooms, #d2b58c
sauteed_roots, #dec589
sauteed_seafood, #edc597
sauteed_vegetables, #c9b693
scalded_milk, #ffffff
scraps, #fef4dc
seared_fillet, #f4d2a1
seared_poultry, #e0c296
seaweed_soup, #fffffc
seaweed_soup_aspic, #f5fed4
silphium, #cccc5c
situla, #6b686b
snail, #d3bfa7
snail_bait, #ffebbb
snail_block, #ffffff
soot, #b1aeae
stew_pot, #d69684
stock, #ffffff
stock_aspic, #ffffdc
stock_based, #fff7c5
stone_griddle, #f2f1f2
stracciatella, #ffffff
stracciatella_aspic, #ffffde
sugar_spice_jar, #d09e8d
ukha, #fffffa
vegetable_chowder, #fffffb
vegetable_soup, #fffff7
vegetable_soup_aspic, #ffffde
vinegar_spice_jar, #c8977f
vivid_charcoal, #b4b2a5
walnut, #fbd9c2
walnut_boat, #cf9e83
walnut_door, #fff1de
walnut_sapling, #def1bc
walnut_sign, #ffddc2
walnut_soup, #ffffff
water, #ffffff
water_or_stock_based, #faf0d7
wolfberries, #daaaa0
wolfberry_sapling, #ffffff
