// Compost colors for colorbricks16. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_brick, #302f47
black_brick_flower_pot, #3a3957
black_clay_ball, #262548
black_stained_glass_brick, #ffffff
black_stained_glass_flower_pot, #ffffff
blue_brick, #3c6fda
blue_brick_flower_pot, #3265d3
blue_clay_ball, #4378dd
blue_stained_glass_brick, #ffffff
blue_stained_glass_flower_pot, #ffffff
brown_brick, #935123
brown_brick_flower_pot, #894b1f
brown_clay_ball, #a15a26
brown_stained_glass_brick, #ffffff
brown_stained_glass_flower_pot, #ffffff
cyan_brick, #328cb4
cyan_brick_flower_pot, #2984aa
cyan_clay_ball, #3ea1c9
cyan_stained_glass_brick, #ffffff
cyan_stained_glass_flower_pot, #ffffff
glass_brick, #ffffff
glass_flower_pot, #b4feff
gray_brick, #757575
gray_brick_flower_pot, #5a5a5a
gray_clay_ball, #7f7f7f
gray_stained_glass_brick, #ffffff
gray_stained_glass_flower_pot, #ffffff
green_brick, #4d6f19
green_brick_flower_pot, #4b6f16
green_clay_ball, #557c19
green_stained_glass_brick, #ffffff
green_stained_glass_flower_pot, #ffffff
light_blue_brick, #78b2ff
light_blue_brick_flower_pot, #5fa1fb
light_blue_clay_ball, #7dbbff
light_blue_stained_glass_brick, #ffffff
light_blue_stained_glass_flower_pot, #ffffff
light_gray_brick, #aaaab5
light_gray_brick_flower_pot, #767676
light_gray_clay_ball, #a7a7b5
light_gray_stained_glass_brick, #ffffff
light_gray_stained_glass_flower_pot, #ffffff
lime_brick, #7acd1e
lime_brick_flower_pot, #6fc026
lime_clay_ball, #83d726
lime_stained_glass_brick, #ffffff
lime_stained_glass_flower_pot, #ffffff
magenta_brick, #f16ef0
magenta_brick_flower_pot, #dd5eda
magenta_clay_ball, #f472f1
magenta_stained_glass_brick, #ffffff
magenta_stained_glass_flower_pot, #ffffff
orange_brick, #fe962a
orange_brick_flower_pot, #dd8729
orange_clay_ball, #fc9e2a
orange_stained_glass_brick, #ffffff
orange_stained_glass_flower_pot, #ffffff
pink_brick, #ff9dcc
pink_brick_flower_pot, #f483bc
pink_clay_ball, #ffa5dc
pink_stained_glass_brick, #ffffff
pink_stained_glass_flower_pot, #ffffff
purple_brick, #c262ff
purple_brick_flower_pot, #b957f4
purple_clay_ball, #c35ffb
purple_stained_glass_brick, #ffffff
purple_stained_glass_flower_pot, #ffffff
red_brick, #ca344d
red_brick_flower_pot, #ca324b
red_clay_ball, #c9324b
red_stained_glass_brick, #ffffff
red_stained_glass_flower_pot, #ffffff
white_brick, #d6d6f1
white_brick_flower_pot, #d7d7f8
white_clay_ball, #e3e4ff
white_stained_glass_brick, #ffffff
white_stained_glass_flower_pot, #ffffff
yellow_brick, #ffd926
yellow_brick_flower_pot, #e6c51f
yellow_clay_ball, #ffe126
yellow_stained_glass_brick, #ffffff
yellow_stained_glass_flower_pot, #ffffff
