// Compost colors for colored_water. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_water_bucket, #969697
blue_water_bucket, #9b9daf
brown_water_bucket, #a8a09a
condense_black_water_bucket, #878789
condense_blue_water_bucket, #9093ac
condense_brown_water_bucket, #a2978e
condense_cyan_water_bucket, #87a8a8
condense_gray_water_bucket, #939696
condense_green_water_bucket, #98a187
condense_light_blue_water_bucket, #8db2be
condense_light_gray_water_bucket, #aeaeab
condense_lime_water_bucket, #a1b489
condense_magenta_water_bucket, #b893b5
condense_orange_water_bucket, #c8a284
condense_pink_water_bucket, #d2a7b4
condense_purple_water_bucket, #a48eaf
condense_red_water_bucket, #ae8d8a
condense_white_water_bucket, #c9caca
condense_yellow_water_bucket, #d4c587
cyan_water_bucket, #94acac
gray_water_bucket, #9d9ea0
green_water_bucket, #a1a794
light_blue_water_bucket, #9ab4bb
light_gray_water_bucket, #afafae
lime_water_bucket, #a7b496
luminous_black_water_bucket, #969697
luminous_blue_water_bucket, #9b9daf
luminous_brown_water_bucket, #a8a09a
luminous_condense_black_water_bucket, #878789
luminous_condense_blue_water_bucket, #9093ac
luminous_condense_brown_water_bucket, #a2978e
luminous_condense_cyan_water_bucket, #87a8a8
luminous_condense_gray_water_bucket, #939696
luminous_condense_green_water_bucket, #98a187
luminous_condense_light_blue_water_bucket, #8db2be
luminous_condense_light_gray_water_bucket, #aeaeab
luminous_condense_lime_water_bucket, #a1b489
luminous_condense_magenta_water_bucket, #b893b5
luminous_condense_orange_water_bucket, #c8a284
luminous_condense_pink_water_bucket, #d2a7b4
luminous_condense_purple_water_bucket, #a48eaf
luminous_condense_red_water_bucket, #ae8d8a
luminous_condense_white_water_bucket, #c9caca
luminous_condense_yellow_water_bucket, #d4c587
luminous_cyan_water_bucket, #94acac
luminous_gray_water_bucket, #9d9ea0
luminous_green_water_bucket, #a1a794
luminous_light_blue_water_bucket, #9ab4bb
luminous_light_gray_water_bucket, #afafae
luminous_lime_water_bucket, #a7b496
luminous_magenta_water_bucket, #b89db5
luminous_orange_water_bucket, #c2a893
luminous_pink_water_bucket, #c9abb4
luminous_purple_water_bucket, #aa9ab1
luminous_red_water_bucket, #af9897
luminous_white_water_bucket, #c3c5c5
luminous_yellow_water_bucket, #cac096
magenta_water_bucket, #b89db5
orange_water_bucket, #c2a893
pink_water_bucket, #c9abb4
purple_water_bucket, #aa9ab1
red_water_bucket, #af9897
white_water_bucket, #c3c5c5
yellow_water_bucket, #cac096
