// Compost colors for cp_tweaks. You may add your own colors, change existing ones, or remove colors that aren't needed.
autumn, #ff8a3e
brass_axe, #ffffff
brass_hoe, #fafff1
brass_pickaxe, #f8ffee
brass_shovel, #ffffff
brass_sword, #c2f7ca
calorite_axe, #ffffff
calorite_boots, #ffd6e8
calorite_chestplate, #ff9ab5
calorite_helmet, #fffbff
calorite_hoe, #ffffff
calorite_leggings, #ffd9eb
calorite_pickaxe, #fffefe
calorite_shovel, #ffffff
calorite_sword, #ffffff
copper_axe, #ffc6ae
copper_hoe, #ffc9ae
copper_pickaxe, #f4af90
copper_shovel, #ffddc5
copper_sword, #e68d61
create_planetary_tweaks_logo, #ffffff
desh_axe, #ffffff
desh_boots, #ffffff
desh_chestplate, #fff1cf
desh_helmet, #ffffff
desh_hoe, #fffffe
desh_leggings, #fffff1
desh_pickaxe, #ffffe4
desh_shovel, #ffffff
desh_sword, #e08737
desh_tipped_stone_axe, #ffffff
desh_tipped_stone_hoe, #ffffff
desh_tipped_stone_pickaxe, #fffff4
desh_tipped_stone_shovel, #ffffff
desh_tipped_stone_sword, #ffffff
dry, #ff9841
ender_guardian_gu, #ffffff
ftl_glacian_engine, #cde4ff
glacian_engine_fan, #c9e7ff
glacian_engine_frame, #d6edff
ice_shard_axe, #f4ffff
ice_shard_boots, #6e9ed7
ice_shard_chestplate, #b1d9ff
ice_shard_helmet, #b6d3f8
ice_shard_hoe, #dcfeff
ice_shard_leggings, #6290c9
ice_shard_pickaxe, #f1ffff
ice_shard_shovel, #f5ffff
ice_shard_sword, #ffffff
ignitium_engine, #ff7d51
ignitium_sheet, #ffffe6
monstrosity_gu, #ffffff
ostrum_axe, #f8cad0
ostrum_boots, #ffffff
ostrum_chestplate, #fff8fe
ostrum_helmet, #ffffff
ostrum_hoe, #eec0c6
ostrum_leggings, #ffffff
ostrum_pickaxe, #edbbc0
ostrum_shovel, #ffd2d7
ostrum_sword, #b15c66
reinforced_rocket_fin, #c5aecd
reinforced_rocket_nose_cone, #ff91a4
spring, #ff7dbc
stabilized_frozen_gu, #ffffff
stabilized_ice_sheet, #ffffff
starlit_tree_bark, #ffffff
steel_axe, #7d6e72
steel_hoe, #665558
steel_ingot, #989198
steel_pickaxe, #66575c
steel_shovel, #736468
steel_sword, #807980
sturdy_desh_sheet, #d683ff
sturdy_ostrum_sheet, #ff738e
summer, #ffff61
unstable_ice_shard, #ffffff
void_worm_gu, #ffffff
void_wormed_axe, #ffffff
void_wormed_boots, #eeebfc
void_wormed_chestplate, #d6d2e7
void_wormed_helmet, #ffffff
void_wormed_hoe, #ffffff
void_wormed_leggings, #eeebfb
void_wormed_pickaxe, #ffffff
void_wormed_shovel, #ffffff
void_wormed_sword, #d4d0e4
wet, #51a5ff
winter, #b6f1ff
zinc_axe, #dad7c8
zinc_hoe, #e6e1d4
zinc_pickaxe, #d0cdbe
zinc_shovel, #ffffff
zinc_sword, #a0a58d
