// Compost colors for create_central_kitchen. You may add your own colors, change existing ones, or remove colors that aren't needed.
aloe_cake_slice, #d3e173
cherry_pie_slice, #ff8961
chocolate_cake_slice, #a24832
cooking_guide, #845e5a
creative_tab_icon, #845e5a
honey_cake_slice, #ffaa34
incomplete_apple_pie, #ffc06e
incomplete_bacon_sandwich, #cf8e44
incomplete_cherry_pie, #ff9d65
incomplete_chicken_sandwich, #be8432
incomplete_chorus_flower_pie, #ffffff
incomplete_chorus_fruit_pie, #ffffde
incomplete_egg_sandwich, #c6963e
incomplete_hamburger, #a47326
incomplete_mulberry_pie, #ffe4b6
incomplete_mutton_wrap, #e3af6e
incomplete_pumpkin_pie, #ffb458
incomplete_sweet_berry_cheesecake, #f7b679
incomplete_truffle_pie, #d69e78
mulberry_pie_slice, #ffb698
passionfruit_cake_slice, #ffffd4
pumpkin_cake_slice, #f1aa72
sap_bucket, #dcaa8d
sweet_berry_cake_slice, #862620
syrup_bucket, #b98e7f
tomato_sauce_bucket, #c08282
truffle_pie_slice, #e6c99a
yucca_cake_slice, #a1a75a
