// Compost colors for create_mechanical_spawner. You may add your own colors, change existing ones, or remove colors that aren't needed.
spawn_fluid_bat_bucket, #cdb8c2
spawn_fluid_bee_bucket, #cdca90
spawn_fluid_blaze_bucket, #cdac90
spawn_fluid_chicken_bucket, #cccfcd
spawn_fluid_cow_bucket, #9d9a96
spawn_fluid_creeper_bucket, #93c390
spawn_fluid_drowned_bucket, #8ed0c5
spawn_fluid_enderman_bucket, #8eaca4
spawn_fluid_evoker_bucket, #afb2b1
spawn_fluid_fox_bucket, #cdb690
spawn_fluid_ghast_bucket, #c5c8c6
spawn_fluid_horse_bucket, #aea490
spawn_fluid_magma_cube_bucket, #ae9190
spawn_fluid_panda_bucket, #c8cac9
spawn_fluid_parrot_bucket, #cd9190
spawn_fluid_pig_bucket, #cdb8c2
spawn_fluid_pigling_bucket, #cdbbc8
spawn_fluid_rabbit_bucket, #cdb8c2
spawn_fluid_random_bucket, #bb91cf
spawn_fluid_skeleton_bucket, #a4a7a5
spawn_fluid_slime_bucket, #94d090
spawn_fluid_spider_bucket, #979190
spawn_fluid_villager_bucket, #a29e90
spawn_fluid_witch_bucket, #91a590
spawn_fluid_wither_skeleton_bucket, #9da09e
spawn_fluid_wolf_bucket, #cdb8c2
spawn_fluid_zombie_bucket, #91ae90
