// Compost colors for createcafe. You may add your own colors, change existing ones, or remove colors that aren't needed.
aloe_milk_tea, #dcffc9
aloe_tea_bucket, #aec0a0
apple_milk_tea, #fffff4
apple_tea_bucket, #c6c3a7
apricot_milk_tea, #fffff8
apricot_tea_bucket, #beb1a5
avocado_milk_tea, #b9e3b4
avocado_tea_bucket, #aab1a0
banana_iced_coffee, #feeecf
banana_milk_tea, #ffffe1
banana_syrup_bucket, #b5ac89
banana_tea_bucket, #beb8aa
barberry_milk_tea, #eaa8c8
barberry_tea_bucket, #b2969b
blackberry_milk_tea, #dcace8
blackberry_tea_bucket, #a79baa
blood_orange, #ff6c32
blood_orange_milk_tea, #ffe0d6
blood_tea_bucket, #b9948e
blueberry_milk_tea, #d2cfff
blueberry_tea_bucket, #aca8c3
boba, #412c20
boba_cup, #d2e6fb
caramel_iced_coffee, #faddc0
caramel_syrup_bucket, #afa289
cassava_root, #875439
cassava_seeds, #b28a69
cherry_milk_tea, #ebbed6
cherry_tea_bucket, #b9989d
citron_milk_tea, #fffbb5
citron_tea_bucket, #d6c89a
coconut_iced_coffee, #fffff0
coconut_milk_tea, #ffffff
coconut_syrup_bucket, #b5b2ab
coconut_tea_bucket, #c0bfbe
coffee_beans, #c8de87
coffee_bucket, #94908c
coffee_fruit, #ed9450
coffee_grounds, #867266
dragonfruit_milk_tea, #ffbbe3
dragonfruit_tea_bucket, #c398ae
durian_milk_tea, #fff1b5
durian_tea_bucket, #bcb2a1
empty_boba_cup, #d7f0ff
fig_milk_tea, #ddb8eb
fig_tea_bucket, #a494a4
filling_bucket, #c6c6c6
gooseberry_milk_tea, #ffebbb
gooseberry_tea_bucket, #c2b89e
grape_milk_tea, #ffccff
grape_tea_bucket, #bea2b9
grapefruit_milk_tea, #ffc2b5
grapefruit_tea_bucket, #c0a19b
guava_milk_tea, #ffccbf
guava_tea_bucket, #c3aa9e
iced_coffee, #a09696
iced_coffee_cup, #edffff
iced_coffee_cup_ice, #e0ffff
iced_coffee_milk, #d4cac0
jackfruit_milk_tea, #ffffdc
jackfruit_tea_bucket, #c0b8a7
kiwi_milk_tea, #d6ffd4
kiwi_tea_bucket, #afcdaf
lavender_milk_tea, #fcebff
lavender_tea_bucket, #b9abbe
lemon_milk_tea, #ffffee
lemon_tea_bucket, #cac29e
lime_milk_tea, #e0ffd3
lime_tea_bucket, #b9cd9b
lychee_milk_tea, #fff1fa
lychee_tea_bucket, #c2a7a7
mana_berries, #46a8a0
mana_berry_milk_tea, #a2ffff
mana_tea_bucket, #9ac6cc
mandarin_milk_tea, #ffffc2
mandarin_tea_bucket, #d6c88e
mango_milk_tea, #ffffbb
mango_tea_bucket, #c8bba1
melted_sugar_bucket, #c6c6c5
mint_iced_coffee, #fcfee6
mint_syrup_bucket, #a0b5ab
orange_milk_tea, #fff7aa
orange_tea_bucket, #cab99b
oreo, #473c36
oreo_crushed, #5f463c
oreo_dough, #61473d
oreo_half, #291e19
oreo_half_raw, #553e34
oreo_incomplete, #473c36
oreo_milk_tea, #eeeae4
oreo_tea_bucket, #bfbfbe
papaya_milk_tea, #ffffe8
papaya_tea_bucket, #c2aea1
passionfruit_milk_tea, #ffffca
passionfruit_tea_bucket, #c3b99d
peach_milk_tea, #fffff1
peach_tea_bucket, #c2b6ab
persimmon_milk_tea, #fffeeb
persimmon_tea_bucket, #beaaa0
pineapple_milk_tea, #ffffb8
pineapple_tea_bucket, #c5bb9e
plum_milk_tea, #ffe8ff
plum_tea_bucket, #beacc0
pomegranate_milk_tea, #fe9ad7
pomegranate_tea_bucket, #b29a9d
pomelo_milk_tea, #ffd3d2
pomelo_tea_bucket, #caa498
pumpkin_milk_tea, #ffffff
pumpkin_tea_bucket, #bfb9ae
raspberry_iced_coffee, #e7c2da
raspberry_milk_tea, #ffd6ed
raspberry_syrup_bucket, #b58dac
raspberry_tea_bucket, #bca4a7
raw_boba, #ffffff
redlove_milk_tea, #ffcfd2
redlove_tea_bucket, #c8a0a1
roasted_coffee_beans, #694632
starfruit_milk_tea, #ffffdc
starfruit_tea_bucket, #c2b9a2
strawberry_iced_coffee, #fee1f1
strawberry_milk_tea, #ffddf8
strawberry_syrup_bucket, #ab939a
strawberry_tea_bucket, #c3aaae
sweetberry_milk_tea, #ffaec2
sweetberry_tea_bucket, #b99194
tamarind_milk_tea, #ffffea
tamarind_tea_bucket, #c0b4aa
tapioca_flour, #dcdad3
vanilla_iced_coffee, #fff7ea
vanilla_milk_tea, #ffffff
vanilla_syrup_bucket, #b5b2af
vanilla_tea_bucket, #c0beb8
watermelon_milk_tea, #ffd4e3
watermelon_tea_bucket, #b2979b
yucca_milk_tea, #e4ffdc
yucca_tea_bucket, #b5bea1
