// Compost colors for cyclicdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
carrot_diamond_jem, #daffff
carrot_ender_jem, #82e8f1
chorus_flight_custard, #bf91ff
chorus_flight_ice_cream, #9336b2
chorus_spectral_custard, #e391b8
chours_spectral_ice_cream, #c03648
diamond_apple_cider, #79ffff
diamond_carrot_ice_cream, #9affff
diamond_jem, #8cffff
emerald_apple_cider, #abffab
emerald_apple_custard, #afffa8
emerald_jem, #bcffb9
ender_apple_jem, #7ccad7
ender_carrot_ice_cream, #2c9a7d
ender_ice_cream, #1f624d
gem_amber_knife, #e87a16
gem_obsidian_knife, #794393
heart_pie, #ffa15f
iron_apple_cider, #b6cada
iron_apple_custard, #c3d3dd
iron_jem, #bfd0de
lapis_apple_cider, #83a1ff
lapis_apple_custard, #8da5ff
lapis_jem, #89a8ff
pasta_with_heart, #cf5c36
prismarine_apple_cider, #b8ffff
prismarine_apple_ice_cream, #94f8cd
prismarine_jem, #bfffff
