// Compost colors for decocraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
adventsljusstake_blue_flipbook.00, #809794
adventsljusstake_green_flipbook.00, #82af70
adventsljusstake_red_flipbook.00, #dc6f51
adventsljusstake_white_flipbook.00, #fffbde
afghanistan, #5c4440
agender, #797568
air_conditioner, #ffffff
akira, #f4ddde
aland, #7a5a57
alarm_clock_black, #808080
alarm_clock_blue, #8c94b9
alarm_clock_cyan, #89a5ab
alarm_clock_gray, #949391
alarm_clock_green, #8a9b7f
alarm_clock_light_blue, #a8d2e7
alarm_clock_lime, #a7c589
alarm_clock_magenta, #cd91b8
alarm_clock_orange, #dda489
alarm_clock_pink, #f2bbc2
alarm_clock_purple, #ab93c9
alarm_clock_red, #b88484
alarm_clock_white, #e3e3e3
alarm_clock_yellow, #edcf84
albania, #911f32
algeria, #8d9172
alien, #1b221c
ally, #6f5e58
american_samoa, #8e5f6c
anatomical_model, #ae9897
andorra, #96474a
angola, #782930
anguilla, #5a4068
antigua_and_barbuda, #7d4044
apothecary, #574130
arachnophobia, #1f203c
arcade_machine_dk, #433434
arcade_machine_pacman, #392d2f
arcade_machine_pong, #414041
arcade_machine_race, #373333
arcade_machine_snake, #3c3e36
arcade_machine_space_invaders, #3a3e30
arcade_machine_tetris, #46413c
arch_mirror_black, #eaf4fb
arch_mirror_gold, #fffff7
arch_mirror_rose_gold, #ffffff
arch_mirror_silver, #feffff
argentina, #758d8a
arm_desk_black, #8c8073
arm_desk_blue, #9898af
arm_desk_cyan, #7fc6bb
arm_desk_gray, #a49b90
arm_desk_green, #939b68
arm_desk_light_blue, #b2c3d0
arm_desk_light_gray, #c8b6a5
arm_desk_lime, #b4c27d
arm_desk_magenta, #e094ab
arm_desk_orange, #f0b47d
arm_desk_pink, #e6afae
arm_desk_purple, #bb90b9
arm_desk_red, #cf8276
arm_desk_white, #e4d7c6
arm_desk_yellow, #f1ca82
armchair_black, #343434
armchair_blue, #4e62c8
armchair_cream, #ffebd9
armchair_cyan, #32c5e3
armchair_dark_gray, #757573
armchair_gray, #d9dee0
armchair_green, #476f37
armchair_leather_black, #252525
armchair_leather_brown, #a75b32
armchair_light_blue, #86bbff
armchair_lime, #73bf30
armchair_magenta, #f44bb5
armchair_ocean_blue, #90bfc0
armchair_orange, #ffa83d
armchair_pink, #ffd2d9
armchair_purple, #9b4af0
armchair_red, #b53334
armchair_white, #ffffff
armchair_yellow, #ffea3d
armenia, #8d3a44
armorer, #513e2d
aromantic, #707f68
aruba, #627c79
ascension_island, #574166
asexual, #756272
atm, #a5a4a4
australia, #543a68
austria, #b95458
azerbaijan, #787668
azores, #9e8482
back_to_the_future, #755f55
backpack_black, #36363d
backpack_blue, #576ec8
backpack_cyan, #fc9d7
backpack_gray, #666c70
backpack_green, #326920
backpack_light_blue, #8ac8ff
backpack_light_gray, #b2b2ac
backpack_lime, #82c051
backpack_magenta, #e157b4
backpack_orange, #ffa151
backpack_pink, #f09ebe
backpack_purple, #945bcf
backpack_red, #ae2a3a
backpack_white, #f2f0ed
backpack_yellow, #ffd051
bahamas, #44504a
bahrain, #b85455
baker, #5b472f
baking_table, #d2ac83
balloon_arch_a_rainbow, #c3946f
balloon_arch_a_spring, #ebd6c0
balloon_arch_a_stpatricks, #5aac2d
balloon_arch_a_valentines, #ff6f94
balloon_arch_b_halloween, #b1697a
balloon_arch_b_wedding, #fbe8a1
balloon_blue, #26b1ea
balloon_cyan, #23ccb6
balloon_green, #8de730
balloon_heart_light_pink, #ffb6cd
balloon_heart_pink, #ff578e
balloon_hearts_valentines, #ff8aaf
balloon_orange, #ff9a1e
balloon_pink, #fc44a5
balloon_purple, #b168e4
balloon_red, #fc3037
balloon_yellow, #ffda47
balloons_halloween, #a0656c
balloons_rainbow, #c2805c
balloons_spring, #d9bea8
balloons_stpatricks, #50982f
balloons_valentines, #ea6584
bangladesh, #515746
bank, #58432f
barbados, #644155
barrel, #795440
barrel_apples, #7f5539
barrel_carrots, #785c32
barrel_golden_apple, #845e36
barrel_green_apple, #755c37
barrel_potatoes, #906847
barrel_red_apple, #804e3a
barricade_1, #875e39
barricade_2, #865e37
barricade_3, #845b36
barricade_4, #875e39
barricade_5, #865c37
barricade_6, #845b36
barricade_7, #825a36
basketball, #a75429
bathroom_counter_birch, #fff4d7
bathroom_counter_left_birch, #f1e0c2
bathroom_counter_left_oak, #ccae8c
bathroom_counter_left_palm, #cdbfb5
bathroom_counter_left_spruce, #8a695a
bathroom_counter_left_white, #ede4d9
bathroom_counter_oak, #e1c5a4
bathroom_counter_palm, #e6d7cd
bathroom_counter_right_birch, #f0ddbf
bathroom_counter_right_oak, #caac89
bathroom_counter_right_palm, #ccbeb4
bathroom_counter_right_spruce, #896857
bathroom_counter_right_white, #ebe3d7
bathroom_counter_spruce, #a28373
bathroom_counter_white, #fceede
bathroom_disabled, #b1f8ff
bathroom_female, #b4faff
bathroom_male, #b1f8ff
bathroom_neutral, #b4faff
bathroom_unisex, #b8fbff
bathtub_clawfoot_black, #ffffff
bathtub_clawfoot_black_water, #ffffff
bathtub_clawfoot_gold, #ffffff
bathtub_clawfoot_gold_water, #ffffff
bathtub_clawfoot_rosegold, #ffffff
bathtub_clawfoot_rosegold_water, #ffffff
bathtub_clawfoot_silver, #ffffff
bathtub_clawfoot_silver_water, #ffffff
batman, #3c2f04
beach_chair_black, #a89889
beach_chair_blue, #b6acb6
beach_chair_brown, #c5a78d
beach_chair_cyan, #b6bcb1
beach_chair_gray, #bbaa97
beach_chair_green, #b8b58a
beach_chair_light_blue, #d4d2d4
beach_chair_light_gray, #dacdbb
beach_chair_lime, #cdd693
beach_chair_magenta, #eeacbb
beach_chair_orange, #f5b894
beach_chair_pink, #f5c6bc
beach_chair_purple, #ccaac2
beach_chair_red, #dca291
beach_chair_white, #feeddc
beach_chair_yellow, #ffd987
beach_towel_blue, #d2dcff
beach_towel_cyan, #b2ffff
beach_towel_light_blue, #f8ffff
beach_towel_lime, #f1ffd0
beach_towel_magenta, #ffd6ff
beach_towel_orange, #ffffd9
beach_towel_pink, #ffffff
beach_towel_purple, #ffddff
beach_towel_rainbow, #fffffb
beach_towel_red, #ffbebf
beach_towel_yellow, #ffffda
beach_umbrella_black, #b8b9b9
beach_umbrella_blue, #cfdaff
beach_umbrella_brown, #e8d2c2
beach_umbrella_cyan, #d0f5fc
beach_umbrella_gray, #d7d7d3
beach_umbrella_green, #d3e8be
beach_umbrella_light_blue, #ffffff
beach_umbrella_light_gray, #ffffff
beach_umbrella_lime, #f5ffca
beach_umbrella_magenta, #ffdaff
beach_umbrella_orange, #ffeeca
beach_umbrella_pink, #ffffff
beach_umbrella_purple, #f5d7ff
beach_umbrella_rainbow, #ffffff
beach_umbrella_red, #ffc9c9
beach_umbrella_white, #ffffff
beach_umbrella_yellow, #ffffb8
bedside_table_birch, #f7e1bc
bedside_table_black, #2c2c2c
bedside_table_cherry, #ffeded
bedside_table_ebony, #403733
bedside_table_oak, #c8a478
