// Compost colors for diamethysts. You may add your own colors, change existing ones, or remove colors that aren't needed.
bone_meal_brew, #edf7ff
bottled_obsidian_tears, #9089c5
budding_brew, #e3e0ff
chain_link_maker, #b4a7cf
copper_chain_links, #da704e
copper_nugget, #cf6e4e
diamethyst_arrow, #b19b9b
diamethyst_bow, #866668
diamethyst_bow_lower_section, #8a705e
diamethyst_bow_upper_section, #786555
diamethyst_charged_copper_arrow, #ffe4d6
diamethyst_cluster, #d9d0ff
diamethyst_copper_arrow, #d4a7b4
diamethyst_copper_axe, #b287ae
diamethyst_copper_battle_axe, #ca9ed4
diamethyst_copper_boots, #c3654e
diamethyst_copper_bow, #936b6f
diamethyst_copper_bow_lower_section, #9b7565
diamethyst_copper_bow_upper_section, #8c6b5f
diamethyst_copper_chain, #b85c46
diamethyst_copper_chain_boots, #c36651
diamethyst_copper_chain_chestplate, #dc7a68
diamethyst_copper_chain_helmet, #c86b57
diamethyst_copper_chain_horse_armor, #bc624b
diamethyst_copper_chain_leggings, #c96c58
diamethyst_copper_chestplate, #e37f6c
diamethyst_copper_crossbow, #896854
diamethyst_copper_fishing_rod, #987a83
diamethyst_copper_helmet, #b45e4a
diamethyst_copper_hilt, #914e55
diamethyst_copper_hoe, #ab7a91
diamethyst_copper_horse_armor, #a24d39
diamethyst_copper_leggings, #c36852
diamethyst_copper_pickaxe, #a87aa4
diamethyst_copper_plate, #ed7a5b
diamethyst_copper_scimitar, #c69bd4
diamethyst_copper_shovel, #b490aa
diamethyst_copper_sickle, #c698d9
diamethyst_copper_sword, #bf93bb
diamethyst_crossbow, #7c624b
diamethyst_crystal, #b8b8ff
diamethyst_diamond_arrow, #b1d3e1
diamethyst_diamond_axe, #a198c8
diamethyst_diamond_battle_axe, #beafe8
diamethyst_diamond_boots, #68bfc2
diamethyst_diamond_bow, #80767d
diamethyst_diamond_bow_lower_section, #82877a
diamethyst_diamond_bow_upper_section, #737d75
diamethyst_diamond_chestplate, #7ad7de
diamethyst_diamond_crossbow, #78705e
diamethyst_diamond_fishing_rod, #8a8d9b
diamethyst_diamond_helmet, #6ec2bf
diamethyst_diamond_hilt, #547f91
diamethyst_diamond_hoe, #8a96b6
diamethyst_diamond_horse_armor, #5ac0b6
diamethyst_diamond_leggings, #65b8b9
diamethyst_diamond_mesh, #89f7f8
diamethyst_diamond_pickaxe, #8d91c3
diamethyst_diamond_scimitar, #b2a7e4
diamethyst_diamond_shovel, #a59ebe
diamethyst_diamond_sickle, #b5a4e7
diamethyst_diamond_sword, #a1aad9
diamethyst_dust, #bfa1ff
diamethyst_elixir, #b2b2f2
diamethyst_emerald_arrow, #87c8a8
diamethyst_emerald_axe, #9393ac
diamethyst_emerald_battle_axe, #b6aad4
diamethyst_emerald_boots, #4a8d3a
diamethyst_emerald_bow, #7d736f
diamethyst_emerald_bow_lower_section, #7d8265
diamethyst_emerald_bow_upper_section, #6e7961
diamethyst_emerald_chestplate, #6fc25f
diamethyst_emerald_crossbow, #787055
diamethyst_emerald_fishing_rod, #808783
diamethyst_emerald_helmet, #5ba543
diamethyst_emerald_hilt, #4a7043
diamethyst_emerald_hoe, #788d8d
diamethyst_emerald_horse_armor, #33b24b
diamethyst_emerald_leggings, #4d963c
diamethyst_emerald_mesh, #61ea97
diamethyst_emerald_pickaxe, #7f8aa1
diamethyst_emerald_scimitar, #aaa4cf
diamethyst_emerald_shovel, #9a9aa7
diamethyst_emerald_sickle, #aca1d6
diamethyst_emerald_sword, #9da2b2
diamethyst_fishing_hook, #ab8dff
diamethyst_fishing_rod, #877679
diamethyst_fishing_spool, #e4e4e4
diamethyst_glass_pane, #ffebff
diamethyst_gold_arrow, #e3bba2
diamethyst_gold_axe, #c294ab
diamethyst_gold_battle_axe, #d3abd4
diamethyst_gold_boots, #d2b25c
diamethyst_gold_bow, #937268
diamethyst_gold_bow_lower_section, #9d7c5e
diamethyst_gold_bow_upper_section, #8c7257
diamethyst_gold_chain, #ffb640
diamethyst_gold_chain_boots, #d3ab58
diamethyst_gold_chain_chestplate, #e4b462
diamethyst_gold_chain_helmet, #d6b55a
diamethyst_gold_chain_horse_armor, #c38c36
diamethyst_gold_chain_leggings, #cfa44e
diamethyst_gold_chestplate, #fce080
diamethyst_gold_crossbow, #896c4d
diamethyst_gold_fishing_rod, #a18a84
diamethyst_gold_helmet, #c9ac61
diamethyst_gold_hilt, #8d6148
diamethyst_gold_hoe, #be908c
diamethyst_gold_horse_armor, #e4a247
diamethyst_gold_leggings, #ddbe68
diamethyst_gold_pickaxe, #b88ca0
