// Compost colors for dimdoors. You may add your own colors, change existing ones, or remove colors that aren't needed.
amalgam_door, #d9d9d9
amalgam_lump, #5c5c5c
clod, #ffffff
creepy_record, #5b7db9
dimensional_eraser, #ffaab2
dimensional_portal, #bed3e8
driftwood_door, #bbbbbb
driftwood_sapling, #8e8e8e
enduring_fibers, #f7fbff
eternal_fluid_bucket, #a75252
fabric_of_finality, #c5b9dd
frayed_filament, #5a5b5e
fuzzy_fireball, #5c6670
garment_of_reality_boots, #4b5b68
garment_of_reality_chestplate, #435b66
garment_of_reality_helmet, #44555f
garment_of_reality_leggings, #3c5058
gold_door, #ffffe3
infrangible_fiber, #ccd2e4
leak_bucket, #aeb1b1
liminal_lint, #cdcccf
mask_shard, #e4c3e1
mask_wand, #767a89
monolith_spawner, #2a393d
quartz_door, #ffffff
rift_blade, #ffffe8
rift_configuration_tool, #642639
rift_key, #ffffe8
rift_pearl, #9d283d
rift_remover, #ffffff
rift_signature, #ffffff
rift_stabilizer, #6cffff
stabilized_rift_signature, #bbd2cf
stable_fabric, #809a93
stone_door, #b2b2b2
they_stare_back_record, #460404
unraveled_spike, #ffffff
white_void_record, #d2d7ee
world_thread, #121212
world_thread_boots, #201f19
world_thread_chestplate, #151512
world_thread_helmet, #f0f0f
world_thread_leggings, #201f19
