// Compost colors for dyenamics. You may add your own colors, change existing ones, or remove colors that aren't needed.
amber_candle, #ff8d1f
amber_dye, #ff7512
amber_stained_glass_pane, #ffa423
aquamarine_candle, #34989d
aquamarine_dye, #edffff
aquamarine_stained_glass_pane, #3eb2b5
bubblegum_candle, #ff8af2
bubblegum_dye, #ffe1ff
bubblegum_stained_glass_pane, #ffa1ff
cherenkov_candle, #4b9fe
cherenkov_dye, #daffff
cherenkov_stained_glass_pane, #4d9ff
conifer_candle, #e6ff69
conifer_dye, #ffff6c
conifer_stained_glass_pane, #ffff79
fluorescent_candle, #ffffe0
fluorescent_dye, #ffffff
fluorescent_stained_glass_pane, #ffffff
honey_candle, #ffdd57
honey_dye, #ffff69
honey_stained_glass_pane, #ffff64
icy_blue_candle, #afffff
icy_blue_dye, #dcffff
icy_blue_stained_glass_pane, #ccffff
lavender_candle, #ffbbff
lavender_dye, #ffffff
lavender_stained_glass_pane, #ffdaff
maroon_candle, #aa0404
maroon_dye, #ffc2c3
maroon_stained_glass_pane, #cf0000
mint_candle, #a1ffe1
mint_dye, #eeffff
mint_stained_glass_pane, #c3ffff
navy_candle, #22328c
navy_dye, #2537a8
navy_stained_glass_pane, #2839a1
peach_candle, #e0b98e
peach_dye, #ffffff
peach_stained_glass_pane, #ffd9a4
persimmon_candle, #f75020
persimmon_dye, #fff8de
persimmon_stained_glass_pane, #ff5c23
rose_candle, #ff327d
rose_dye, #ff3d94
rose_stained_glass_pane, #ff3990
spring_green_candle, #f0ffbe
spring_green_dye, #ffffd7
spring_green_stained_glass_pane, #ffffda
ultramarine_candle, #695aff
ultramarine_dye, #6f66ff
ultramarine_stained_glass_pane, #7a68ff
wine_candle, #8c2570
wine_dye, #ab2c8a
wine_stained_glass_pane, #a22a82
