// Compost colors for electrodynamics. You may add your own colors, change existing ones, or remove colors that aren't needed.
battery, #82755f
carbynebattery, #826b61
ceramiccooked, #5b5248
ceramicfuse, #29221b
ceramicplate, #5c4e41
ceramicwet, #736c66
circuitadvanced, #514e3d
circuitbasic, #af8279
circuitelite, #7994af
circuitultimate, #9679af
coalcoke, #3a3a3a
coil, #cc907a
combatarmorboots, #806868
combatarmorchestplate, #7f7f7f
combatarmorhelmet, #436643
combatarmorleggings, #7f6666
compositearmorboots, #6e755e
compositearmorchestplate, #7a8761
compositearmorhelmet, #737a65
compositearmorleggings, #6c7558
compositeplating, #afbbca
compositeplatingraw, #ffffff
crystalcopper, #f06f55
crystalgold, #ffd24a
crystalhalite, #ffffff
crystaliron, #bbbbbb
crystallead, #988ecd
crystallithium, #c5b996
crystalmolybdenum, #465b50
crystalnetherite, #e1aca1
crystalpotassiumchloride, #ffffff
crystalsilver, #c0d6dc
crystaltin, #87c3d7
crystalvanadium, #61737c
drillheadhslasteel, #a1a1a1
drillheadstainlesssteel, #a1a1a1
drillheadsteel, #a1a1a1
drillheadtitanium, #a1a1a1
drillheadtitaniumcarbide, #a1a1a1
dustbronze, #e3a262
dustcopper, #f47c54
dustendereye, #34bca4
dustgold, #fff25e
dustiron, #d4d4d4
dustlead, #897fbf
dustlithium, #b5aa86
dustmolybdenum, #41574b
dustnetherite, #fbc6bb
dustniter, #ffffff
dustobsidian, #6f4a96
dustsalt, #9e9ea1
dustsilica, #949496
dustsilver, #d3edf2
duststeel, #444444
dustsulfur, #ffff7f
dustsuperconductive, #f4e3d9
dusttin, #78b4c8
dustvanadium, #4e6168
electricbaton, #556169
electricchainsaw, #69757c
electricdrill, #465764
fiberglasssheet, #ffb5fa
gaspipeuninsulatedcopper, #ff9b75
gaspipeuninsulatedplastic, #ffffff
gaspipeuninsulatedsteel, #767676
gearbronze, #b88a5e
gearcopper, #ca7255
geariron, #a7a7a7
gearsteel, #464646
geartin, #6c97a4
guidebook, #6f7891
hydraulicboots, #9a7c7c
impuredustcopper, #96695a
impuredustgold, #cdb67f
impuredustiron, #a0a0a0
impuredustlead, #66627a
impuredustlithium, #837f72
impuredustmolybdenum, #919894
impuredustnetherite, #b57a6f
impuredustsilver, #ffffff
impuredusttin, #c5dce3
impuredustvanadium, #8e9397
ingotaluminum, #fff7ff
ingotbronze, #ffdeab
ingotchromium, #edf4ff
ingothslasteel, #b9f4ff
ingotlead, #9186ca
ingotlithium, #c0b48d
ingotmolybdenum, #4a6255
ingotsilver, #e6ffff
ingotstainlesssteel, #ffffff
ingotsteel, #7f7f7f
ingotsuperconductive, #fffff4
ingottin, #7fbfd3
ingottitanium, #4a5762
ingottitaniumcarbide, #9a8473
ingotvanadium, #576b73
ingotvanadiumsteel, #bee4e3
insulation, #ffffff
insulationceramic, #c5af9b
jetpack, #8a7d7d
laminatedcoil, #e3c6be
lithiumbattery, #657a7d
mechanicalvalve, #f57d4b
mechanizedcrossbow, #62574e
molybdenumfertilizer, #e8daff
motor, #848382
multimeter, #d2c6b9
nightvisiongoggles, #4d794a
nuggetcopper, #ffa77d
nuggethslasteel, #7cc8ff
nuggetsilver, #c5dae0
nuggetstainlesssteel, #ccddd2
nuggetsteel, #484848
nuggetsuperconductive, #ddb4a4
nuggettin, #8cc8d9
nuggettitaniumcarbide, #654d3a
oxidecalciumcarbonate, #ffffff
oxidechromite, #d9ffe8
oxidechromiumdisilicide, #dcddde
oxidedisulfur, #ffff75
oxidedititanium, #626262
oxidesodiumcarbonate, #ffffff
oxidesulfurdichloride, #9e9e98
oxidethionylchloride, #ffd7bb
oxidetrisulfur, #ffff75
oxidevanadium, #5b6565
pipecopper, #866155
pipesteel, #4b4b4b
plasticfibers, #f0f0f0
platealuminum, #ffffff
platebronze, #fffff1
platecopper, #ffffff
platehslasteel, #ebffff
plateiron, #f1f1f1
platelead, #b1a5e4
platelithium, #eadebf
platestainlesssteel, #f8ffff
platesteel, #7d7d7d
platetitanium, #6c7689
platetitaniumcarbide, #846954
platevanadiumsteel, #b2dddd
portablecylinder, #e0c9c9
pressuregauge, #ffffff
raworechromium, #9eacbc
raworefluorite, #ffffff
raworelead, #aab4d2
raworelepidolite, #d089a0
raworesilver, #d4f0f5
raworethorium, #625f61
raworetin, #bfe1f2
raworetitanium, #787064
raworeuranium, #768e6f
raworevanadinite, #ff5b55
rodhslasteel, #51a5eb
rodstainlesssteel, #a8bbac
rodsteel, #505050
rodtitaniumcarbide, #483222
rubberboots, #80808
seismicscanner, #8a8e90
servoleggings, #c2a7a7
sheetplastic, #ffffff
slag, #eac39d
solarpanelplate, #919ab6
titaniumheatcoil, #949494
upgradeadvancedcapacity, #5c4b47
upgradeadvancedspeed, #614e4b
upgradebasiccapacity, #5c5748
upgradebasicspeed, #615a4b
upgradeexperience, #417641
upgradefortune, #334a62
upgradeimprovedsolarcell, #a59e26
upgradeiteminput, #6b4334
upgradeitemoutput, #694334
upgradeitemvoid, #2f572d
upgraderange, #6c4d73
upgradesilktouch, #878932
upgradestator, #6e543c
upgradeunbreaking, #666b72
wireceramicinsulatedcopperblack, #ff9864
wireceramicinsulatedcopperblue, #ff9864
wireceramicinsulatedcopperbrown, #ff9864
wireceramicinsulatedcoppergreen, #ff9864
wireceramicinsulatedcopperred, #ff9864
wireceramicinsulatedcopperwhite, #ff9864
wireceramicinsulatedcopperyellow, #ff9864
wireceramicinsulatedgoldblack, #ffff78
wireceramicinsulatedgoldblue, #ffff78
wireceramicinsulatedgoldbrown, #ffff78
wireceramicinsulatedgoldgreen, #ffff78
wireceramicinsulatedgoldred, #ffff78
wireceramicinsulatedgoldwhite, #ffff78
wireceramicinsulatedgoldyellow, #ffff78
wireceramicinsulatedironblack, #ffffff
wireceramicinsulatedironblue, #ffffff
wireceramicinsulatedironbrown, #ffffff
wireceramicinsulatedirongreen, #ffffff
wireceramicinsulatedironred, #ffffff
wireceramicinsulatedironwhite, #ffffff
wireceramicinsulatedironyellow, #ffffff
wireceramicinsulatedsilverblack, #ffffff
wireceramicinsulatedsilverblue, #ffffff
wireceramicinsulatedsilverbrown, #ffffff
wireceramicinsulatedsilvergreen, #ffffff
wireceramicinsulatedsilverred, #ffffff
wireceramicinsulatedsilverwhite, #ffffff
wireceramicinsulatedsilveryellow, #ffffff
wireceramicinsulatedsuperconductiveblack, #e7e7d2
wireceramicinsulatedsuperconductiveblue, #e7e7d2
wireceramicinsulatedsuperconductivebrown, #e7e7d2
wireceramicinsulatedsuperconductivegreen, #e7e7d2
wireceramicinsulatedsuperconductivered, #e7e7d2
wireceramicinsulatedsuperconductivewhite, #e7e7d2
wireceramicinsulatedsuperconductiveyellow, #e7e7d2
wireceramicinsulatedtinblack, #ffffff
