// Compost colors for emcbaubles. You may add your own colors, change existing ones, or remove colors that aren't needed.
blue_matter, #2c9aff
clay_matter, #a2a7c9
collector_mk10_necklace, #ffffff
collector_mk11_necklace, #ffffff
collector_mk12_necklace, #ffffff
collector_mk13_necklace, #ffffff
collector_mk14_necklace, #ffffff
collector_mk15_necklace, #ffffff
collector_mk16_necklace, #ffffff
collector_mk1_necklace, #ffffff
collector_mk2_necklace, #ffffff
collector_mk3_necklace, #ffffff
collector_mk4_necklace, #ffffff
collector_mk5_necklace, #ffffff
collector_mk6_necklace, #ffffff
collector_mk7_necklace, #ffffff
collector_mk8_necklace, #ffffff
collector_mk9_necklace, #ffffff
cyan_matter, #26ffff
emc_belt, #fff8d4
emc_build_wand, #5f3633
emc_refiller, #fff7e1
fading_matter, #f8f8f8
flower_mk10_charm, #c5de6f
flower_mk11_charm, #ffe883
flower_mk12_charm, #fad279
flower_mk13_charm, #ffd47d
flower_mk14_charm, #ffffd2
flower_mk15_charm, #e0c994
flower_mk16_charm, #fff5cc
flower_mk1_charm, #dec6a5
flower_mk2_charm, #d2ae9b
flower_mk3_charm, #f7a482
flower_mk4_charm, #ff90ac
flower_mk5_charm, #ffc3da
flower_mk6_charm, #fcb2e3
flower_mk7_charm, #bfa5ca
flower_mk8_charm, #b9d4d2
flower_mk9_charm, #a7ddbc
green_matter, #44ff26
lime_matter, #ffff26
magenta_matter, #ff26f4
orange_matter, #ffc226
pink_matter, #ff9de0
purple_matter, #ca26ff
violet_matter, #892cff
white_matter, #ffffff
yellow_matter, #ffff26
