// Compost colors for eternal_tales. You may add your own colors, change existing ones, or remove colors that aren't needed.
absolute_zero, #ffffff
abstruse_armor_boots, #fff8e6
abstruse_armor_chestplate, #d9d7cf
abstruse_armor_helmet, #ffffff
abstruse_armor_leggings, #eef0f0
abstruse_smithing_template, #e0daa7
ach_arky_item, #fffffe
ach_collect_them_all_item, #ffffff
ach_essence_stones, #fffffe
ach_flash_boots, #aa2200
acorn_potion, #d9dddc
activated_ekatebrina_core, #ffffff
active_great_gem_of_badoneti, #ffffff
adamantite_armor_boots, #e84747
adamantite_armor_chestplate, #c36969
adamantite_armor_helmet, #c65252
adamantite_armor_leggings, #c86262
adamantite_ingot, #ff1919
adamantite_magnifying_glass, #ffffff
adamantite_nugget, #ffffff
aerolite_axe, #3d484d
aerolite_fishing_hook, #fcffff
aerolite_hoe, #37403e
aerolite_ingot, #87dcff
aerolite_pickaxe, #3c4a4d
aerolite_shovel, #3c4447
aerolite_spear, #ffffff
aerolite_sword, #89cafc
agaric_fungus, #52b99a
agaric_fungus_door, #ffffff
agaric_stew, #d4d676
agate, #ffffff
ageagoria, #fff8cf
ageagoria_anthem, #fffff1
ageagoria_ether, #fffcd4
ageagoria_nebula, #fffeda
ageagoria_third_eye, #ffffe0
ageagoria_time_travel, #ffffe6
ageagoria_utopia, #ffffed
albino_gultrav_leather, #7c8a8d
albino_tarko_armor_boots, #d2e1f5
albino_tarko_armor_chestplate, #caddee
albino_tarko_armor_helmet, #bbc9dc
albino_tarko_armor_leggings, #d2e4f7
albino_tarko_leather, #ffffff
alyssum_amberum, #ffffeb
amber, #ffffff
amber_aloe, #ffffff
amber_cudgel, #ffffff
amber_door, #ffffb1
amber_fertilizer, #ffffa7
amber_fishing_hook, #ffffee
amber_glass_pane, #ffffdd
amber_guardian_armor_boots, #d0d6e7
amber_guardian_armor_chestplate, #dad7c8
amber_guardian_armor_helmet, #d2c09a
amber_guardian_armor_leggings, #b6beca
amber_guardian_smithing_template, #8e826e
amber_note, #aca58a
amber_note_new, #aca58a
amber_robber_armor_boots, #e3e4dd
amber_robber_armor_chestplate, #d4a59e
amber_robber_armor_helmet, #ffffff
amber_robber_armor_leggings, #ffffff
amber_star, #ffffff
amber_warrior_armor_boots, #ffffff
amber_warrior_armor_chestplate, #ffffea
amber_warrior_armor_helmet, #eeddae
amber_warrior_armor_leggings, #ddf0ff
amber_warrior_smithing_template, #897d6e
amberian_arrow, #acd6cc
amberian_juice, #ffffff
amberwood_guardian, #ffd9c2
amberwood_planks_door, #ffffc3
ambrea, #ffb226
