// Compost colors for everythingcopper. You may add your own colors, change existing ones, or remove colors that aren't needed.
chest_copper_minecart, #8e7f61
copper_axe, #ffffff
copper_bars, #fffff7
copper_boots, #ffffff
copper_chain, #ffffff
copper_chestplate, #ffe6d6
copper_door, #fffff8
copper_helmet, #ffffff
copper_hoe, #ffffff
copper_hopper, #ffebd7
copper_horse_armor, #ffffff
copper_ladder, #fff4de
copper_lantern, #ffffff
copper_leggings, #fffff7
copper_minecart, #646e73
copper_nugget, #ffffff
copper_pickaxe, #ffffff
copper_rail, #ffeed2
copper_shears, #ffffff
copper_shovel, #ffffff
copper_soul_lantern, #ffffff
copper_sword, #ffffff
exposed_copper_bars, #ffffff
exposed_copper_chain, #ffffff
exposed_copper_door, #ffffff
exposed_copper_hopper, #fffbe8
exposed_copper_ladder, #fffff5
exposed_copper_lantern, #ffffff
exposed_copper_rail, #fff2d7
exposed_copper_soul_lantern, #ffffff
furnace_copper_minecart, #787a7a
hopper_copper_minecart, #737679
oxidized_copper_bars, #faffff
oxidized_copper_chain, #ffffff
oxidized_copper_door, #fbffff
oxidized_copper_hopper, #d7fff8
oxidized_copper_ladder, #e0ffff
oxidized_copper_lantern, #ffffff
oxidized_copper_rail, #eeffe4
oxidized_copper_soul_lantern, #ffffff
tnt_copper_minecart, #9a6e62
waxed_copper_bars, #fffff7
waxed_copper_chain, #ffffff
waxed_copper_door, #fffff8
waxed_copper_hopper, #ffebd7
waxed_copper_ladder, #fff4de
waxed_copper_lantern, #ffffff
waxed_copper_rail, #ffeed2
waxed_copper_soul_lantern, #ffffff
waxed_exposed_copper_bars, #ffffff
waxed_exposed_copper_chain, #ffffff
waxed_exposed_copper_door, #ffffff
waxed_exposed_copper_hopper, #fffbe8
waxed_exposed_copper_ladder, #fffff5
waxed_exposed_copper_lantern, #ffffff
waxed_exposed_copper_rail, #fff2d7
waxed_exposed_copper_soul_lantern, #ffffff
waxed_oxidized_copper_bars, #faffff
waxed_oxidized_copper_chain, #ffffff
waxed_oxidized_copper_door, #fbffff
waxed_oxidized_copper_hopper, #d7fff8
waxed_oxidized_copper_ladder, #e0ffff
waxed_oxidized_copper_lantern, #ffffff
waxed_oxidized_copper_rail, #eeffe4
waxed_oxidized_copper_soul_lantern, #ffffff
waxed_weathered_copper_bars, #ffffff
waxed_weathered_copper_chain, #ffffff
waxed_weathered_copper_door, #ffffff
waxed_weathered_copper_hopper, #ebfff1
waxed_weathered_copper_ladder, #f7fff5
waxed_weathered_copper_lantern, #ffffff
waxed_weathered_copper_rail, #fafeda
waxed_weathered_copper_soul_lantern, #ffffff
weathered_copper_bars, #ffffff
weathered_copper_chain, #ffffff
weathered_copper_door, #ffffff
weathered_copper_hopper, #ebfff1
weathered_copper_ladder, #f7fff5
weathered_copper_lantern, #ffffff
weathered_copper_rail, #fafeda
weathered_copper_soul_lantern, #ffffff
