// Compost colors for evilcraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
biome_extract, #ffffff
blood_extractor, #ffeaed
blood_infusion_core, #ffffff
blood_orb_empty, #ffffff
blood_orb_filled, #ffb6b5
blood_pearl_of_teleportation, #f086af
blood_potash, #f2b2b2
blood_stain, #ffafae
blood_waxed_coal, #caaaaa
blook, #e76e58
bowl_of_promises_dusted, #fffeff
bowl_of_promises_empty, #fff2f2
bowl_of_promises_tier0, #ffffff
bowl_of_promises_tier1, #ffffff
bowl_of_promises_tier2, #ffffff
bowl_of_promises_tier3, #ffffff
bucket_blood, #f8e6e6
bucket_eternal_water, #aaafc0
bucket_poison, #eef1e6
burning_gem_stone, #f1b998
condensed_blood, #bc4646
corrupted_tear, #ffffff
creative_blood_drop, #ffabaf
dark_gem, #c2c2c2
dark_gem_crushed, #ffdeff
dark_power_gem, #f4dada
dark_spike, #ffffff
dark_stick, #fff7ff
darkened_apple, #a4a2af
dull_dust, #ffffff
effortless_ring, #fff5ff
ender_tear, #ffffff
environmental_accumulation_core, #ffc3a1
exalted_crafter, #e4d7ea
exalted_crafter_empowered, #e4d7ea
exalted_crafter_wooden, #fffae7
exalted_crafter_wooden_empowered, #fffae7
flesh_humanoid, #ffffff
flesh_rejuvenated, #ffd4d9
flesh_werewolf, #ffffff
garmonbozia, #ffffff
gem_stone_torch, #ffffff
golden_string, #ffffd2
hardened_blood_shard, #ffffff
inverted_potentia, #cdcfd3
inverted_potentia_empowered, #cdcfd3
invigorating_pendant, #ffffff
kineticator, #e1eea7
kineticator_repelling, #b1c56c
lightning_grenade, #c8e6ff
mace_of_destruction, #e1d0e8
mace_of_distortion, #fceefb
necromancer_staff, #ffffff
origins_of_darkness, #c29baa
piercing_vengeance_focus, #f79db2
poison_sac, #ffffff
potentia_sphere, #ebffff
primed_pendant, #ffffff
promise_acceptor_diamond, #ffffff
promise_acceptor_gold, #ffffff
promise_acceptor_iron, #ffffff
promise_efficiency_0, #ffffff
promise_speed_0, #ffffff
promise_tier_1, #ffffff
promise_tier_2, #ffffff
promise_tier_3, #ffffff
redstone_grenade, #ffe6d4
sceptre_of_thunder, #fff4e1
spectral_glasses, #fff2ff
spikey_claws, #ffffff
spirit_portal, #ffffff
undead_sapling, #c38c7a
vein_sword, #fbebe7
vengeance_essence, #ffd6fb
vengeance_essence_materialized, #ffffff
vengeance_focus, #b693cc
vengeance_pickaxe, #cdd2dd
vengeance_ring, #fff5ff
weather_container, #ffffff
werewolf_bone, #ffffff
werewolf_fur, #fffef7
