// Compost colors for extendedmushrooms. You may add your own colors, change existing ones, or remove colors that aren't needed.
glowshroom, #485cac
glowshroom_boat, #6482af
glowshroom_chest_boat, #75787a
glowshroom_door, #ffffff
glowshroom_hanging_sign, #8097b9
glowshroom_sign, #829bc5
glowstone_crumbs, #dd9651
grilled_mushroom, #dcccbb
honey_blob, #ffa422
honey_fungus, #ffe152
honey_fungus_boat, #e87800
honey_fungus_chest_boat, #c5720f
honey_fungus_door, #ffea64
honey_fungus_hanging_sign, #ff973d
honey_fungus_sign, #ff9d32
honeycomb_shred, #ffe332
infested_flower, #ead7bb
infested_grass, #b69a70
mushroom_boat, #af9164
mushroom_bread, #b56b4a
mushroom_chest_boat, #a2824d
mushroom_door, #ffffff
mushroom_hanging_sign, #debe87
mushroom_sign, #f0c98a
mushroom_spores, #83706c
poisonous_mushroom, #8c72c6
poisonous_mushroom_boat, #64af65
poisonous_mushroom_chest_boat, #76944e
poisonous_mushroom_door, #ffffff
poisonous_mushroom_hanging_sign, #82c579
poisonous_mushroom_sign, #83d279
slime_blob, #8dd686
slime_fungus, #9eff9b
