// Compost colors for forestry. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_desert_door, #ffffff
ambrosia, #ffffff
apatite, #5cb9f8
apiarist_boots, #fff5ff
apiarist_chest, #ffffdc
apiarist_helmet, #ede0c0
apiarist_legs, #ffffdc
ash, #ffffff
balsa_door, #ffffff
baobab_door, #edf1d6
beeswax, #fbc348
bituminous_peat, #5a4a1b
broken_bronze_pickaxe, #c29034
broken_bronze_shovel, #c99d46
bronze_pickaxe, #be8c33
bronze_shovel, #c99d46
carton, #ffffff
catalogue, #484e62
caterpillar_ge, #ffffff
chestnut_door, #ffffe7
circuit_board_basic, #ffc9ff
circuit_board_enhanced, #ffc9ff
circuit_board_intricate, #ffc9ff
circuit_board_refined, #ffc9ff
citrus_door, #ffffe3
cocobolo_door, #dec5c2
crate, #c99e5c
decaying_wheat, #5e4329
dissipation_charge, #ffffff
ebony_door, #fffed4
electron_tube_apatite, #ffd3ff
electron_tube_blaze, #ffd3ff
electron_tube_bronze, #ffd3ff
electron_tube_copper, #ffd3ff
electron_tube_diamond, #ffd3ff
electron_tube_emerald, #ffd3ff
electron_tube_ender, #ffd3ff
electron_tube_gold, #ffd3ff
electron_tube_iron, #ffd3ff
electron_tube_lapis, #ffd3ff
electron_tube_obsidian, #ffd3ff
electron_tube_tin, #ffd3ff
fertilizer_bio, #4e862d
fertilizer_compound, #5babd9
flexible_casing, #40a230
foresters_manual, #a26854
frame_creative, #9823bb
frame_impregnated, #de8eea
frame_proven, #dc86e8
frame_untreated, #d696c8
fruit_cherry, #9e5b44
fruit_chestnut, #dc6e69
fruit_dates, #724641
fruit_lemon, #8d9d1e
fruit_papaya, #ffd644
fruit_plum, #86646b
fruit_walnut, #ffae54
gear_bronze, #ffc046
gear_copper, #ca6f1b
gear_tin, #d3e3fe
giganteum_door, #dad0c8
grafter, #f89bff
grafter_proven, #9b8661
greenheart_door, #def7e6
hardened_machine, #8ccddd
hill_cherry_door, #fffac5
honey_drop, #ffe032
honey_pot, #ffffe3
honeydew, #cf7a30
honeyed_slice, #ffffbb
ice_shard, #ffe3ff
impregnated_casing, #bc7d82
impregnated_stick, #614823
ingot_bronze, #ffdc5a
ingot_tin, #acb6c5
iodine_capsule, #ffffff
ipe_door, #e8d2bf
kapok_door, #eae6c6
kit_pickaxe, #ffffff
kit_shovel, #ffffff
larch_door, #ffffff
letter_big_emptied, #9b769a
letter_big_fresh, #7a656f
letter_big_opened, #a582a2
letter_big_stamped, #755b6f
letter_empty_emptied, #eee8d2
letter_empty_fresh, #f8f5dd
letter_empty_opened, #eee8d2
letter_empty_stamped, #ede6d3
letter_small_emptied, #cd8de1
letter_small_fresh, #7a5f72
letter_small_opened, #d494e7
letter_small_stamped, #785f73
lime_door, #fffff5
mahoe_door, #f0ffff
mahogany_door, #f7ddda
maple_door, #ffffe1
mouldy_wheat, #9a8728
mulch, #643612
naturalist_helmet, #c9cdc8
padauk_door, #ffdcc0
palm_door, #ffffd0
papaya_door, #ffffff
peat, #2d1c0a
phosphor, #89feff
pine_door, #ffffe8
pipette, #ffa7ff
plum_door, #fff8ff
pollen_cluster_crystalline, #ffffff
pollen_cluster_normal, #ffffff
pollen_fertile, #ffffff
poplar_door, #ffffe4
portable_alyzer, #c2dee1
propolis_normal, #e1c6ee
propolis_pulsating, #e1c6ee
propolis_silky, #e1c6ee
pulsating_dust, #4ec9a5
pulsating_mesh, #577c98
raw_tin, #abbbca
refractory_wax, #d34b4b
royal_jelly, #ffcd4d
scented_paneling, #c075c2
scoop, #c5b8a1
sequoia_door, #ffffff
serum_ge, #dde8ff
silk_wisp, #ffaeff
smoker, #a89b8c
soldering_iron, #ffa7ff
stamp_100n, #fffbff
stamp_10n, #fffbff
stamp_1n, #fffbff
stamp_20n, #fffbff
stamp_2n, #fffbff
stamp_50n, #fffbff
stamp_5n, #fffbff
sturdy_machine, #ddb64e
teak_door, #fbf7e8
walnut_door, #f2e7dc
wenge_door, #dedad2
willow_door, #ffffff
wood_pulp, #b49350
woven_silk, #ffe8ff
wrench, #ffc850
zebrawood_door, #fffada
