// Compost colors for galosphere. You may add your own colors, change existing ones, or remove colors that aren't needed.
allurite_cluster, #66ffff
allurite_shard, #4ee3e7
barometer, #a8bedc
bottle_of_spectre, #f0fafb
bowl_lichen, #a0c8a1
chandelier, #ffc6af
cured_membrane, #ffe6d7
gilded_beads, #ffff52
glinted_allurite_cluster, #8cffff
glinted_amethyst_cluster, #fbcaff
glinted_lumiere_cluster, #ffffa4
glow_flare, #a0b49b
glow_ink_clumps, #4be7da
golden_lichen_cordyceps, #ffda58
icon_item, #a8aecc
lichen_cordyceps, #dacfa1
lichen_roots, #b2d0aa
lichen_shelf, #83ca9e
lumiere_cluster, #ffe870
lumiere_shard, #ffcc6b
pink_salt_cluster, #ffeeda
pink_salt_shard, #ffcdb9
pink_salt_straw, #ffdec2
preserved_flesh, #b9705b
preserved_template, #ffc2b4
raw_silver, #80a0a2
saltbound_tablet, #dca07c
salted_jerky, #de8976
silver_bomb, #8d9aa4
silver_ingot, #bbcad3
silver_lattice, #ffffff
silver_nugget, #aab9c2
silver_upgrade_smithing_template, #726b5f
spectre_flare, #d4e0e0
sterling_boots, #7d7068
sterling_chestplate, #6e5e65
sterling_helmet, #98aab2
sterling_horse_armor, #b8c2c9
sterling_leggings, #372f33
