// Compost colors for geosmelt. You may add your own colors, change existing ones, or remove colors that aren't needed.
adamantium_axe, #346e79
adamantium_bars, #6cffff
adamantium_boots, #3a526c
adamantium_chestplate, #476573
adamantium_clump, #40a5f4
adamantium_crystal, #4bc2ff
adamantium_dirty_dust, #50a5bc
adamantium_dust, #3dc0ed
adamantium_gear, #3389af
adamantium_helmet, #43788c
adamantium_hoe, #337080
adamantium_ingot, #64bfeb
adamantium_knife, #52a2ae
adamantium_leggings, #33545f
adamantium_nugget, #5c9dd2
adamantium_pickaxe, #34525f
adamantium_plating, #78a0b4
adamantium_rod, #576eb4
adamantium_shard, #41aff5
adamantium_sheet, #6fd4fb
adamantium_shovel, #295864
adamantium_sword, #46a1ac
adamantium_upgrade_smithing_template, #587397
air_core, #e3e3cf
aluminum_sheet, #dedede
amethyst_axe, #d68ebe
amethyst_hoe, #cf829e
amethyst_pickaxe, #c883b9
amethyst_shovel, #cf87b1
amethyst_sword, #e7b2f7
ancient_ender_scroll, #aa975c
assorted_bricks, #9e6654
assorted_clay, #d39898
bronze_sheet, #f7d2a4
chainmail, #b4b4b4
cosmic_fudge, #974a19
crushed_adamantium_ore, #46a8e4
crushed_ancient_debris, #784e43
crushed_deep_iron_ore, #878ec0
crushed_mithril_ore, #5496f7
crushed_netherite_ore, #845840
crushed_starcinium_ore, #a44bee
crushed_viradium_ore, #65e45b
deep_iron_axe, #787286
deep_iron_bars, #a4aaf2
deep_iron_boots, #656b91
deep_iron_chestplate, #868dc2
deep_iron_clump, #939bd4
deep_iron_crystal, #9ea7dd
deep_iron_dirty_dust, #7a8497
deep_iron_door, #a4acfe
deep_iron_dust, #7587aa
deep_iron_gear, #93a0d2
deep_iron_helmet, #6e739e
deep_iron_hoe, #706569
deep_iron_ingot, #9ba4d9
deep_iron_knife, #7a7a9b
deep_iron_lantern, #9489a1
deep_iron_leggings, #696f98
deep_iron_nugget, #8d97e4
deep_iron_pickaxe, #706b7d
deep_iron_rod, #828dc5
deep_iron_shard, #afb8eb
deep_iron_sheet, #9ba7d7
deep_iron_shovel, #7d7582
deep_iron_sword, #66699a
deep_steel_dust, #868686
deep_steel_gear, #a0a0a0
deep_steel_horse_armor, #97877a
deep_steel_ingot, #a8a8a8
deep_steel_nugget, #989898
deep_steel_rod, #898989
