// Compost colors for glassential. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_glass_door, #232323
blue_glass_door, #486cfe
brown_glass_door, #916c48
cyan_glass_door, #6cb5da
dark_ethereal_door, #4a3751
dark_ethereal_reverse_door, #4b2f4e
ethereal_door, #4ffff
ethereal_reverse_door, #4ffff
ghostly_door, #ffffff
glass_dark_ethereal_pane, #39333c
glass_dark_ethereal_reverse_pane, #39323d
glass_door, #ffffff
glass_ethereal_pane, #6bffff
glass_ethereal_reverse_pane, #6bffff
glass_ghostly_pane, #ffffff
glass_light_pane, #ffff8d
glass_redstone_pane, #ff3916
gray_glass_door, #6c6c6c
green_glass_door, #91b548
light_blue_glass_door, #91daff
light_door, #ffff8d
light_gray_glass_door, #dadada
lime_glass_door, #b5ff23
magenta_glass_door, #fe6cff
orange_glass_door, #ffb548
pink_glass_door, #ffb5eb
purple_glass_door, #b55afe
red_glass_door, #da4848
redstone_door, #ff4315
tinted_glass_door, #161616
white_glass_door, #ffffff
yellow_glass_door, #ffff48
