// Compost colors for glassify. You may add your own colors, change existing ones, or remove colors that aren't needed.
blackfabricroll, #232323
blackglassshardlarge, #323232
blackglassshardsmall, #333333
blackheartglasspane, #464646
blacknormalglasspane, #161616
blackrainbowglasspane, #bba8d7
blasksglasspane, #333333
bluefabricroll, #98abff
blueglassshardsmall, #3761ff
blueheartglasspane, #5779ff
bluenormalglasspane, #4d72ff
bluerainbowglasspane, #bfb6ff
bluesglasspane, #5168ca
bluesglassshardlarge, #3c68ff
brightpinkdye, #ff70bc
brightpinkglasspane, #e40052
brightpinkglassshardlarge, #ff66b4
brightpinkglassshardsmall, #ff66b2
brightpinkheartglasspane, #ff4eaa
brightpinknormalglasspane, #a81c6c
brightpinkrainbowglasspane, #e4a0e1
brightpinksglasspan, #e4407c
brownfabricroll, #b2875f
brownglassshardlarge, #b4865a
brownglassshardsmall, #b5875a
brownheartglasspane, #724622
brownnormalglasspane, #341f08
brownrainbowglasspane, #d6bbe1
brownsglasspane, #6e4b2a
burntochrebrowndye, #703d0c
burntochrebrownglasspane, #803900
burntochrebrownrainbowglasspane, #d0aed0
burntochreglassshardlarge, #693200
burntochreglassshardsmall, #6b3200
burntochreheartglasspane, #8d3e00
burntochresglasspane, #7c4a12
cyanfabricroll, #aad9f1
cyanglassshardlarge, #c6ffff
cyanglassshardsmall, #cfffff
cyanheartglasspane, #9effff
cyannormalglasspane, #186990
cyanrainbowglasspane, #bbcafa
cyansglasspane, #6898b2
darkbluedye, #1520b1
darkbluefabricroll, #2a36c6
darkblueglasspane, #86c
darkblueglassshardlarge, #cb5
darkblueglassshardsmall, #caa
darkblueheartglasspane, #253080
darkbluenormalglasspane, #191c90
darkbluerainbowglasspane, #b2a2ea
darkbluesglasspane, #12297c
darkgreendye, #25b41f
darkgreenglasspane, #f9700
darkgreenglassshardlarge, #b800
darkgreenglassshardsmall, #b900
darkgreenheartglasspane, #32ac15
darkgreennormalglasspane, #158315
darkgreenrainbowglasspane, #b5c3cf
darkgreensglasspane, #127c30
darkgreynormalglasspane, #5a5a5a
darklimedye, #65bc00
darklimeglasspane, #76c800
darklimeglassshardlarge, #58dd00
darklimeglassshardsmall, #5ade00
darklimeheartglasspane, #62bb07
darklimenormalglasspane, #549d00
darklimerainbowglasspane, #cdcfcf
darklimesglasspane, #66ac00
darkpurpledye, #6f19bb
