// Compost colors for golden_foods. You may add your own colors, change existing ones, or remove colors that aren't needed.
enchanted_golden_baked_potato, #ffd63e
enchanted_golden_beetroot, #fca523
enchanted_golden_beetroot_soup, #d35b15
enchanted_golden_bread, #ffdc47
enchanted_golden_cake, #ffb5ff
enchanted_golden_chorus_fruit, #ffca4e
enchanted_golden_cooked_beef, #ed9422
enchanted_golden_cooked_chicken, #ffc041
enchanted_golden_cooked_cod, #ffe661
enchanted_golden_cooked_mutton, #ffc846
enchanted_golden_cooked_porkchop, #ffe773
enchanted_golden_cooked_rabbit, #ffb93d
enchanted_golden_cooked_salmon, #ed9a28
enchanted_golden_cookie, #fffc6f
enchanted_golden_dried_kelp, #d97c19
enchanted_golden_glow_berries, #c99625
enchanted_golden_honey_bottle, #ffff6b
enchanted_golden_melon_slice, #ffee7d
enchanted_golden_milk_bucket, #e6a564
enchanted_golden_mushroom_stew, #ed8a39
enchanted_golden_pumpkin_pie, #fff162
enchanted_golden_rabbit_stew, #ffcf4d
enchanted_golden_sweet_berries, #9a6828
golden_baked_potato, #ffd63e
golden_beetroot, #fca523
golden_beetroot_soup, #d35b15
golden_bread, #ffdc47
golden_cake, #ffffb5
golden_chorus_fruit, #ffca4e
golden_cooked_beef, #ed9422
golden_cooked_chicken, #ffc041
golden_cooked_cod, #ffe661
golden_cooked_mutton, #ffc846
golden_cooked_porkchop, #ffe773
golden_cooked_rabbit, #ffb93d
golden_cooked_salmon, #ed9a28
golden_cookie, #fffc6f
golden_dried_kelp, #d97c19
golden_glow_berries, #c99625
golden_honey_bottle, #ffff6b
golden_melon_slice, #ffee7d
golden_milk_bucket, #e6a564
golden_mushroom_stew, #ed8a39
golden_pumpkin_pie, #fff162
golden_rabbit_stew, #ffcf4d
golden_sweet_berries, #9a6828
