// Compost colors for growable_ores. You may add your own colors, change existing ones, or remove colors that aren't needed.
ad_mars_ore_ostrum_cane, #ffffe3
ad_moon_ice_shard_ore_cane, #edffff
ad_moon_ore_cheese_cane, #ffffe4
ad_moon_ore_desh_cane, #ffffee
ad_venus_calorite_ore_cane, #ffffdc
blaze_rod_cane, #ffffb8
bone_cane, #ffffff
bop_rose_quartz_chunk_cane, #fff0eb
c_andesite_alloy_cane, #ffffff
c_brass_ingot_cane, #fffffb
c_polished_rose_quartz_cane, #ffffff
c_zinc_ore_cane, #ffffff
certus_quartz_crystal_cane, #ffffff
clay_cane, #ffffff
coal_cane, #dce1d2
copper_cane, #fffff5
crystal_blazing_cane, #f2f4c6
crystal_niotic_cane, #d3f7ea
crystal_nitro_cane, #eeddca
crystal_spirited_cane, #c9e8bf
de_awakened_draconium_ingot_cane, #ffffb6
de_draconium_ingot_cane, #fffbff
diamond_cane, #ffffff
egg_cane, #ffffff
emerald_cane, #fcffff
ender_core_cane, #47aa7d
ender_pearl_cane, #4dd2a8
feather_cane, #ffffff
fluix_crystal_cane, #ffffff
galo_allurite_shard_cane, #c8ffff
galo_lumiere_shard_cane, #ffffc5
galo_silver_ingot_cane, #ffffff
glowstone_cane, #ffffd7
gobber_end_gobber_ingot_cane, #c9ffff
gobber_gobber_ingot_cane, #e6ffff
gobber_nether_gobber_ingot_cane, #ffdee3
gold_cane, #fffff2
gtm_aluminium_ingot_cane, #f7ffff
gtm_americium_ingot_cane, #bffce6
gtm_annealed_copper_ingot_cane, #ffffdd
gtm_antimony_ingot_cane, #ffffff
gtm_battery_alloy_ingot_cane, #ffffff
gtm_beryllium_ingot_cane, #ddffc8
gtm_bismuth_bronze_ingot_cane, #ffffcf
gtm_bismuth_ingot_cane, #eaffff
gtm_black_bronze_ingot_cane, #f5eed6
gtm_brass_ingot_cane, #ffffdc
gtm_bronze_ingot_cane, #ffffcf
gtm_chromium_ingot_cane, #ffffff
gtm_cobalt_ingot_cane, #fefeff
gtm_cupronickel_ingot_cane, #fffcc5
gtm_darmstadtium_ingot_cane, #ddfedd
gtm_duranium_ingot_cane, #fffff4
gtm_electrum_ingot_cane, #ffffed
gtm_enriched_naquadah_trinium_europium_duranide_ingot_cane, #fbf7e3
gtm_epoxy_ingot_cane, #ffffea
gtm_europium_ingot_cane, #e6f1c6
gtm_exquisite_almandine_cane, #f5bbae
gtm_exquisite_amethyst_cane, #ffffff
gtm_exquisite_andradite_cane, #ffffb9
gtm_exquisite_apatite_cane, #afffff
gtm_exquisite_blue_topaz_cane, #ffffff
gtm_exquisite_certus_quartz_cane, #ffffff
