// Compost colors for gtceu. You may add your own colors, change existing ones, or remove colors that aren't needed.
activity_detector_cover, #ddcfcc
advanced_activity_detector_cover, #f7ffff
advanced_electric_jetpack, #e3faff
advanced_energy_detector_cover, #ffffff
advanced_fluid_detector_cover, #ffffff
advanced_fluid_voiding_cover, #9eaeae
advanced_integrated_circuit, #bba791
advanced_item_detector_cover, #ffffff
advanced_item_voiding_cover, #a4b4b4
advanced_power_thruster, #a096b8
advanced_quarktech_chestplate, #72a069
advanced_smd_capacitor, #7d6976
advanced_smd_diode, #b6a197
advanced_smd_inductor, #ae6f97
advanced_smd_resistor, #fccd9a
advanced_smd_transistor, #7391a5
advanced_soc, #5b515a
advanced_soc_wafer, #64585f
ancient_gold_coin, #ffe790
anvil_casting_mold, #a09b94
avanced_nanomuscle_chestplate, #3d4d4d
ball_casting_mold, #b5afaa
basic_electronic_circuit, #937c64
basic_integrated_circuit, #b89a7c
basic_tape, #a77a47
bio_chaff, #6e9747
black_dye_spray_can, #6e707f
black_glass_lens, #545461
blacklight, #903eb4
block_casting_mold, #a09b96
block_extruder_mold, #e6e8ed
blue_dye_spray_can, #7698dc
blue_glass_lens, #65759b
bolt_extruder_mold, #b8bcc3
bottle_casting_mold, #a19d96
bottle_extruder_mold, #c6cad0
brick_wooden_form, #966c39
brown_dye_spray_can, #ac876b
brown_glass_lens, #7f6555
capacitor, #c3eef5
carbon_fiber_mesh, #686561
carbon_fiber_plate, #696664
carbon_fibers, #6c6966
cell_extruder_mold, #b2b6bc
chemical_black_dye, #d2d2d2
chemical_blue_dye, #e0eaff
chemical_brown_dye, #ffead2
chemical_cyan_dye, #e0ffff
chemical_gray_dye, #f0f0f0
chemical_green_dye, #e0ffe0
chemical_light_blue_dye, #e0ffff
chemical_light_gray_dye, #ffffff
chemical_lime_dye, #feffe0
chemical_magenta_dye, #ffe0ff
chemical_orange_dye, #fffee0
chemical_pink_dye, #ffffff
chemical_purple_dye, #ffe0ff
chemical_red_dye, #ffe0e0
chemical_white_dye, #ffffff
chemical_yellow_dye, #ffffe0
chocolate_coin, #8c5f43
coke_oven_brick, #6e523d
compressed_clay, #aeb8d2
compressed_coke_clay, #9d9b79
compressed_fireclay, #a08775
computer_monitor_cover, #b5b5b5
copper_credit, #ffa17a
cpu_chip, #7f8083
cpu_wafer, #8e8e93
credit_casting_mold, #9b9791
crystal_cpu, #bfff9d
crystal_processor, #969aa8
crystal_processor_assembly, #8daacd
crystal_processor_computer, #5e98e3
crystal_processor_mainframe, #7a8c97
crystal_soc, #c5c3eb
cupronickel_credit, #e7a469
cyan_dye_spray_can, #70acc5
cyan_glass_lens, #5c7c8a
cylinder_casting_mold, #9a9690
data_module, #a554ac
data_orb, #489633
data_stick, #78b53a
diamond_grinding_head, #829a90
diode, #5e5a52
doge_coin, #e6a168
dough, #fbd673
duct_tape, #979797
dynamite, #ed3a25
electric_jetpack, #766c5a
empty_mold, #b8b4ac
empty_spray_can, #b9c2c3
empty_wooden_form, #a57a46
ender_fluid_link_cover, #b8c5c2
energium_dust, #f15c6f
energy_cluster, #3d6e41
energy_crystal, #aa4e5a
energy_detector_cover, #d9d4d4
energy_module, #504348
engraved_crystal_chip, #b8ff62
engraved_lapotron_crystal_chip, #66d9ff
epoxy_circuit_board, #ffeaaa
epoxy_printed_circuit_board, #fbc08a
ev_battery_hull, #ffffff
ev_conveyor_module, #525050
ev_electric_motor, #8a8294
ev_electric_piston, #c9b4da
ev_electric_pump, #9d90a4
ev_emitter, #c3c3c3
ev_field_generator, #ccbecf
ev_fluid_regulator, #948e98
ev_power_unit, #695a65
ev_robot_arm, #8c8296
ev_sensor, #c5b2d4
ev_solar_panel, #728ae3
ev_vanadium_battery, #ffffff
ev_voltage_coil, #cdc39a
face_mask, #dcdcdc
fertilizer, #cdb191
fiber_reinforced_circuit_board, #5aff5a
fiber_reinforced_printed_circuit_board, #9dff37
firebrick, #c2b184
fluid_detector_cover, #c9c9c8
fluid_filter, #d9fbff
fluid_tag_filter, #f8bfff
fluid_voiding_cover, #b9bfbf
foil_extruder_mold, #b2b6bc
gear_casting_mold, #9b9790
gear_extruder_mold, #bbbfc5
gelled_toluene, #ffffff
glass_tube, #e7ffff
gold_credit, #ffff8d
good_electronic_circuit, #8a755f
good_integrated_circuit, #bba790
gravi_star, #ffffff
gravitation_engine_unit, #97a7a8
gray_dye_spray_can, #a7abab
gray_glass_lens, #626262
