// Compost colors for hallucinatory_plants. You may add your own colors, change existing ones, or remove colors that aren't needed.
baggie, #ffffff
band, #a0d2a0
blue_bong, #57b9ff
bong, #ffffff
cash, #76b476
coca_leaf, #5ed63d
coca_plant, #7acd5b
cocaine, #ffffff
cocaine_baggie, #ffffff
cocaine_brick, #ffffcc
datura_baggie, #ffffff
datura_leaf, #8cd468
datura_plant, #94d779
dried_coca_leaf, #5a761f
edible_cookie, #e3a24a
fentanyl, #ffffff
green_bong, #3da064
hemp_wrap, #ffffdc
joint, #8e8375
joint_laced, #94897a
laced_cocaine, #ffffff
lighter, #46751c
marijuana_baggie, #fafff1
marijuana_brick, #fef4b2
marijuana_bud, #48870b
marijuana_leaf, #1c7a00
marijuana_plant, #4e7d3a
orange_bong, #ffa75f
pipe, #b1b1b1
psilocybin_mushroom, #d2b486
psilocybin_mushroom_baggie, #ffffff
psilocybin_mushroom_plant, #8e8a72
purple_bong, #b669ff
red_bong, #e45e75
yellow_bong, #faff64
