// Compost colors for handcrafted. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_cushion, #bebec0
black_sheet, #5c646e
blue_bowl, #caffff
blue_crockery_combo, #1beaff
blue_cup, #caffff
blue_cushion, #d7dcff
blue_plate, #a5ffff
blue_sheet, #7f83cd
brown_cushion, #f8e0c9
brown_sheet, #9e867a
cyan_cushion, #bcffff
cyan_sheet, #64c5d3
fancy_painting, #fffbde
gray_cushion, #dcdee3
gray_sheet, #7d8690
green_cushion, #cfffcd
green_sheet, #6eb486
hammer, #b1aba1
light_blue_cushion, #bfffff
light_blue_sheet, #65b6d7
light_gray_cushion, #ffffff
light_gray_sheet, #bbbfbf
lime_cushion, #ffffc6
lime_sheet, #a8f876
magenta_cushion, #ffe3ff
magenta_sheet, #ea8eeb
orange_cushion, #ffffd6
orange_sheet, #ffc683
pink_cushion, #ffffff
pink_sheet, #ffd3f4
purple_cushion, #ffd7ff
purple_sheet, #be82fc
red_cushion, #ffcdcf
red_sheet, #cc7683
stackable_book, #d087ca
terracotta_bowl, #fffced
terracotta_crockery_combo, #e79a6c
terracotta_cup, #fffced
terracotta_plate, #ffedd3
white_bowl, #ffffff
white_crockery_combo, #ffffff
white_cup, #ffffff
white_cushion, #ffffff
white_plate, #ffffff
white_sheet, #fbffff
wood_bowl, #fbe6d6
wood_crockery_combo, #946434
wood_cup, #fee8d6
wood_plate, #f0d4b6
yellow_bowl, #ffffff
yellow_crockery_combo, #ffffff
yellow_cup, #ffffff
yellow_cushion, #ffffca
yellow_plate, #ffffff
yellow_sheet, #ffed76
