// Compost colors for jsg. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_chalk, #2c2d2f
blue_crystal, #f0ffff
blue_crystal_cluster, #bce7ff
charcoal_stick_mixture, #fffffe
chocolate_bar, #c6aab5
circuit_control_base, #d2dcd7
circuit_control_crystal, #f2f4f0
circuit_control_naquadah, #a1abb1
crystal_control_dhd, #ffbbbb
crystal_control_pegasus_dhd, #7cffff
crystal_glyph_dhd, #ffffff
crystal_glyph_milkyway, #fff5ed
crystal_glyph_pegasus, #edffff
crystal_glyph_stargate, #fffff5
crystal_glyph_universe, #ffffff
crystal_upgrade_capacity, #e3e6d7
crystal_upgrade_efficiency, #ffffff
dhd_bbb, #8aa5a8
dhd_brb, #d77373
dhd_milkyway, #580058
dhd_pegasus, #580058
ender_crystal, #f0ffff
ender_crystal_cluster, #bfffff
exposed_copper_ingot, #f49a75
fragment_stargate_milkyway, #949494
fragment_stargate_pegasus, #d6d4d4
fragment_stargate_tollan, #66d7ff
fragment_stargate_universe, #3a3a3a
gdo, #9e9daa
gear_naquadah, #7d8ca2
gear_naquadah_raw, #808778
gear_titanium, #9b9b9d
gear_trinium, #f8f8f8
hammer, #f0ebe4
holder_crystal, #c89a9b
holder_crystal_pegasus, #a4ebee
icon_jsg, #37485c
invisible_block, #580058
iris_blade, #d7d7d9
iris_blade_trinium, #ffffff
iris_block, #580058
large_blue_crystal_bud, #a2d2ff
large_ender_crystal_bud, #9dfff7
large_pegasus_crystal_bud, #abffff
large_red_crystal_bud, #ffa0a0
large_white_crystal_bud, #ffffff
large_yellow_crystal_bud, #ffffa2
lemon, #ffff61
medium_blue_crystal_bud, #91c9ff
medium_ender_crystal_bud, #93fff1
medium_pegasus_crystal_bud, #8dffff
medium_red_crystal_bud, #f88c8c
medium_white_crystal_bud, #ffffff
medium_yellow_crystal_bud, #ffff90
mortar_and_pestle, #fffffe
music_disc_atlantis_dialing, #2a304d
music_disc_atlantis_theme, #1c305b
music_disc_continuum_opening, #263747
music_disc_destiny_dialing, #2a2f3d
music_disc_destiny_gauntlet, #1f2d40
music_disc_destiny_opening, #2a394b
music_disc_origins_theme, #2d323d
music_disc_sgc_theme, #343640
music_disc_siren_sgc_dialing, #303784
music_disc_siren_sgc_offworld, #7d3039
naquadah_alloy, #8d98ac
naquadah_alloy_raw, #7f8776
naquadah_dust, #98a4b6
naquadah_molten_alloy, #576882
naquadah_molten_alloy_bucket, #a0a2a8
naquadah_molten_raw, #5f644d
naquadah_molten_raw_bucket, #a1a29e
naquadah_molten_refined, #80ae54
naquadah_molten_refined_bucket, #a8afa0
naquadah_nugget, #7d8a9e
naquadah_raw, #5f665a
naquadah_raw_dust, #8a9183
naquadah_raw_nugget, #6f7866
notebook, #deaba2
oxidized_copper_ingot, #beb88c
page_notebook_empty, #ffffff
page_notebook_filled, #ffffff
pegasus_crystal, #edffff
pegasus_crystal_cluster, #c9ffff
pestle, #ffffff
plate_naquadah, #9da8b9
plate_naquadah_raw, #8e9687
plate_titanium, #acabaf
plate_trinium, #ffffff
quad_iris_blade, #cfcfd0
quad_iris_blade_trinium, #e7e6e6
red_crystal, #ffeeee
red_crystal_cluster, #ffbbbb
schematic_milkyway, #ffa1a1
schematic_pegasus, #9ed4ff
schematic_tollan, #7fe0ff
schematic_universe, #ffffff
screwdriver, #f8ffff
shield_emitter, #8eb9ac
small_blue_crystal, #68a8ea
small_blue_crystal_bud, #acdcff
small_ender_crystal, #62e1cc
small_ender_crystal_bud, #acfffb
small_pegasus_crystal, #5fffff
small_pegasus_crystal_bud, #afffff
small_red_crystal, #dd6161
small_red_crystal_bud, #ffa7a7
small_white_crystal, #ffffff
small_white_crystal_bud, #ffffff
small_yellow_crystal, #dddd61
small_yellow_crystal_bud, #ffffa7
tauri_ancient_adapter, #fefcfe
titanium_dust, #a5a5a7
titanium_ingot, #9d9da0
titanium_molten, #c5c5c5
titanium_molten_bucket, #a2a2a2
titanium_nugget, #838286
titanium_raw, #898789
tokra_crystal, #e3d6e0
trinium_dust, #ffffff
trinium_ingot, #ffffff
trinium_molten, #eeeeee
trinium_molten_bucket, #bebebe
trinium_nugget, #ffffff
trinium_raw, #ffffff
upgrade_iris, #8d8d8e
upgrade_iris_creative, #fc61ff
upgrade_iris_trinium, #e6e4e6
upgrade_shield, #c5d2e3
weathered_copper_ingot, #cfaf79
white_crystal, #ffffff
white_crystal_cluster, #ffffff
wrench, #fff1f1
yellow_crystal, #ffffee
yellow_crystal_cluster, #ffffbe
