// Compost colors for legendarysurvivaloverhaul. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_juice, #ffffff
bandage, #f2e6e8
beetroot_juice, #fffbf7
cactus_juice, #e8fffb
canteen, #e0cac2
carrot_juice, #fffff8
chorus_fruit_juice, #ffffff
cold_string, #ccffff
cooling_coat_1, #ffffff
cooling_coat_2, #f4ffff
cooling_coat_3, #ffffff
desert_boots, #ffffff
desert_chestplate, #ac8a4d
desert_helmet, #fb9e50
desert_leggings, #184328
glistering_melon_juice, #fffff7
golden_apple_juice, #fffffe
golden_carrot_juice, #fffffc
healing_herbs, #e1c8b2
heart_container, #ffab8c
heart_fragment, #ffeaed
heating_coat_1, #ffe69d
heating_coat_2, #faffc3
heating_coat_3, #ffd4cf
ice_fern_gold_leaf, #fff4a5
ice_fern_leaf, #e7f4dd
ice_fern_seeds, #ffffff
large_canteen, #cfddc2
medikit, #fef7f7
melon_juice, #ffffff
morphine, #ffffff
nether_chalice, #ffbb6b
plaster, #ffebd4
pumpkin_juice, #fffff7
purified_water_bottle, #cadcff
seasonal_calendar, #ffebd3
shield_container, #ffffa1
snow_boots, #735a44
snow_chestplate, #628a89
snow_helmet, #a2a496
snow_leggings, #262525
sponge, #ffffcc
sun_fern_gold_leaf, #ffee8a
sun_fern_leaf, #ffffbb
sun_fern_seeds, #eeeebc
thermal_coat_1, #fffed4
thermal_coat_2, #f5fff4
thermal_coat_3, #fee6fe
thermometer, #d2ffff
tonic, #ffffe1
warm_string, #ff8a86
water_plant_bag, #faffff
water_plant_seeds, #ffffff
water_purifier, #ffffff
