// Compost colors for malum. You may add your own colors, change existing ones, or remove colors that aren't needed.
accelerating_inlay, #c6bea2
ace_prideweave, #5c575e
aerial_spirit, #dccde8
agender_prideweave, #696f66
alchemical_calx, #fae4b9
alchemical_impetus, #c0ab8e
aluminum_impetus, #aeb5be
aluminum_node, #aab1b9
ancient_weave, #443d46
anomalous_design, #b2b2b4
aqueous_spirit, #dccde8
arcane_charcoal, #755f73
arcane_charcoal_fragment, #6b526b
arcane_spirit, #dccde8
aro_prideweave, #5a655b
aroace_prideweave, #656864
astral_weave, #a1bce7
auric_embers, #ffb46f
azure_runewood_sapling, #8ab6d4
belt_of_the_limitless, #a15ea1
belt_of_the_magebane, #64466f
belt_of_the_prospector, #9b7051
belt_of_the_starved, #7d6b54
bi_prideweave, #5e4669
blazing_diode, #f7c286
blazing_quartz, #ffc26c
blazing_quartz_fragment, #ffaa6b
blighted_gunk, #322533
calcified_blight, #e7e7e4
catalyst_lobber, #877d89
charcoal_fragment, #3c3429
chunk_of_brilliance, #aedcb2
cluster_of_brilliance, #8dab9a
coal_fragment, #333234
complete_design, #bfc6b2
concentrated_gluttony, #578483
copper_impetus, #f59883
copper_node, #f7947d
copper_nugget, #f77c54
cornered_weave, #5b5550
cracked_alchemical_impetus, #b6a187
cracked_aluminum_impetus, #9da2ac
cracked_copper_impetus, #eb836f
cracked_gold_impetus, #ffae32
cracked_iron_impetus, #a4a8a7
cracked_lead_impetus, #8486b9
cracked_nickel_impetus, #a2a790
cracked_osmium_impetus, #8d9dbf
cracked_silver_impetus, #87b1cd
cracked_tin_impetus, #aab6cc
cracked_uranium_impetus, #5e6b54
cracked_zinc_impetus, #9dc3ae
crushed_brilliance, #7a9884
crushed_soulstone, #694e75
cthonic_gold, #d2a470
cthonic_gold_fragment, #c39a6b
cursed_sap, #de9ac8
cursed_sapball, #c23465
demiboy_prideweave, #656c72
demigirl_prideweave, #73696f
dreaded_weave, #625566
earthen_spirit, #dccde8
elaborate_brooch, #b578af
eldritch_spirit, #dccde8
enby_prideweave, #6b5e5b
encyclopedia_arcana, #a2898c
encyclopedia_esoterica, #a869b5
erosion_scepter, #9069a0
esoteric_spool, #474747
ether, #dadada
ether_torch, #644041
fused_consciousness, #82e184
gay_prideweave, #576970
genderfluid_prideweave, #5e5469
genderqueer_prideweave, #666668
gilded_belt, #ae784d
gilded_ring, #966848
glass_brooch, #a2acc0
gluttonous_brooch, #917c64
gold_impetus, #ffbf4e
gold_node, #ffbe43
grim_talc, #cdb684
hallowed_gold_ingot, #ffc866
hallowed_gold_nugget, #ffaf5e
hanging_azure_runewood_leaves, #ffffff
hanging_runewood_leaves, #ffffff
hanging_soulwood_leaves, #ffffff
hex_ash, #a02fd0
impurity_stabilizer, #c69b9a
infernal_spirit, #dccde8
intersex_prideweave, #756148
intricate_assembly, #beae86
iridescent_ether, #dedede
iridescent_ether_torch, #644041
iron_impetus, #b4b6b2
iron_node, #b1b4b1
lamplighters_tongs, #807978
lead_impetus, #9498c6
lead_node, #9196c6
lesbian_prideweave, #75585a
living_flesh, #d6253e
malignant_lead, #aab2cc
malignant_pewter_ingot, #bf8dd3
malignant_pewter_nugget, #c996da
malignant_pewter_plating, #cf9de4
malignant_stronghold_boots, #a07ab1
malignant_stronghold_chestplate, #b68aca
malignant_stronghold_helmet, #b887cd
malignant_stronghold_leggings, #b287c6
mechanical_weave_v1, #4b515c
mechanical_weave_v2, #5c4a4b
mending_diffuser, #c5977f
mnemonic_fragment, #ff8aff
mnemonic_hex_staff, #b264b9
music_disc_aesthetica, #9a41a2
music_disc_arcane_elegy, #6c5c6f
natural_quartz, #fff7ea
necklace_of_blissful_harmony, #aeb9d0
