// Compost colors for mcwbiomesoplenty. You may add your own colors, change existing ones, or remove colors that aren't needed.
dead_bamboo_door, #a19784
dead_bark_glass_door, #bec5bb
dead_barn_door, #9b9182
dead_barn_glass_door, #aba89b
dead_beach_door, #a79d8d
dead_classic_door, #a49a8a
dead_cottage_door, #a0978a
dead_four_panel_door, #b1a796
dead_glass_door, #c2c8be
dead_japanese2_door, #f0e8dd
dead_japanese_door, #ddd6c9
dead_modern_door, #a19787
dead_mystic_door, #aaa190
dead_nether_door, #a79d8d
dead_paper_door, #e0d9cf
dead_stable_door, #80796b
dead_stable_head_door, #82796c
dead_swamp_door, #b1a596
dead_tropical_door, #a49b8a
dead_waffle_door, #988e80
dead_western_door, #948c7c
dead_whispering_door, #aba294
empyreal_bamboo_door, #765191
empyreal_bark_glass_door, #fefffe
empyreal_barn_door, #825e91
empyreal_barn_glass_door, #967ca8
empyreal_beach_door, #9166a5
empyreal_classic_door, #9a6bae
empyreal_cottage_door, #8d699e
empyreal_four_panel_door, #a470bb
empyreal_glass_door, #b1aac6
empyreal_japanese2_door, #dec2ed
empyreal_japanese_door, #caaad9
empyreal_modern_door, #8a649b
empyreal_mystic_door, #966baa
empyreal_nether_door, #9066a2
empyreal_paper_door, #d4b8dd
empyreal_stable_door, #7d5f8c
empyreal_stable_head_door, #7d5f8d
empyreal_swamp_door, #765487
empyreal_tropical_door, #9065a2
empyreal_waffle_door, #8d64a0
empyreal_western_door, #795889
empyreal_whispering_door, #9170a2
fir_bamboo_door, #ac9a7a
fir_bark_glass_door, #c3c5b5
fir_barn_door, #a49479
fir_barn_glass_door, #b2ab93
fir_beach_door, #b1a082
fir_classic_door, #ac9d82
fir_cottage_door, #a79a82
fir_four_panel_door, #bcab8a
fir_glass_door, #c6c9b9
fir_japanese2_door, #f5ead6
fir_japanese_door, #e4d9c0
fir_modern_door, #aa9a7d
fir_mystic_door, #b4a486
fir_nether_door, #afa083
fir_paper_door, #e6dcc8
fir_stable_door, #877a64
fir_stable_head_door, #897c64
fir_swamp_door, #b9a78d
fir_tropical_door, #ae9d80
fir_waffle_door, #a19076
fir_western_door, #9d8e73
fir_whispering_door, #b4a48a
hellbark_bamboo_door, #291f15
hellbark_bark_glass_door, #dae1de
hellbark_barn_door, #292219
hellbark_barn_glass_door, #4a4840
hellbark_beach_door, #2f281c
hellbark_classic_door, #32291e
hellbark_cottage_door, #2d261c
hellbark_four_panel_door, #362c1f
hellbark_glass_door, #7c847f
hellbark_japanese2_door, #9d9790
hellbark_japanese_door, #807a72
hellbark_modern_door, #2c251b
hellbark_mystic_door, #30281e
hellbark_nether_door, #2f261c
hellbark_paper_door, #9b968a
hellbark_stable_door, #282219
hellbark_stable_head_door, #282219
hellbark_swamp_door, #261f16
hellbark_tropical_door, #2f261b
hellbark_waffle_door, #2d261b
hellbark_western_door, #262016
hellbark_whispering_door, #2f281e
jacaranda_bamboo_door, #fbf8ea
jacaranda_bark_glass_door, #dad3ca
jacaranda_barn_door, #fffff7
jacaranda_barn_glass_door, #ffffff
jacaranda_beach_door, #fffffe
jacaranda_classic_door, #ffffff
jacaranda_cottage_door, #fbf7eb
jacaranda_four_panel_door, #ffffff
