// Compost colors for mcwbyg. You may add your own colors, change existing ones, or remove colors that aren't needed.
aspen_bamboo_door, #ffc69e
aspen_bark_glass_door, #ffffff
aspen_barn_door, #ffc69e
aspen_barn_glass_door, #ffc29b
aspen_beach_door, #fac69e
aspen_classic_door, #f7c59e
aspen_cottage_door, #fec69e
aspen_four_panel_door, #fbc69e
aspen_glass_door, #fbbc9a
aspen_japanese2_door, #f5c09a
aspen_japanese_door, #f8c09a
aspen_modern_door, #fcc69e
aspen_mystic_door, #fec69e
aspen_nether_door, #ffc69e
aspen_paper_door, #fac39e
aspen_stable_door, #fcc39e
aspen_stable_head_door, #fcc39e
aspen_swamp_door, #fcc69e
aspen_tropical_door, #f7c29e
aspen_waffle_door, #fcc69e
aspen_western_door, #fcc39e
aspen_whispering_door, #ffc59e
baobab_bamboo_door, #c8ae73
baobab_bark_glass_door, #e8e4d3
baobab_barn_door, #c8ae73
baobab_barn_glass_door, #c5a870
baobab_beach_door, #c8ae73
baobab_classic_door, #c8ae73
baobab_cottage_door, #c8ae73
baobab_four_panel_door, #c8ae73
baobab_glass_door, #c0a570
baobab_japanese2_door, #bea572
baobab_japanese_door, #bfa770
baobab_modern_door, #c8ae73
baobab_mystic_door, #c8ae73
baobab_nether_door, #c8ae73
baobab_paper_door, #c2ab73
baobab_stable_door, #c8ae73
baobab_stable_head_door, #c8ae73
baobab_swamp_door, #c8ae73
baobab_tropical_door, #c8ae73
baobab_waffle_door, #c8ae73
baobab_western_door, #c8ae73
baobab_whispering_door, #c8ae73
blue_enchanted_bamboo_door, #667de7
blue_enchanted_bark_glass_door, #98afd7
blue_enchanted_barn_door, #667de7
blue_enchanted_barn_glass_door, #667de0
blue_enchanted_beach_door, #667de7
blue_enchanted_classic_door, #667de7
blue_enchanted_cottage_door, #667de7
blue_enchanted_four_panel_door, #667de7
blue_enchanted_glass_door, #667cd7
blue_enchanted_japanese2_door, #727fd3
blue_enchanted_japanese_door, #6e7cd7
blue_enchanted_modern_door, #667de7
blue_enchanted_mystic_door, #667de7
blue_enchanted_nether_door, #667de7
blue_enchanted_paper_door, #6f7dd7
blue_enchanted_stable_door, #667de7
blue_enchanted_stable_head_door, #667de7
blue_enchanted_swamp_door, #667de7
blue_enchanted_tropical_door, #667de7
blue_enchanted_waffle_door, #667de7
