// Compost colors for mcwdoors. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_bamboo_door, #e0875f
acacia_bark_glass_door, #bbc2b9
acacia_barn_door, #de8252
acacia_barn_glass_door, #e79b73
acacia_beach_door, #ed8a58
acacia_classic_door, #f18e5e
acacia_cottage_door, #d7875e
acacia_four_panel_door, #f7915f
acacia_glass_door, #eec0a5
acacia_japanese2_door, #ffd9b6
acacia_japanese_door, #ffc39e
acacia_modern_door, #e78657
acacia_mystic_door, #eb8c5c
acacia_nether_door, #e78655
acacia_paper_door, #ffd2af
acacia_stable_door, #bb6c44
acacia_stable_head_door, #bc6c44
acacia_swamp_door, #dc834e
acacia_waffle_door, #da794a
acacia_western_door, #d4794d
bamboo_bark_glass_door, #f0ffb8
bamboo_barn_door, #ffea76
bamboo_barn_glass_door, #fff594
bamboo_beach_door, #fffc7f
bamboo_classic_door, #fff572
bamboo_cottage_door, #ffff87
bamboo_four_panel_door, #ffff86
bamboo_glass_door, #fff7b8
bamboo_japanese2_door, #ffffd0
bamboo_japanese_door, #ffffbb
bamboo_modern_door, #fff47a
bamboo_mystic_door, #ffff89
bamboo_nether_door, #fffb83
bamboo_paper_door, #ffffd2
bamboo_stable_door, #ead273
bamboo_stable_head_door, #ead273
bamboo_swamp_door, #fffa8a
bamboo_tropical_door, #fffa7d
bamboo_waffle_door, #ffff7d
bamboo_western_door, #fee072
birch_bamboo_door, #fff5a0
birch_bark_glass_door, #ffffff
birch_barn_door, #fffeb6
birch_barn_glass_door, #ffffc9
birch_beach_door, #ffffb9
birch_classic_door, #ffffc2
birch_cottage_door, #fff1a1
birch_four_panel_door, #ffffcc
birch_glass_door, #ffffe1
birch_japanese2_door, #fffffb
birch_japanese_door, #ffffed
birch_modern_door, #ffffb8
birch_mystic_door, #ffffc8
birch_nether_door, #ffffbe
birch_stable_door, #fff0a5
birch_stable_head_door, #fff1a5
birch_swamp_door, #ffffc2
birch_tropical_door, #ffffb8
birch_waffle_door, #fff1a2
birch_western_door, #fff5ae
cherry_bamboo_door, #ffe6dd
cherry_bark_glass_door, #a89da7
cherry_barn_door, #ffe3da
cherry_barn_glass_door, #fff1ea
cherry_beach_door, #ffeee4
cherry_classic_door, #ffdcd3
cherry_cottage_door, #ffd7d0
cherry_four_panel_door, #ffe1d9
cherry_glass_door, #fffffb
cherry_japanese2_door, #ffffff
cherry_japanese_door, #ffffff
cherry_modern_door, #ffeae0
cherry_mystic_door, #ffeee4
cherry_nether_door, #ffe4dc
cherry_paper_door, #ffffff
cherry_stable_door, #ffc0b6
cherry_stable_head_door, #ffbfb5
cherry_swamp_door, #ffe1d7
cherry_tropical_door, #ffede4
cherry_western_door, #ffded6
crimson_bamboo_door, #9a3a69
crimson_barn_door, #974a69
crimson_barn_glass_door, #a76b86
crimson_beach_door, #ac5175
crimson_classic_door, #b6547c
crimson_cottage_door, #a45575
crimson_four_panel_door, #c55a83
