// Compost colors for mekanismdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
alloy_atomic_cookie, #ffbe89
alloy_atomic_ice_cream, #f480fe
alloy_atomic_jem, #fff5ff
alloy_infused_jem, #ffd0cf
alloy_infused_juice, #ffddd6
alloy_infused_pie, #ffc983
alloy_reinforced_jem, #cdffff
alloy_reinforced_shake, #bfffff
alloy_reinforced_stew, #91bba2
bronze_knife, #e4af73
enriched_carbon_knife, #6f6b65
enriched_diamond_knife, #acffff
enriched_gold_knife, #ffe07c
enriched_redstone_knife, #f5725a
enriched_refined_obsidian_knife, #9879ac
enriched_tin_knife, #ffffff
fluorite_knife, #fbffff
hdpe_sandwich, #d9b670
hdpe_stew, #e4d6b5
infused_shake, #ffb9bf
lead_knife, #949e93
osmium_knife, #afbfbe
refined_glowstone_knife, #f2d38a
refined_obsidian_knife, #937597
steel_knife, #948d82
tin_knife, #fffcf2
uranium_knife, #b2daa4
