// Compost colors for mekanismscience. You may add your own colors, change existing ones, or remove colors that aren't needed.
ammonia_bucket, #bfb9cc
ammonium_nitrate_bucket, #a7b1cc
beryllium_bucket, #90c597
bromine_bucket, #cc9893
clump_high_quality_concrete, #9b9b7a
clump_high_quality_concrete_aqua, #dcdc
clump_high_quality_concrete_black, #363636
clump_high_quality_concrete_blue, #30329b
clump_high_quality_concrete_brown, #9b6132
clump_high_quality_concrete_cyan, #16879b
clump_high_quality_concrete_dark_red, #9b1123
clump_high_quality_concrete_gray, #4d4d4d
clump_high_quality_concrete_green, #7c9b3d
clump_high_quality_concrete_light_blue, #2897dc
clump_high_quality_concrete_light_gray, #9b9b9b
clump_high_quality_concrete_lime, #79dc1f
clump_high_quality_concrete_magenta, #dc3dcf
clump_high_quality_concrete_orange, #dc5f04
clump_high_quality_concrete_pink, #dc6691
clump_high_quality_concrete_purple, #641f9b
clump_high_quality_concrete_red, #dc3232
clump_high_quality_concrete_white, #dcdcdc
clump_high_quality_concrete_yellow, #dca012
compressed_air_bucket, #cccccc
dust_calcium_oxide, #ebfbfc
helium_bucket, #bec6cc
high_performance_adsorbent, #fae1fb
high_performance_adsorbent_beryllium, #d3e7d4
high_performance_adsorbent_copper, #f7c5d2
high_performance_adsorbent_gold, #fcdcde
high_performance_adsorbent_iron, #f5d4e8
high_performance_adsorbent_lead, #d3bcda
high_performance_adsorbent_osmium, #d2d0fb
high_performance_adsorbent_tin, #f0d7f1
high_performance_adsorbent_uranium, #d9cddd
iodine_bucket, #bca2cc
nitric_acid_bucket, #bbbccc
nitric_oxide_bucket, #c8b6cc
nitrogen_bucket, #ccb2c9
nitrogen_dioxide_bucket, #c5b8cc
pellet_neutron_source, #fcf429
potassium_chloride_bucket, #abccbb
potassium_hydroxide_bucket, #b4ccc2
potassium_iodide_bucket, #ccaccc
powder_high_quality_concrete, #e4e4c3
powder_high_quality_concrete_aqua, #e4e4
powder_high_quality_concrete_black, #373737
powder_high_quality_concrete_blue, #4748e4
powder_high_quality_concrete_brown, #e48d4a
powder_high_quality_concrete_cyan, #22c8e4
powder_high_quality_concrete_dark_red, #721e29
powder_high_quality_concrete_gray, #727272
powder_high_quality_concrete_green, #b6e45a
powder_high_quality_concrete_light_blue, #299de4
powder_high_quality_concrete_light_gray, #e4e4d2
powder_high_quality_concrete_lime, #7de41f
powder_high_quality_concrete_magenta, #e440d7
powder_high_quality_concrete_orange, #e46404
powder_high_quality_concrete_pink, #e46b98
powder_high_quality_concrete_purple, #932de4
powder_high_quality_concrete_red, #e43333
powder_high_quality_concrete_white, #dde3e4
powder_high_quality_concrete_yellow, #e4a712
seawater_bucket, #93c5cc
strontium_bucket, #ccbcbb
superheated_helium_bucket, #ccc3bb
syringe, #f0ffff
syringe_anesthetic, #cfe6ff
syringe_flame_retardant, #f8c6d7
syringe_levitation, #ffffff
tablet_iodine, #9d3434
xenon_bucket, #a8a5cc
yttrium_bucket, #b9c5cc
