// Compost colors for more_beautiful_torches. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_log_redstone_torch, #ff753e
acacia_log_soul_torch, #d3a57d
acacia_log_torch, #fca458
acacia_planks_redstone_torch, #ff703a
acacia_planks_soul_torch, #daa579
acacia_planks_torch, #ffa254
amethyst_block_redstone_torch, #f86c97
amethyst_block_soul_torch, #a09dff
amethyst_block_torch, #ca9ae1
amethyst_cluster_redstone_torch, #ff86b4
amethyst_cluster_soul_torch, #c9c3ff
amethyst_cluster_torch, #f4c0ff
ancient_debris_redstone_torch, #ea6243
ancient_debris_soul_torch, #898c84
ancient_debris_torch, #b48a5f
andesite_redstone_torch, #ff977f
andesite_soul_torch, #b9dcde
andesite_torch, #e4d9b9
bamboo_block_redstone_torch, #fa913d
bamboo_block_soul_torch, #a1d37c
bamboo_block_torch, #cad057
bamboo_planks_redstone_torch, #ffb151
bamboo_planks_soul_torch, #f5ff9a
bamboo_planks_torch, #ffff75
basalt_redstone_torch, #de6c57
basalt_soul_torch, #7a9da4
basalt_torch, #a49a80
bee_nest_redstone_torch, #ffaf54
bee_nest_soul_torch, #ffffa0
bee_nest_torch, #ffff7a
beehive_redstone_torch, #ff9351
beehive_soul_torch, #d7d69b
beehive_torch, #ffd376
birch_log_redstone_torch, #ffbf82
birch_log_soul_torch, #ffffdd
birch_log_torch, #ffffb9
birch_planks_redstone_torch, #ffaf6f
birch_planks_soul_torch, #f4ffca
birch_planks_torch, #ffffa5
black_terracotta_redstone_torch, #bf4022
black_terracotta_soul_torch, #485a54
black_terracotta_torch, #72572f
black_wool_redstone_torch, #b23e29
black_wool_soul_torch, #34575e
black_wool_torch, #5e5539
blackstone_redstone_torch, #c8513d
blackstone_soul_torch, #57737d
blackstone_torch, #827058
blue_ice_redstone_torch, #f5abd7
blue_ice_soul_torch, #9bfaff
blue_ice_torch, #c5f7ff
blue_terracotta_redstone_torch, #da5c5b
blue_terracotta_soul_torch, #7283a8
blue_terracotta_torch, #9d8284
blue_wool_redstone_torch, #ca5b8e
blue_wool_soul_torch, #5a80f4
blue_wool_torch, #837dcf
bone_block_redstone_torch, #ffc898
bone_block_soul_torch, #ffffff
bone_block_torch, #ffffde
