// Compost colors for moresnifferflowers. You may add your own colors, change existing ones, or remove colors that aren't needed.
amber_shard, #ffaf39
ambush_seeds, #ea9328
aroma_armor_trim_smithing_template, #eaa761
beat_armor_trim_smithing_template, #bf5457
belt_piece, #a09179
bonmeelia_seeds, #a47f80
broken_rebrewing_stand, #a75c70
carotene_armor_trim_smithing_template, #ff9d4d
caulorflower, #8ab162
dawnberry, #8dd9ff
dawnberry_vine_seeds, #5c7a80
dragonfly, #96c5f1
dyespria, #ffffff
dyespria_seeds, #abb6ab
engine_piece, #83756b
extracted_bottle, #ffffff
extraction_bottle, #f1f4ff
grain_armor_trim_smithing_template, #c0bc75
jar_of_bonmeel, #f89efb
nether_wart_armor_trim_smithing_template, #8c434a
press_piece, #b9a782
rebrewed_lingering_potion, #ffffff
rebrewed_potion, #ffffff
rebrewed_splash_potion, #ffffff
rebrewing_stand, #a26682
scrap_piece, #b59b8e
tater_armor_trim_smithing_template, #f5d375
tube_piece, #a1806e
