// Compost colors for naturaldecormod. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_bonzai, #a7a720
acacia_hanging_pot, #b67355
agasi_eggs_ndm, #bbb6b6
agasi_koi_bucket, #bbb8bf
agave_ndm, #d4fffa
aloevera_ndm, #a0bc86
azure_bluet_bundle, #e3ffc0
bamboo_bars_ndm, #ffe86e
bamboo_hanging_pot, #d3b565
barrel_hanging_pot_ndm, #7f684b
beachgrass, #fff79a
birch_bonsai, #b6e473
birch_hanging_pot, #cdb687
bird_nest_spruce, #548222
bird_nest_spruce_little, #588623
bird_of_paradise, #707352
blue_fescue_grass, #b8e8f4
blue_gill_bucket, #989a98
blue_rose, #28d2c8
blue_rose_bush, #34c5d0
blue_wind_spinner_item, #acb2be
bluegill_eggs_ndm, #84dcf7
botany_bag_ndm, #c66632
botany_biscuit, #825734
bullet_azure_bluet, #b2f7ff
bungalo_palm_sapling, #7dcc64
bush, #1f3d16
buttercup, #feff46
buttercup_bundle, #faff26
butterfly_flower_bush_ndm, #50644e
calico_fish_bucket, #bbacaf
california_poppy, #a59029
carp_eggs_ndm, #f7e184
carp_fish_bucket, #a8a7a7
cherry_bonsai_ndm, #ffbed2
cherry_hanging_pot, #fbb1af
chicory, #89ed97
cholla_cactus, #e0d9b4
cooked_blue_gill, #b8ae89
cooked_carp, #c09e6b
copper_amethyst_daisy, #ddc5a4
cornflower_allium_bundle, #a2aafa
creeping_flox_blue_large, #a0cc94
creeping_flox_blue_small, #b8bfbe
creeping_flox_purple_large, #9dc378
creeping_flox_purple_small, #dab2c2
creeping_tomato, #b63336
creosote_bush, #3a4319
crimson_hanging_pot, #96556c
daisy_bundle, #fefada
dandelion_bundle, #fcfb8e
dark_oak_bonsai, #4e9830
dark_oak_hanging_pot, #78624b
dead_desert_grass_ndm, #c3af6c
doitsu_eggs_ndm, #a8937a
doitsu_fish_bucket, #afa2a7
domestic_duck_wind_spinner_item, #979b97
dracanea_little, #58b634
duck_wind_spinner, #505047
dwarf_palmetto, #34702f
dwarf_pink_bottle_brush, #586e4d
dwarf_red_bottle_brush, #465532
farmer_hat_armor_helmet, #d7bb3a
fish_food_ndm, #c0944a
fish_windsock_ndm, #6f7c7c
frost_flower_four, #ffffff
frost_flower_ndm, #ffffff
frost_flower_three, #ffffff
frost_flower_two, #ffffff
fungus_bundle, #c96f55
ghost_orchid, #e4ffe4
giant_horse_tail_tall_ndm_base, #61bc28
giant_horsetail_short_ndm, #61bc28
golden_anubia_item, #5ac652
golden_anubia_plant, #5ac652
golden_anubia_underwater, #5ac652
green_desert_grass_ndm, #9daf58
green_lichen_ndm, #86bc91
green_wing_orchid, #788abb
hanging_planter_pot, #9a6152
hardy_hedge_shears, #848493
hardy_trowel, #a2a2aa
holiday_cactus_ndm, #415025
indian_paintbrush, #9b734e
irish_moss_large, #70ca66
irish_moss_small, #76d36b
japanese_dandelion, #e4ff94
java_fern, #78b543
java_fern_top, #91ca3d
jungle_bonsai, #407818
jungle_hanging_pot, #be9665
kohako_koi_eggs_ndm, #ffd390
koi_wind_sock_ndm, #f5d9bb
lady_fern, #83bc48
lady_slipper_orchid, #acae6f
lilyof_the_valley_bundle, #aaf280
lithops, #d0ab7a
little_bush, #3c7329
little_creosote_bush, #6c7f33
little_tropical_bush, #50a01e
lupine_diamond_ndm, #413a5a
lupine_pearl_ndm, #753648
lupine_scarlet_ndm, #754830
lupine_violet_ndm, #66325c
