// Compost colors for natures_spirit. You may add your own colors, change existing ones, or remove colors that aren't needed.
alluaudia, #6c5f26
anemone, #d961b1
aspen_boat, #f5b557
aspen_chest_boat, #c89846
aspen_door, #ffc865
aspen_hanging_sign, #fbd061
aspen_sapling, #e1914b
aspen_sign, #ebac55
aureate_succulent, #dec243
azolla, #6b8330
beach_grass, #cfaa51
black_iris, #915136
black_olives, #625743
black_paper_lantern, #583733
bleeding_heart, #aaa162
blooming_paper_door, #b8806b
blooming_paper_panel, #dea893
blue_bulbs, #9d7661
blue_iris, #9b5f57
blue_paper_lantern, #484b82
blue_wisteria_sapling, #9b615a
blue_wisteria_vines, #a86fa4
bluebell, #839387
brown_paper_lantern, #aa4e2c
calcite_cluster, #ffffff
calcite_shard, #ffffff
carnation, #a82d2c
cattail, #965223
cedar_boat, #cd7d75
cedar_chest_boat, #b17355
cedar_door, #d4847d
cedar_hanging_sign, #b6766b
cedar_sapling, #a5522c
cedar_sign, #bf7969
chalk_powder, #d3cfc9
cheese_arrow, #e7ca93
cheese_bucket, #dcc8b1
coconut, #9b5f47
coconut_boat, #ffb190
coconut_chest_boat, #da9164
coconut_door, #ff9d83
coconut_half, #b1a49a
coconut_hanging_sign, #e79d7f
coconut_shell, #83513d
coconut_sign, #f09d79
coconut_sprout, #91693a
cyan_paper_lantern, #51b582
cypress_boat, #aa876b
cypress_chest_boat, #9a734e
cypress_door, #bc9473
cypress_hanging_sign, #a49070
cypress_sapling, #7a4119
cypress_sign, #a5785b
desert_turnip, #e7c8c0
drowsy_succulent, #9bac47
dwarf_blossoms, #b14344
fir_boat, #6e5048
fir_chest_boat, #75553d
fir_door, #8c5e54
fir_hanging_sign, #806557
fir_sapling, #873a28
fir_sign, #8a695c
flaxen_fern, #f7c950
foamy_succulent, #68c8c5
foxglove, #eba0ff
framed_paper_door, #a16c55
framed_paper_panel, #c6977a
frigid_grass, #d9c682
gardenia, #cca572
ghaf_boat, #a16141
ghaf_chest_boat, #965c34
ghaf_door, #b9734b
ghaf_hanging_sign, #a5704b
ghaf_sapling, #9b5730
ghaf_sign, #ab653d
gray_paper_lantern, #7c5c58
gray_polypore, #9b8068
green_bearberries, #b4b680
green_bitter_sprouts, #b69e6e
green_olives, #787639
green_paper_lantern, #766920
half_pizza, #e78241
helvola_flower, #ffffd3
helvola_pad, #93dd5f
hibiscus, #cf372f
imperial_succulent, #d7c8ff
joshua_boat, #66524a
joshua_chest_boat, #73543a
