// Compost colors for neapolitan. You may add your own colors, change existing ones, or remove colors that aren't needed.
adzuki_beans, #ff4e50
adzuki_bun, #ffbc98
adzuki_cake, #ffeec6
adzuki_curry, #8e471c
adzuki_ice_cream, #f4977d
adzuki_milkshake, #ffc5de
adzuki_stew, #ffffff
banana, #fff255
banana_bread, #e79455
banana_bunch, #ffc62a
banana_cake, #ffffe7
banana_frond, #90c93a
banana_ice_cream, #ffd365
banana_milkshake, #ffffd3
bananarrow, #ffffff
beanstalk_thorns, #ffffff
chimpanzee_banner_pattern, #fffff1
chocolate_bar, #8e5b3e
chocolate_cake, #d4a48a
chocolate_ice_cream, #cf8964
chocolate_milkshake, #e8bcaf
chocolate_spider_eye, #8c413c
chocolate_strawberries, #b26444
cooked_mint_chops, #c67244
dried_banana, #ffffc0
dried_vanilla_pods, #7f5b54
ice_cubes, #b4eeff
magic_beans, #edc9cf
milk_bottle, #ffffff
mint_cake, #bbffb1
mint_candies, #daffff
mint_chocolate, #fffff1
mint_chops, #fc4437
mint_ice_cream, #7dd283
mint_leaves, #70f47d
mint_milkshake, #abffe4
mint_sprout, #ffffff
music_disc_hullabaloo, #f0ede6
neapolitan_ice_cream, #e7a897
primal_armor_trim_smithing_template, #626e54
reflection_pottery_sherd, #9a5546
roasted_adzuki_beans, #eb2f4a
scream_pottery_sherd, #965244
snack_pottery_sherd, #9b5747
spider_pottery_sherd, #9a5546
strawberries, #da584a
strawberry_banana_smoothie, #ffc8eb
strawberry_bean_bonbons, #d73e57
strawberry_cake, #ffa4a4
strawberry_ice_cream, #e898ae
strawberry_milkshake, #ffdeff
strawberry_pips, #ebb839
strawberry_scones, #ffc090
vanilla_cake, #fffffa
vanilla_chocolate_fingers, #8c5c46
vanilla_fudge, #ffa866
vanilla_ice_cream, #eecf9b
vanilla_milkshake, #fffffe
vanilla_pods, #acb14a
vanilla_pudding, #e1bf8a
white_strawberries, #e8c2ac
