// Compost colors for nifty. You may add your own colors, change existing ones, or remove colors that aren't needed.
100km_sign, #f7f7f7
10km_sign, #ffffff
110km_sign, #fcfcfc
120km_sign, #f8f8f8
130km_sign, #fafafa
140km_sign, #f7f7f7
15km_sign, #ffffff
20km_sign, #ffffff
25km_sign, #ffffff
30km_sign, #ffffff
3way_sign, #ffffff
40km_sign, #fefefe
4way_sign, #ffffff
50km_sign, #ffffff
5km_sign, #ffffff
60km_sign, #fefefe
70km_sign, #ffffff
80km_sign, #fcfcfc
90km_sign, #fefefe
airhorn, #ffffff
aloe_vera, #a1cf58
applepie, #ffe170
bacon_cooked, #dd866c
bacon_raw, #ffffff
banana, #fffffb
beans, #ffe6e3
beans_can, #fff1f2
blueberry, #7387a8
blueberrypie, #dea59e
burger, #afa23e
burrito, #fff8cd
business_sign, #ffffff
chain_link_fence, #949694
cheese, #ffea43
cheesebread, #d48304
cherry_bottle_full, #907a91
chocolatebar, #8a1e12
cleaner, #ffffff
coke_drink, #ffffff
coke_empty, #ffffff
cola_bottle, #c2eeff
cola_bottle_full, #868294
cone, #d98c18
construction_sign, #fb8225
crossroad_sign, #d0b412
crosswalk_sign, #ffffff
cutter, #c0c0c0
dangerko_sign, #ffffff
do_not_enter_sign, #ff97a1
doom_disc, #78a254
doughnut, #ff806e
drpepper_drink, #fffcfc
drpepper_empty, #fffcfc
east_sign, #ffffff
ends_sign, #ffffff
fish_sticks, #ffffda
flax, #ffffff
flax_seeds, #fff189
framed_glass_pane, #d4cdbf
framed_glass_wood_pane, #edcc98
fried_chicken, #f2d2aa
fries, #ffffe6
gameboy, #ffffff
gas_sign, #78e3ff
glass_door, #ffffff
glass_door_black, #dddddd
glass_door_blue, #eaf7ff
glass_door_brown, #fff7ea
glass_door_cyan, #f7ffff
glass_door_green, #ffffea
glass_door_grey, #f7f7f7
glass_door_lblue, #ffffff
glass_door_lgrey, #ffffff
glass_door_lime, #ffffdd
glass_door_magenta, #fff7ff
glass_door_orange, #ffffea
glass_door_pink, #ffffff
glass_door_purple, #fff1ff
glass_door_red, #ffeaea
glass_door_white, #ffffff
glass_door_yellow, #ffffea
gravel_road_sign, #ffffb1
guitar, #ffffe7
gumball, #ff2529
hammer, #c8c8c8
highway_1_sign, #ffffff
highway_2_sign, #ffffff
highway_3_sign, #ffffff
highway_4_sign, #ffffff
highway_5_sign, #ffffff
hotdog, #bf7a2f
icecream, #fff7b6
iron_rod, #a2a5a1
junction_sign, #ffffff
lasagna, #ffb67a
left_added_lane_sign, #f7d620
left_arrow_sign, #c9ae12
left_curve_sign, #ffe337
left_double_curve_sign, #ffdc34
left_lane_ends_sign, #ffe118
left_obstruction_sign, #b29816
left_sharp_curve_sign, #ffdd36
left_sharp_turn_sign, #ffe018
left_side_road_sign, #ffde36
left_sign, #ffffff
left_turn_sign, #5b5b5b
letter_a, #ffffff
letter_b, #ffffff
letter_c, #ffffff
letter_d, #ffffff
letter_e, #ffffff
letter_f, #ffffff
letter_g, #ffffff
letter_h, #ffffff
letter_i, #ffffff
letter_j, #ffffff
letter_k, #ffffff
letter_l, #ffffff
letter_m, #ffffff
letter_n, #ffffff
letter_o, #ffffff
letter_p, #ffffff
letter_q, #ffffff
letter_r, #ffffff
letter_s, #ffffff
letter_t, #ffffff
letter_u, #ffffff
letter_v, #ffffff
letter_w, #ffffff
letter_x, #ffffff
letter_y, #ffffff
letter_z, #ffffff
light_bulb, #b5cae0
maple_door, #906436
maple_hanging_sign, #be915b
maple_sapling, #be3c14
maple_sign, #c69154
match, #6c3a1e
meatpie, #fffee1
middle_obstruction_sign, #a8910f
mincemeat_cooked, #a25a25
mincemeat_raw, #ff7072
mndew_drink, #ffffff
mndew_empty, #ffffff
narrow_bridge_sign, #ffe620
narrow_road_sign, #ffde39
no_exit_sign, #ffea22
no_left_turn_sign, #ffcacf
no_parking_sign, #ffe1e4
no_right_turn_sign, #ffcacf
no_stopping_sign, #f8d0d4
north_sign, #edebe8
number_0, #ffffff
number_1, #ffffff
number_2, #ffffff
number_3, #ffffff
number_4, #ffffff
number_5, #ffffff
number_6, #ffffff
number_7, #ffffff
number_8, #ffffff
number_9, #ffffff
open_bridge_sign, #ffe016
orange, #ffb95f
orange_drink, #ffffff
orange_empty, #ffffff
orange_seeds, #ffe8a0
pear, #bcd35c
pear_seeds, #484436
pepsi_drink, #fcffff
pepsi_empty, #fcffff
pickle, #83af0e
pizza, #ffa134
plastic_raw, #f8f8f8
plastic_sheet, #ffffff
plate_copper, #e78450
plate_iron, #ffffff
quantum_bottle_full, #a4faff
rad_sign, #ffff84
railroad_ahead_sign, #ffee23
railroad_sign, #fff2f7
redoak_door, #82543d
redoak_hanging_sign, #b1765c
redoak_sapling, #c54416
redoak_sign, #b87355
right_added_lane_sign, #f7d620
right_arrow_sign, #f7e172
right_curve_sign, #ffe337
right_double_curve_sign, #ffdc34
right_lane_ends_sign, #ffffb5
right_obstruction_sign, #b19714
right_sharp_curve_sign, #ffdd36
right_sharp_turn_sign, #ffffb9
right_side_road_sign, #ffde36
right_sign, #ffffff
right_turn_sign, #5b5b5b
rootbeer_drink, #ffffff
rootbeer_empty, #ffffff
roundabout_sign, #ffffb4
rubber_bar, #fff4af
rubber_raw, #ffffff
rubber_sapling, #377d14
salve, #c9aa73
sarsaparilla_bottle, #ffffc8
sarsaparilla_bottle_full, #cabc8d
shelter_sign, #ae8d22
shotgun, #97896f
shotgun_shell, #ffffff
siren, #ffffff
south_sign, #f4f1f0
stop_sign, #ff707a
straight_sign, #ffffff
strip_white, #ffffff
symbol_and, #ffffff
symbol_apostrophe, #ffffff
symbol_at, #ffffff
symbol_caret, #ffffff
symbol_equal, #ffffff
symbol_exclamation, #ffffff
symbol_hash, #ffffff
symbol_minus, #ffffff
symbol_money, #ffffff
symbol_percent, #ffffff
symbol_period, #ffffff
symbol_plus, #ffffff
symbol_question, #ffffff
symbol_star, #ffffff
symbol_underscore, #ffffff
taco, #ffffff
tape, #6c6c6c
