// Compost colors for pamhc2crops. You may add your own colors, change existing ones, or remove colors that aren't needed.
agaveitem, #6faf36
agaveseeditem, #69cd4e
alfalfaitem, #daf079
alfalfaseeditem, #69cd4e
aloeitem, #65c641
aloeseeditem, #69cd4e
amaranthitem, #873630
amaranthseeditem, #a87936
arrowrootitem, #d6a26c
arrowrootseeditem, #7db43a
artichokeitem, #82b264
artichokeseeditem, #ffffff
asparagusitem, #86a547
asparagusseeditem, #7cac30
bakedarrowrootitem, #e4b57f
bakedcassavaitem, #a27c5b
bakedjicamaitem, #ffff8d
bakedparsnipitem, #7f9ee3
bakedrutabagaitem, #9bb976
bakedsunchokeitem, #a17833
bakedsweetpotatoitem, #fff7cf
bakedtaroitem, #af9362
bakedturnipitem, #ffffc9
bakedwaterchestnutitem, #86b2b6
barleyitem, #e1ea90
barleyseeditem, #ffffff
barrelcactusitem, #6e9a39
barrelcactusseeditem, #69cd4e
beanitem, #a80a05
beanseeditem, #8d6915
bellpepperitem, #5bbc07
bellpepperseeditem, #76af2a
blackberryitem, #5a5248
blackberryseeditem, #726e33
blueberryitem, #30787d
blueberryseeditem, #57804a
bokchoyitem, #94e469
bokchoyseeditem, #69cd4e
broccoliitem, #b5e480
broccoliseeditem, #75ac28
brusselsproutitem, #98a769
brusselsproutseeditem, #ffffff
cabbageitem, #abbf7d
cabbageseeditem, #ffffff
cactusfruititem, #d46157
cactusfruitseeditem, #70a423
calabashitem, #89d31e
calabashseeditem, #69cd4e
candleberryitem, #6baf46
candleberryseeditem, #4d8025
canolaitem, #b9c929
canolaseeditem, #69cd4e
cantaloupeitem, #e7d770
cantaloupeseeditem, #a1b532
cassavaitem, #936b4b
cassavaseeditem, #a1ac44
cattailitem, #69581e
cattailseeditem, #69cd4e
caulifloweritem, #aaff82
cauliflowerseeditem, #ffffff
celeryitem, #dcf584
celeryseeditem, #a2d651
chiaitem, #b18669
chiaseeditem, #69cd4e
chickpeaitem, #d3cc6e
chickpeaseeditem, #7cb43c
chilipepperitem, #bc442f
chilipepperseeditem, #916f20
cloudberryitem, #dd9b3a
cloudberryseeditem, #69cd4e
coffeebeanitem, #685116
coffeebeanseeditem, #6c6c16
cornitem, #d6dd46
cornseeditem, #a4c523
cottonitem, #fffbde
cottonseeditem, #bee497
cranberryitem, #a1582c
cranberryseeditem, #9d6c22
cucumberitem, #78b93d
cucumberseeditem, #689e1b
eggplantitem, #7c525c
eggplantseeditem, #786e64
elderberryitem, #75374d
elderberryseeditem, #7f703a
flaxitem, #96c696
flaxseeditem, #bed98a
garlicitem, #ffffff
garlicseeditem, #cde779
gingeritem, #dac387
gingerseeditem, #a8ac37
grapeitem, #a16ba5
grapeseeditem, #906e64
greengrapeitem, #e4ffc0
greengrapeseeditem, #acf05f
guaranaitem, #a24026
guaranaseeditem, #69cd4e
hotcoffeeitem, #c8d2da
hotnettleteaitem, #a8d6d9
hotteaitem, #cae1eb
huckleberryitem, #4d443d
huckleberryseeditem, #686f30
jicamaitem, #fff56e
jicamaseeditem, #c0cf3c
juniperberryitem, #507a7a
juniperberryseeditem, #5fa578
juteitem, #ffdd75
juteseeditem, #8ab94b
kaleitem, #6ec354
kaleseeditem, #82b843
kenafitem, #ffffed
kenafseeditem, #b6d473
kiwiitem, #b5aa57
kiwiseeditem, #96a53d
kohlrabiitem, #cafc9a
kohlrabiseeditem, #a0d761
leekitem, #ffffff
leekseeditem, #ffffff
lentilitem, #ffffd2
lentilseeditem, #9dd64d
lettuceitem, #c5ff5f
lettuceseeditem, #7dc323
lotusitem, #eebc6f
lotusseeditem, #69cd4e
milletitem, #d3c67a
milletseeditem, #c5e179
mulberryitem, #7c551c
mulberryseeditem, #8d6f20
mustardseedsitem, #c3844e
mustardseedsseeditem, #bfc320
nettlesitem, #5c913d
nettlesseeditem, #69cd4e
nopalesitem, #86be46
nopalesseeditem, #69cd4e
oatsitem, #ffffc6
oatsseeditem, #ffffff
okraitem, #4db420
okraseeditem, #ffffff
onionitem, #caac69
onionseeditem, #bed05f
papyrusitem, #98a741
papyrusseeditem, #69cd4e
parsnipitem, #89aaf5
parsnipseeditem, #ffffff
peanutitem, #e3aa4d
peanutseeditem, #acaa23
peasitem, #abb455
peasseeditem, #75b126
pineappleitem, #90691e
pineappleseeditem, #a5b929
quinoaitem, #6b5e26
quinoaseeditem, #acc53e
radishitem, #b9aa5f
radishseeditem, #b29744
raspberryitem, #ab6e46
raspberryseeditem, #b68633
rhubarbitem, #eddd8c
rhubarbseeditem, #ffffff
riceitem, #f5ff89
riceseeditem, #dee876
roastedgarlicitem, #fffff7
roastedkohlrabiitem, #b1c661
roastedleekitem, #ffffff
roastedmushroomitem, #dcc9bc
roastedonionitem, #af8746
roastedpeanutitem, #cc8c1f
roastedradishitem, #9d4737
roastedrhubarbitem, #e4cc7a
roastedscallionitem, #ffffff
rutabagaitem, #93bc6b
rutabagaseeditem, #ffffff
ryeitem, #ffd372
ryeseeditem, #ffffff
scallionitem, #98c06c
scallionseeditem, #ffffff
sesameseedsitem, #ffffff
sesameseedsseeditem, #ffffff
sisalitem, #7aa22d
sisalseeditem, #94cc3a
sorghumitem, #fca155
sorghumseeditem, #69cd4e
soybeanitem, #b9cd37
soybeanseeditem, #ffffff
spiceleafitem, #546f33
spiceleafseeditem, #64972f
spinachitem, #8cdc32
spinachseeditem, #79c03a
strawberryitem, #af401c
strawberryseeditem, #976e34
sunchokeitem, #cfa02c
sunchokeseeditem, #a5b43c
sweetpotatoitem, #fff2dc
sweetpotatoseeditem, #989330
taroitem, #895e34
taroseeditem, #7db441
tealeafitem, #619043
tealeafseeditem, #5fa012
tomatilloitem, #9dee5e
tomatilloseeditem, #a8cc3e
tomatoitem, #b24a2c
tomatoseeditem, #977c20
truffleitem, #584741
truffleseeditem, #69cd4e
turnipitem, #c8dc8e
turnipseeditem, #b4cf65
waterchestnutitem, #7891a5
waterchestnutseeditem, #ffffff
whitemushroomitem, #ffffff
whitemushroomseeditem, #bee090
wintersquashitem, #fbc273
wintersquashseeditem, #ffffff
wolfberryitem, #e06112
wolfberryseeditem, #69cd4e
yuccaitem, #8cb43a
yuccaseeditem, #69cd4e
zucchiniitem, #a0c055
zucchiniseeditem, #9bc348
