// Compost colors for pamhc2foodextended. You may add your own colors, change existing ones, or remove colors that aren't needed.
aebleskiversitem, #da9d50
almondbutteritem, #feeedd
anchovypepperonipizzaitem, #fffbcd
applecideritem, #e0e0d9
applefritteritem, #eba43e
applejellysandwichitem, #fff0b2
applesnowitem, #f5827d
apricotglazedporkitem, #ff9b7c
apricotjellyitem, #ffffff
apricotjellysandwichitem, #fff1b6
apricotjellytoastitem, #ffd689
apricotjuiceitem, #dccfc9
apricotpieitem, #e3c88d
apricotsmoothieitem, #f4cfa4
apricotyogurtitem, #fffede
asparagusquicheitem, #ffed55
avocadoburritoitem, #ffffea
avocadotoastitem, #c3cf36
babaganoushitem, #ab985e
baconmushroomburgeritem, #c38034
baconpancakesitem, #fff089
baconwrappedchiliitem, #af360b
baconwrappeddatesitem, #d6945a
bakedalaskaitem, #ffffeb
bakedbeansitem, #a4612a
bakedcactusitem, #dceed3
bakedhamitem, #b98273
baklavaitem, #ffd27c
bamboosteamedriceitem, #9a7a47
bananajellyitem, #ffffff
bananajellysandwichitem, #fff1b1
bananajellytoastitem, #fce766
bananajuiceitem, #c6d2ae
banananutbreaditem, #9a6826
bananapieitem, #ddca86
bananasmoothieitem, #fae783
bananasplititem, #ffeac8
bananayogurtitem, #ffffda
bangersandmashitem, #ffffff
battenbergitem, #ffffeb
batteredsausageitem, #ffffd7
bbqchickenbiscuititem, #d48037
bbqchickenpizzaitem, #ffc683
bbqjackfruititem, #f4c0a5
bbqpotatochipsitem, #ffcf96
bbqsauceitem, #fff5e3
beanburritoitem, #ffffe8
beancornmealitem, #c3933a
beansandriceitem, #aa7041
beansontoastitem, #fbbc5a
beefwellingtonitem, #b66b1f
beetburgeritem, #cc8033
bentoboxitem, #948266
berrymeringuenestitem, #ffcadd
berryvinaigrettesaladitem, #8c793a
bibimbapitem, #908458
biscuititem, #cc8e3a
biscuitsandgravyitem, #ffffff
blackberrycobbleritem, #d0b684
blackberryjellyitem, #fffeff
blackberryjellysandwichitem, #ffe4b2
blackberryjellytoastitem, #cd8473
blackberryjuiceitem, #a298ac
blackberrypieitem, #d2b88a
blackberrysmoothieitem, #9b7a80
blackberryyogurtitem, #f8e3d3
blackpepperitem, #e8e4d9
bltitem, #af7822
blueberryjellyitem, #fbffff
blueberryjellysandwichitem, #ffe4b4
blueberryjellytoastitem, #968c8a
blueberryjuiceitem, #8c9ec3
blueberrypieitem, #cabb90
blueberrysmoothieitem, #798ec8
blueberryyogurtitem, #e8eed7
bolognaitem, #fff8de
bolognasandwichitem, #fff1b9
braisedonionsitem, #ffe752
bratwurstitem, #ffbf6c
breadedporkchopitem, #e36b0a
breadfruitjellyitem, #ffffff
breadfruitjellysandwichitem, #ffeeb4
breadfruitjellytoastitem, #cdd47a
breadfruitjuiceitem, #abc8b9
breadfruitpieitem, #d3c68a
breadfruitsmoothieitem, #9ab582
breadfruityogurtitem, #f5ffe0
breakfastburritoitem, #ffffb4
briochebunitem, #ffee9a
broccolimacitem, #a47828
broccolindipitem, #a49d69
brownieitem, #cda25f
bulgogiitem, #914818
buttertartitem, #fff070
cactusfruitjellyitem, #ffffff
cactusfruitjellysandwichitem, #ffe6b2
