// Compost colors for potionsmaster. You may add your own colors, change existing ones, or remove colors that aren't needed.
activated_charcoal, #4d484e
allthemodium_powder, #ffff34
aluminium_powder, #e4e0e0
bezoar, #c99472
bismuth_powder, #403c41
calcinatedallthemodium_powder, #ffffa5
calcinatedaluminium_powder, #ffffff
calcinatedbismuth_powder, #aba8ab
calcinatedcoal_powder, #9d9ba0
calcinatedcopper_powder, #ffdaa8
calcinatedcrimsoniron_powder, #fff0f0
calcinateddiamond_powder, #d6ffff
calcinatedemerald_powder, #9bfeb9
calcinatedgold_powder, #ffffbf
calcinatediron_powder, #fffafa
calcinatedlapis_powder, #a1c6ff
calcinatedlead_powder, #dadefb
calcinatednetherite_powder, #b9b2b5
calcinatednickel_powder, #fffff2
calcinatedosmium_powder, #ffffff
calcinatedplatinum_powder, #eaeeff
calcinatedquartz_powder, #ffffff
calcinatedredstone_powder, #ffbca2
calcinatedsilver_powder, #ffffff
calcinatedtin_powder, #ffffff
calcinatedunobtainium_powder, #f2b5ff
calcinateduranium_powder, #d7ffc3
calcinatedvibranium_powder, #a5f5e1
calcinatedzinc_powder, #ffffff
charcoal_powder, #363237
coal_powder, #2a282d
copper_powder, #ee8a3d
crimsoniron_powder, #f4acac
diamond_powder, #83ead7
emerald_powder, #29c255
ender_powder, #288373
gallbladder, #4a964b
gold_powder, #d7cd5f
iron_powder, #c8bbbb
lapis_powder, #3069da
lead_powder, #8c91bc
netherite_powder, #584d50
nickel_powder, #faeab1
osmium_powder, #ddddf0
pestle, #8cc0bf
platinum_powder, #a2aaf8
quartz_powder, #ede7e7
redstone_powder, #ff5b33
silver_powder, #ffffff
tin_powder, #e6dddd
unobtainium_powder, #b151e1
uranium_powder, #86c666
vibranium_powder, #36b594
zinc_powder, #e8e6dc
