// Compost colors for pyrite. You may add your own colors, change existing ones, or remove colors that aren't needed.
amethyst_bars, #dda5ff
amethyst_door, #c08cff
azalea_door, #6e2f2f
azalea_hanging_sign, #723a3a
azalea_ladder, #6c3434
azalea_sign, #6e2f2f
black_framed_glass_pane, #343434
black_stained_door, #282929
black_stained_hanging_sign, #4a4a4a
black_stained_ladder, #30302f
black_stained_sign, #404040
black_torch, #896f48
black_torch_lever, #896f48
blue_framed_glass_pane, #465cb4
blue_rose, #4ac2b4
blue_stained_door, #5b66da
blue_stained_hanging_sign, #5154d7
blue_stained_ladder, #3d3ec2
blue_stained_sign, #4a4de3
blue_torch, #a49784
blue_torch_lever, #a49784
brown_framed_glass_pane, #6c5b48
brown_mushroom_door, #a27a58
brown_mushroom_hanging_sign, #c8a07d
brown_mushroom_ladder, #b48661
brown_mushroom_sign, #c0916b
brown_stained_door, #4e4129
brown_stained_hanging_sign, #5f3d22
brown_stained_ladder, #522d11
brown_stained_sign, #553012
brown_torch, #b58c64
brown_torch_lever, #b58c64
buttercup, #ffff33
copper_bars, #ff9d79
copper_door, #ff976f
cyan_framed_glass_pane, #5b879e
cyan_stained_door, #22bfca
cyan_stained_hanging_sign, #2db8c2
cyan_stained_ladder, #18a2ae
cyan_stained_sign, #1bbfca
cyan_torch, #a89b7c
cyan_torch_lever, #a89b7c
diamond_bars, #1effff
diamond_door, #54ffff
dragon_dye, #8041a1
dragon_framed_glass_pane, #434351
dragon_stained_door, #434465
dragon_stained_glass_pane, #4a485f
dragon_stained_hanging_sign, #4d4e7a
dragon_stained_ladder, #666898
dragon_stained_sign, #47487c
dragon_torch, #b1967c
dragon_torch_lever, #b1967c
emerald_bars, #2cff5f
emerald_door, #54ff86
exposed_copper_bars, #e7b294
exposed_copper_door, #d6a88e
framed_glass_pane, #464646
glow_dye, #184643
glow_framed_glass_pane, #189075
glow_stained_door, #4bb98
glow_stained_glass_pane, #ffcd
glow_stained_hanging_sign, #4ea575
glow_stained_ladder, #14a787
glow_stained_sign, #a45f
glow_torch, #b5a77a
glow_torch_lever, #b5a77a
gold_bars, #ffff3e
gold_door, #fffc04
gray_framed_glass_pane, #555555
gray_stained_door, #5f5f5f
gray_stained_hanging_sign, #575757
gray_stained_ladder, #808080
gray_stained_sign, #5b5b5b
gray_torch, #ab916c
gray_torch_lever, #ab916c
green_framed_glass_pane, #6e8447
green_stained_door, #406641
green_stained_hanging_sign, #326637
green_stained_ladder, #47623e
green_stained_sign, #296630
green_torch, #90a468
green_torch_lever, #90a468
honey_dye, #ffc036
honey_framed_glass_pane, #f5cf44
honey_stained_door, #ffcf41
honey_stained_glass_pane, #ffffc8
honey_stained_hanging_sign, #dd9411
honey_stained_ladder, #c97f04
honey_stained_sign, #cd7f00
honey_torch, #c59d62
honey_torch_lever, #c59d62
lapis_bars, #3e76ff
lapis_door, #8dc5ff
light_blue_framed_glass_pane, #75a0d6
light_blue_stained_door, #4db5ff
light_blue_stained_hanging_sign, #62aff0
light_blue_stained_ladder, #289aeb
light_blue_stained_sign, #419eea
light_blue_torch, #a2a586
light_blue_torch_lever, #a2a586
light_gray_framed_glass_pane, #979a9a
