// Compost colors for railcraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
abandoned_activator_track, #bfa58d
abandoned_booster_track, #bf9e69
abandoned_buffer_stop_track, #ddbfaa
abandoned_control_track, #ca9d75
abandoned_coupler_track, #d0ab9a
abandoned_detector_track, #cfb8a7
abandoned_disembarking_track, #e3c69e
abandoned_dumping_track, #9b9083
abandoned_embarking_track, #d4c89b
abandoned_gated_track, #af9b84
abandoned_junction_track, #b8ab96
abandoned_launcher_track, #d7c9be
abandoned_locking_track, #e3c3a1
abandoned_locomotive_track, #cfa769
abandoned_one_way_track, #bea598
abandoned_routing_track, #c6b59b
abandoned_throttle_track, #cfa54e
abandoned_track, #ab9b82
abandoned_turnout_track, #b1a48e
abandoned_whistle_track, #b89758
abandoned_wye_track, #ab9879
activator_track_kit, #be875a
advanced_rail, #e8d391
bag_of_cement, #ffe4bc
booster_track_kit, #c8945a
brass_electrode, #fcd73e
brass_gear, #fcc520
brass_ingot, #c0ab6e
brass_nugget, #7f9697
brass_plate, #fff11b
bronze_electrode, #9e3c0c
bronze_gear, #ab4b14
bronze_ingot, #b4410b
bronze_nugget, #903d15
bronze_plate, #a52a00
bronze_tunnel_bore_head, #336baf
buffer_stop_track_kit, #c69368
bushing_gear, #ffa728
carbon_electrode, #181818
charcoal_dust, #252525
charge_coil, #b46e4b
charge_meter, #de8911
charge_motor, #ffffff
charge_spool_large, #cc8e69
charge_spool_medium, #ddc0b1
charge_spool_small, #fbebdc
charge_terminal, #b99d46
coal_coke, #65657a
coal_dust, #141414
control_track_kit, #c39058
controller_circuit, #a57064
copper_electrode, #d96546
copper_gear, #d76225
copper_plate, #fb6f3d
coupler_track_kit, #c38458
cracked_firestone, #b92200
creative_locomotive, #bcbcbc
creosote_bottle, #bbc091
creosote_bucket, #ededde
cut_firestone, #b92200
detector_track_kit, #be8e64
diamond_crowbar, #224896
diamond_spike_maul, #66948d
diamond_tunnel_bore_head, #a87d6
disembarking_track_kit, #c29a64
dumping_track_kit, #a48a69
electric_activator_track, #be9d84
electric_booster_track, #c09862
electric_buffer_stop_track, #d9b29a
electric_control_track, #c99366
electric_coupler_track, #c59d89
electric_detector_track, #c9ac97
electric_disembarking_track, #e0be94
electric_dumping_track, #a09080
electric_embarking_track, #d3bf90
electric_gated_track, #a78d72
electric_junction_track, #b69b7f
electric_launcher_track, #d0bbac
electric_locking_track, #debb96
electric_locomotive, #bcbcbc
electric_locomotive_track, #c69d5e
electric_one_way_track, #b29480
electric_rail, #f2944d
electric_routing_track, #c8b194
electric_throttle_track, #cca24e
electric_track, #b99a79
electric_turnout_track, #bca183
electric_whistle_track, #b69658
electric_wye_track, #b89b76
elevator_track, #aa9a9a
embarking_track_kit, #a5935b
ender_dust, #1e5046
energy_minecart, #8d7f96
gated_track_kit, #866943
goggles, #908c89
gold_electrode, #ffe46e
gold_gear, #ffcd34
gold_plate, #fffe44
golden_ticket, #f1d666
high_speed_activator_track, #d0b59b
