// Compost colors for redeco. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_lattice, #e67a44
amethyst_light_bulb, #d7ddff
azalea_terrarium, #cdd9c5
bamboo_lattice, #ffea72
bamboo_terrarium, #cdd9bb
birch_lattice, #fae09a
black_upholstery, #323646
blue_upholstery, #464bb6
brown_mushroom_terrarium, #dac9c9
brown_upholstery, #8a5833
cherry_lattice, #fff1e8
crimson_fungus_terrarium, #dca0aa
crimson_lattice, #843e5c
cyan_upholstery, #20b1b8
dark_oak_lattice, #573719
dripleaf_terrarium, #cddef0
fern_terrarium, #bcc5c5
flowering_azalea_terrarium, #d3d7cd
glow_ink_light_bulb, #9be7f7
glowberry_terrarium, #d7d0bb
glowstone_light_bulb, #e8edea
grass_terrarium, #c0d9b9
gray_upholstery, #585757
green_upholstery, #6b8722
hammer, #9a9090
jar, #f4f7ff
jungle_lattice, #d29668
light_blue_upholstery, #3abbf1
light_gray_upholstery, #aaa89a
lime_upholstery, #86d420
magenta_upholstery, #e15ad6
mangrove_lattice, #a0443e
mangrove_terrarium, #c8dad4
oak_lattice, #d3a762
orange_upholstery, #ff972d
paper_door, #e7ccc8
paper_pane, #fffffe
pink_petals_terrarium, #ede7eb
pink_upholstery, #ffbee7
purple_upholstery, #983dd0
red_mushroom_terrarium, #f5bbc0
red_upholstery, #b93e39
sculk_terrarium, #a2b9cd
spruce_lattice, #9a703e
spyglass_stand, #b9703c
trash_bin, #3a4157
warped_fungus_terrarium, #bfcdcf
warped_lattice, #33867d
white_upholstery, #ffffff
yellow_upholstery, #fff039
