// Compost colors for regions_unexplored. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_branch, #e0ccbe
acacia_shrub, #ffffea
alpha_dandelion, #9ae700
alpha_rose, #ffffff
alpha_sapling, #5f9d19
apple_oak_sapling, #fc8d61
ashen_grass, #ffffff
ashen_sapling, #ffffff
ashen_shrub, #ffffff
aster, #ffffff
bamboo_sapling, #ffffff
baobab_boat, #eec5a1
baobab_branch, #edc6b5
baobab_chest_boat, #cca579
baobab_door, #ffffff
baobab_hanging_sign, #fff2de
baobab_sapling, #f0e49d
baobab_shrub, #e7e794
baobab_sign, #ffedd4
barley, #ffff9e
barrel_cactus, #8cb258
birch_branch, #fbf1e1
birch_shrub, #ddffb2
black_snowbelle, #90b5a2
blackstone_cluster, #bfb9c2
blackwood_boat, #8e806e
blackwood_branch, #a0968d
blackwood_chest_boat, #937a5a
blackwood_door, #43342a
blackwood_hanging_sign, #b1a8a0
blackwood_sapling, #d9e1cd
blackwood_shrub, #d3dec9
blackwood_sign, #b9afa5
bladed_grass, #fefffe
bladed_tall_grass, #ffffff
bleeding_heart, #ffffff
blue_bioshroom, #f1ffff
blue_bioshroom_door, #e7ffff
blue_bioshroom_hanging_sign, #bbffff
blue_bioshroom_sign, #beffff
blue_lupine, #b6dae0
blue_magnolia_flowers, #ffffff
blue_magnolia_sapling, #f2ffff
blue_magnolia_shrub, #f7ffff
blue_snowbelle, #7ccdfe
brimsprout, #d7a893
brimwood_door, #eecfb8
brimwood_hanging_sign, #bfaa9b
brimwood_sapling, #9e8e7d
brimwood_shrub, #726557
brimwood_sign, #c6b2a2
brown_snowbelle, #afa580
cactus_flower, #ffdeff
cattail, #eeeebe
cave_hyssop, #ffffff
cherry_branch, #c6abae
cherry_shrub, #ffffff
clover, #ffffff
cobalt_door, #c0d2ff
cobalt_earlight, #ffeaff
cobalt_hanging_sign, #8c9bbb
cobalt_roots, #e3e6ff
cobalt_sapling, #f5f7ff
cobalt_sign, #828db2
corpse_flower, #ffffff
cyan_snowbelle, #a4ffd7
cypress_boat, #c0b587
cypress_branch, #c9bba1
cypress_chest_boat, #b19b69
cypress_door, #fcfbd6
cypress_hanging_sign, #d7d2af
cypress_sapling, #c6d3ab
cypress_shrub, #e0edc8
cypress_sign, #f7f1d3
daisy, #ffffff
dark_oak_branch, #b6a593
dark_oak_shrub, #62a54d
day_lily, #fffbae
dead_boat, #b9a594
dead_branch, #e4dcd7
dead_chest_boat, #ac9372
dead_door, #f4e8e1
dead_hanging_sign, #ccc2bf
dead_pine_sapling, #eee8dc
dead_pine_shrub, #faf5e7
dead_sapling, #fffff2
dead_shrub, #fffae7
dead_sign, #c5b9b4
dead_steppe_shrub, #f5dcca
dorcel, #d2aaab
dropleaf, #ffffff
duckweed, #f0ffc5
duskmelon_slice, #ffffff
dusktrap, #ffffff
elephant_ear, #ffffff
enchanted_birch_leaf_pile, #fbffff
enchanted_birch_sapling, #e6ffff
enchanted_birch_shrub, #a5ebff
eucalyptus_boat, #deae8c
eucalyptus_branch, #c0d0d9
eucalyptus_chest_boat, #c3976c
eucalyptus_door, #fffae3
eucalyptus_hanging_sign, #ffd2bb
eucalyptus_sapling, #ffffe7
eucalyptus_shrub, #c6e779
eucalyptus_sign, #ffeddc
felicia_daisy, #ffffff
fireweed, #ffffff
flowering_lily_pad, #ffffff
flowering_sapling, #cdf0b4
flowering_shrub, #98cc7f
frozen_grass, #ffffff
glister_bulb, #ffeeff
glister_spire, #ffffff
glistering_bloom, #ffffff
glistering_fern, #ffeeff
glistering_ivy, #ffffff
glistering_sprout, #ffffff
golden_larch_sapling, #ffffbb
golden_larch_shrub, #ffffd9
gray_snowbelle, #c8f1e1
green_bioshroom, #ffffff
green_bioshroom_door, #fffff4
green_bioshroom_hanging_sign, #b9ffaf
green_bioshroom_sign, #bfffb4
green_snowbelle, #82f880
hanging_earlight_fruit, #fff1ff
hanging_prismarite, #fff2f1
hibiscus, #ffffe7
hyacinth_bloom, #ffffff
hyacinth_flowers, #ffffff
hyacinth_lamp, #ffffff
hyssop, #d6b1e8
icicle, #ffffff
joshua_beard, #ffffee
joshua_boat, #d0b18e
joshua_chest_boat, #bb9a6f
joshua_door, #fffbe6
joshua_hanging_sign, #e6d0bb
