// Compost colors for shutter. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_shutter, #ffd2b9
ancient_shutter, #ffffff
azalea_quark_shutter, #c3cc6c
azalea_shutter, #ffede1
bamboo_shutter, #f5d765
birch_shutter, #ffffff
blossom_shutter, #eac8c0
cherry_env_shutter, #9e4136
cherry_shutter, #ffe1dd
coconut_shutter, #ffffd2
crimson_shutter, #f4bed3
cypress_shutter, #a46947
dark_oak_shutter, #cab8a2
flowering_azalea_shutter, #ffeddd
gingerbread_shutter, #e4ae61
glass_shutter, #e1ffff
gold_shutter, #ffffca
iron_shutter, #ffffff
jungle_shutter, #e1a572
mangrove_shutter, #a24443
maple_shutter, #d08348
muddy_oak_shutter, #7c8a62
netherite_shutter, #b2aeae
oak_shutter, #ffedc5
palm_shutter, #deb155
spruce_shutter, #ead2b5
stripped_bamboo_shutter, #ffdd8c
walnut_shutter, #e7c3b1
warped_shutter, #b1fffe
willow_shutter, #7c9a5e
wisteria_shutter, #ffffda
