// Compost colors for simplefarming. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_pie, #ff8e5e
apple_sapling, #937f3a
apricot, #ffda4b
apricot_pie, #ffd766
apricot_sapling, #a0a73e
baked_sweet_potato, #a15e1c
baked_yam, #785751
banana, #fffb0f
banana_bread, #af8341
banana_sapling, #64ac23
barley, #ccf066
barley_bread, #b2d44b
barley_seeds, #b6d461
beef_and_broccoli, #9aa591
beef_curry, #b8bcb5
beer, #eee4d7
blackberries, #89725e
blackberry_pie, #c68d62
blt, #c99136
blueberries, #6ca7a8
blueberry_pie, #c3b894
borscht, #805829
broccoli, #55aa2a
broccoli_cheese_soup, #767612
broccoli_seeds, #a2dd58
cactus_fruit, #dd3266
caesar_salad, #9b9632
candy, #cdae9a
candy_cane, #f5766f
cantaloupe, #ffcd8d
cantaloupe_seeds, #86824e
carrot_soup, #9b570c
cassava, #914615
cassava_cake, #e19a4e
cassava_seeds, #762d0b
cauim, #ebf0da
cheese_slice, #ffe84a
cheese_wheel, #fff55b
cheeseburger, #c28932
cherries, #ab6226
cherry_pie, #ff8641
cherry_sapling, #978a39
chicken_curry, #d0c9b5
chicken_noodle_soup, #906525
chicken_parmesan, #ffb166
chicory_gratin, #bfc5a0
chicory_root, #a7a444
chili, #87460c
chocolate, #764d0f
chocolate_cake, #a07336
cider, #f2e0c8
cooked_bacon, #cc4734
cooked_chicken_wings, #e8905f
cooked_egg, #ffff4d
cooked_sausage, #723e2a
corn, #ffff16
corn_salad, #976511
corn_seeds, #f8e43c
cornbread, #ffd730
cotton, #fee8d6
cotton_seeds, #d2b6ab
cucumber, #43612a
cucumber_seeds, #546f3a
cucumber_soup, #797236
cumin_seeds, #c09657
curry_powder, #cd7930
diamond_scythe, #4a6f51
egg_sandwich, #ddaa4b
eggplant, #542c68
eggplant_parmesan, #feca78
eggplant_seeds, #7a309d
fiber_seed_packet, #66915e
fish_and_chips, #d6b68c
fish_fillet, #b9865b
fish_sandwich, #d09d43
fried_rice, #d6cdb1
fruit_salad, #965425
fruit_seed_packet, #5e723d
ginger, #946c25
ginger_seeds, #9e6c22
golden_habanero, #e4931e
golden_scythe, #897237
gourd_seed_packet, #69843d
grain_seed_packet, #5c8e3d
grape_seeds, #8a2961
grapes, #8c4161
habanero, #f7ab11
hamburger, #bf8a33
honeydew, #ffffa2
honeydew_seeds, #87762c
hotdog, #b17a26
ice_cream_sundae, #eabf94
iron_scythe, #766c58
italian_beef, #be872c
jaffa_cake, #98702d
