// Compost colors for somemoreblocks. You may add your own colors, change existing ones, or remove colors that aren't needed.
azalea_leaves_bucket, #8e9389
big_lily_pad, #9bc851
birch_leaves_bucket, #8a8e86
black_stained_tiled_glass_pane, #232323
blue_stained_tiled_glass_pane, #486cfe
brown_mushroom_colony, #e4ac89
brown_stained_tiled_glass_pane, #916c48
cattail, #a4874e
crimson_fungus_colony, #bb3d2f
cyan_stained_tiled_glass_pane, #6cb5da
dune_grass, #f2de94
flowering_azalea_leaves_bucket, #90908c
gray_stained_tiled_glass_pane, #6c6c6c
green_stained_tiled_glass_pane, #91b548
large_snow_fern, #b5e1d7
leaves_bucket, #848a82
light_blue_stained_tiled_glass_pane, #91daff
light_gray_stained_tiled_glass_pane, #dadada
lime_stained_tiled_glass_pane, #b5ff23
luminous_flower, #ffff8d
magenta_stained_tiled_glass_pane, #fe6cff
orange_stained_tiled_glass_pane, #ffb548
pink_stained_tiled_glass_pane, #ffb5eb
purple_stained_tiled_glass_pane, #b55afe
red_mushroom_colony, #ff977a
red_stained_tiled_glass_pane, #da4848
short_snow_grass, #bce1d4
small_lily_pads, #79a244
snow_fern, #9dc8bb
spruce_leaves_bucket, #7f8780
tall_brown_mushroom_colony, #d0a07f
tall_crimson_fungus_colony, #b6291e
tall_dune_grass, #ffffc5
tall_red_mushroom_colony, #ff7d78
tall_snow_grass, #f0ffff
tall_warped_fungus_colony, #50a187
tiled_glass_pane, #eeffff
tiny_cactus, #b5b16b
warped_fungus_colony, #528378
white_stained_tiled_glass_pane, #ffffff
yellow_stained_tiled_glass_pane, #ffff48
